df_hash,22ZHK4.S1D4X7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9PZP
person_label,v23
date_time_start,2025-08-05_11-22-20.353000_+03
date_time_start_unix,1754374940.353
date_time_end,2025-08-05_11-31-34.378000_+03
length_difference_noticed,no

time,heart_rate
48.706,80
49.925,78
50.948,78
51.696,77
52.898,77
53.777,76
54.702,75
55.872,75
56.750,75
57.686,75
58.872,78
59.754,80
60.650,80
61.920,80
62.697,80
63.628,80
64.798,80
65.720,80
66.597,80
67.916,80
68.693,79
69.571,79
70.741,79
71.690,79
72.602,80
73.786,81
74.690,82
75.525,82
76.740,82
77.661,83
78.492,82
79.711,82
80.589,82
81.466,82
82.783,82
83.565,82
84.462,82
85.661,82
86.536,82
87.462,82
88.879,81
89.510,81
90.453,83
91.606,81
92.658,81
93.417,81
94.749,81
95.514,81
96.385,81
97.554,82
98.490,81
99.357,81
100.533,81
101.557,81
102.388,81
103.501,80
104.428,79
105.407,78
106.526,77
107.401,77
108.279,76
109.595,76
110.375,75
111.562,75
112.569,75
113.392,76
114.275,77
115.542,77
116.427,77
117.247,77
118.416,77
119.315,77
120.277,77
121.388,77
122.273,77
123.191,76
124.361,76
125.238,77
126.163,77
127.350,77
128.298,77
129.136,77
130.323,77
131.201,78
132.109,78
133.375,78
134.272,77
135.095,77
136.396,76
137.182,76
138.102,76
139.223,76
140.152,77
141.126,78
142.208,78
143.121,77
143.998,77
145.340,76
146.094,75
147.266,75
148.194,75
149.080,76
149.962,78
151.278,79
152.091,79
153.033,78
154.151,77
155.158,76
155.900,76
157.354,76
157.985,76
158.881,76
160.091,76
160.958,76
161.835,78
163.109,79
163.931,79
164.857,80
166.273,80
166.928,80
167.829,80
169.009,79
169.981,78
170.806,77
172.036,77
173.014,77
173.775,78
174.945,78
175.911,79
176.749,79
177.918,78
178.844,78
179.721,78
180.894,78
181.821,78
182.695,78
183.864,78
184.908,76
185.668,76
186.886,75
187.798,75
188.641,75
189.862,75
190.757,75
191.663,65
192.854,59
193.710,63
194.889,64
195.806,63
196.683,62
197.609,72
198.779,74
199.656,76
200.582,76
201.852,76
202.638,76
203.666,76
204.725,75
205.710,75
206.534,76
207.698,76
208.624,76
209.602,76
210.672,76
211.613,76
212.475,75
213.797,74
214.571,74
215.462,75
216.667,75
217.547,75
218.522,76
219.640,76
220.534,76
221.395,76
222.665,76
223.491,76
224.406,76
225.593,78
226.562,79
227.342,79
228.633,78
229.437,78
230.370,77
231.592,77
232.414,77
233.337,78
234.588,79
235.384,80
236.408,81
237.532,81
238.357,81
239.287,81
240.454,81
241.331,81
242.257,81
243.427,82
244.316,81
245.230,81
246.401,80
247.326,80
248.204,80
249.471,81
250.303,82
251.195,83
252.347,83
253.273,82
254.162,81
255.336,80
256.247,79
257.124,80
258.344,79
259.374,79
260.113,79
261.471,77
262.194,78
263.071,78
264.290,78
265.216,77
266.063,81
267.290,81
268.140,80
269.067,80
270.242,80
271.115,80
272.043,80
273.216,80
274.087,80
275.014,80
276.183,80
277.061,80
277.987,80
279.157,80
280.083,80
280.960,80
282.423,80
283.061,80
283.934,80
285.104,80
286.030,80
286.907,80
288.127,74
289.006,72
289.882,69
291.099,71
291.977,71
292.909,71
294.073,70
295.048,70
295.828,70
297.144,70
297.924,70
298.954,70
300.050,70
300.948,70
301.826,72
303.099,73
303.993,73
304.797,72
305.967,71
306.893,70
307.772,70
308.941,70
309.915,70
310.744,71
311.963,73
312.848,74
314.013,75
314.936,76
315.977,76
316.716,76
317.953,76
318.787,76
319.716,76
320.883,76
322.053,76
322.687,77
323.915,78
324.734,79
325.664,79
326.932,79
327.776,79
328.639,78
329.807,78
330.684,78
331.623,78
333.170,78
333.704,78
334.581,79
335.753,78
336.677,78
337.603,81
338.750,81
339.651,80
340.569,80
341.747,79
342.772,78
343.502,78
344.724,79
345.695,80
346.494,81
347.694,82
348.571,82
349.508,82
350.667,82
351.642,81
352.471,81
353.642,81
354.530,81
355.455,81
356.665,80
357.492,79
358.418,78
359.662,78
360.466,77
361.431,77
362.659,77
363.525,77
364.373,77
365.764,77
366.471,77
367.349,78
368.558,79
369.445,80
370.386,80
371.531,80
372.463,80
373.481,79
374.507,79
375.395,79
376.507,79
377.481,79
378.453,79
379.331,78
380.452,78
381.329,77
382.311,77
383.480,76
384.306,76
385.180,76
386.419,77
387.276,79
388.202,79
389.372,81
390.250,81
391.328,82
392.346,82
393.325,83
394.153,82
395.347,81
396.197,81
397.124,81
398.293,81
399.268,81
400.097,81
401.267,81
402.203,81
403.091,81
404.243,81
405.313,82
406.145,83
407.267,84
408.141,84
409.025,84
410.238,84
411.115,84
412.094,83
413.211,83
414.092,83
414.967,83
416.185,83
417.085,83
417.989,84
419.531,84
420.055,84
420.963,84
422.377,84
423.060,84
423.960,85
425.107,86
426.040,86
426.929,86
428.232,85
429.008,84
429.890,84
431.107,83
431.991,83
432.859,83
434.087,83
434.956,83
435.837,83
437.096,83
437.929,83
438.956,84
440.026,85
441.056,85
441.882,85
443.125,84
443.978,84
445.104,83
446.022,83
446.900,83
447.792,83
449.054,83
449.891,82
451.038,82
452.068,81
452.862,81
453.738,81
454.895,81
455.927,80
456.916,79
457.921,79
458.798,79
459.686,80
460.904,80
461.769,81
462.647,81
