df_hash,22ZHK4.S1D4X7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9PZP
person_label,v23
date_time_start,2025-08-05_11-22-20.353000_+03
date_time_start_unix,1754374940.353
date_time_end,2025-08-05_11-31-34.378000_+03
length_difference_noticed,no

time,battery
7.513,76
17.518,76
27.525,76
37.543,76
47.804,76
57.530,76
67.524,76
77.655,76
87.511,76
97.513,76
107.499,76
117.491,75
127.510,75
137.520,75
147.507,75
157.498,75
167.586,75
177.480,75
187.569,75
197.463,75
207.459,75
217.461,75
227.439,75
237.487,75
247.473,75
257.588,74
267.481,74
277.509,74
287.444,74
297.439,74
307.434,74
317.423,74
327.439,74
337.457,74
347.451,74
357.444,74
367.498,74
377.430,74
387.520,74
397.524,74
407.464,74
417.407,74
427.448,74
437.549,73
447.438,73
457.452,73
467.556,73
477.486,73
487.413,73
497.413,73
507.450,73
517.395,73
527.438,73
537.432,73
547.426,73
