df_hash,22ZHK4.S1D4X7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9PZP
person_label,v23
date_time_start,2025-08-05_11-22-20.353000_+03
date_time_start_unix,1754374940.353
date_time_end,2025-08-05_11-31-34.378000_+03
length_difference_noticed,no

time,rr_int
11.461,4355
11.607,2200
11.997,10
12.143,615
12.146,15
12.292,15
13.121,795
13.316,205
13.656,15
13.660,455
13.663,10
13.666,10
13.703,10
13.708,10
13.752,10
13.755,10
13.758,15
13.804,25
13.849,35
13.852,25
13.856,20
13.858,10
13.898,10
13.901,10
14.114,195
14.142,10
14.145,10
14.148,20
14.151,40
14.386,10
14.408,210
14.535,10
15.068,765
15.084,10
15.214,10
15.221,15
15.751,85
15.756,590
15.897,15
15.902,10
16.500,15
16.580,685
17.165,10
17.168,635
17.701,10
17.704,475
18.289,10
18.968,655
19.505,705
19.508,475
19.651,15
19.797,15
19.943,355
20.090,255
21.211,1095
21.214,10
22.283,10
22.293,1045
22.576,10
23.064,345
23.557,375
24.965,600
24.967,1400
25.501,10
25.504,525
27.159,10
27.166,1595
27.207,30
27.210,15
27.214,15
27.257,15
27.292,15
27.310,15
27.317,15
27.379,15
27.383,20
27.387,15
27.391,15
27.394,20
27.744,25
27.749,385
27.752,15
27.987,15
27.992,220
28.036,20
28.040,10
28.045,10
28.087,10
28.093,10
28.097,10
28.718,20
28.721,710
28.816,10
29.255,10
29.258,510
29.263,15
29.266,15
29.401,10
29.548,10
29.552,135
29.696,235
29.710,15
29.791,10
29.796,15
29.799,10
30.085,350
31.058,10
31.063,1020
31.205,10
31.212,15
31.351,115
31.595,15
32.570,375
33.301,890
33.983,705
34.422,825
34.426,315
35.252,10
35.497,825
35.647,10
36.080,450
36.083,445
37.591,10
37.596,1445
37.640,10
37.643,15
37.646,80
37.886,10
37.892,25
37.897,55
39.102,15
39.105,1405
39.248,10
39.252,160
39.396,15
39.409,10
39.445,10
39.448,15
39.980,20
39.983,595
40.029,15
40.032,10
40.046,15
40.126,10
40.129,15
40.132,10
40.135,15
40.224,15
40.229,60
40.234,25
40.272,15
40.276,10
40.280,15
40.283,95
40.370,130
40.373,25
40.808,290
40.813,10
40.858,10
40.862,10
40.866,20
41.491,25
41.497,725
41.641,25
41.689,15
41.692,10
41.783,205
41.787,25
41.932,20
42.211,350
42.222,20
42.225,25
42.320,30
42.323,25
42.371,10
42.375,10
43.441,10
43.444,1120
43.489,15
43.493,15
43.497,10
43.587,10
43.590,10
43.593,10
43.598,15
43.636,10
43.639,10
43.643,10
43.645,15
43.687,10
43.691,15
43.694,10
43.856,255
44.126,15
44.129,10
44.660,785
44.663,10
44.708,10
44.712,30
44.806,50
44.809,30
45.391,115
45.394,485
45.439,10
45.442,10
45.446,15
45.537,25
45.557,20
45.635,20
45.638,15
45.641,15
46.073,80
46.077,550
46.219,15
46.223,10
46.268,15
46.272,20
46.276,25
46.280,15
46.330,15
46.339,10
46.342,10
46.347,10
46.366,15
46.371,10
46.415,10
46.418,10
46.421,10
46.426,10
46.902,25
46.907,510
47.082,15
47.897,190
47.900,585
47.921,15
48.124,170
48.414,25
48.420,580
48.465,10
48.468,10
48.471,20
48.560,40
48.563,15
48.566,15
48.998,35
49.001,365
49.047,10
49.050,15
49.052,55
49.309,215
49.342,10
49.362,10
49.380,20
50.120,825
50.124,20
50.168,10
50.173,15
50.178,10
50.219,10
50.223,15
50.415,10
50.419,10
50.424,15
50.535,20
50.559,320
50.563,10
50.569,10
50.802,10
50.807,265
50.854,15
50.858,10
50.960,15
50.997,10
51.002,10
51.018,15
51.027,20
51.095,65
51.099,15
51.338,15
51.343,310
51.388,10
51.393,10
51.405,25
51.485,25
51.489,175
51.680,10
52.460,865
52.462,20
52.508,10
52.511,10
52.515,10
52.609,10
52.612,15
52.655,15
52.658,20
52.660,15
52.663,15
52.703,15
52.706,15
52.709,10
52.713,15
52.752,20
52.772,15
52.803,20
52.809,20
52.821,15
52.826,15
52.850,10
52.853,10
52.856,10
52.859,10
53.191,40
53.200,390
53.288,15
53.291,15
53.295,90
53.435,10
53.438,70
53.487,15
54.020,15
54.023,605
54.027,20
54.117,15
54.120,15
54.166,15
54.170,30
54.267,85
54.312,20
54.315,15
54.318,10
54.321,10
54.712,20
54.848,475
54.851,15
54.897,10
54.900,10
54.903,15
54.946,10
54.949,15
54.954,10
54.956,15
54.995,15
55.011,25
55.014,55
55.044,25
55.048,20
55.051,15
55.056,10
55.111,15
55.238,175
55.241,10
55.292,10
55.298,45
55.531,260
55.534,10
55.685,10
56.213,100
56.360,645
56.363,10
56.408,15
56.411,20
56.414,25
56.457,20
56.460,10
56.464,15
56.467,15
56.526,10
56.604,10
56.607,15
56.945,20
56.948,500
57.045,10
57.188,10
57.191,160
57.237,50
57.240,25
57.243,15
57.337,15
57.378,10
57.485,10
57.491,10
57.630,25
57.676,350
57.679,15
57.730,10
58.456,25
58.459,755
58.507,20
58.517,15
58.523,10
58.610,15
58.651,10
58.655,10
58.659,15
58.663,10
58.700,10
58.703,10
58.705,15
58.708,10
58.749,15
58.755,15
58.758,10
58.846,15
59.138,30
59.142,450
59.287,10
59.290,10
59.294,20
59.821,120
59.824,570
59.967,15
59.970,10
59.973,15
60.016,20
60.019,25
60.023,15
