df_hash,22ZHK4.S1D4X7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.9PZP
person_label,v23
date_time_start,2025-08-05_11-22-20.353000_+03
date_time_start_unix,1754374940.353
date_time_end,2025-08-05_11-31-34.378000_+03
length_difference_noticed,no

time,ppg_quality
58.050,20
59.060,26
60.070,33
63.100,40
65.120,46
67.140,59
69.160,56
71.180,53
72.190,56
73.200,63
74.210,68
76.230,66
78.250,76
80.270,75
82.290,85
84.310,89
85.320,88
86.330,92
88.350,85
89.360,89
90.370,88
91.380,84
92.390,79
93.400,76
95.420,66
97.440,67
98.450,66
99.460,56
100.470,52
101.480,49
103.500,47
105.520,60
106.530,66
107.540,69
109.560,77
111.580,82
112.590,82
114.610,91
116.630,69
118.650,60
119.660,56
120.670,51
121.680,45
122.690,40
123.700,30
124.710,24
125.720,27
126.730,30
127.740,34
129.760,30
131.780,40
133.800,49
135.820,52
136.830,51
137.840,53
138.850,53
140.870,57
142.890,54
144.910,62
146.930,70
147.940,75
149.960,90
151.980,100
154.000,99
155.010,95
156.020,92
158.040,80
160.060,66
162.080,57
165.110,63
167.130,59
168.140,52
169.150,45
171.170,41
173.190,28
174.200,19
175.210,11
180.260,4
181.270,11
182.280,12
184.300,31
186.320,47
187.330,45
189.350,77
191.370,72
193.390,72
195.410,72
196.420,77
197.430,78
199.450,75
201.470,74
202.480,70
203.490,72
205.510,70
206.520,65
207.530,62
208.540,58
209.550,55
210.560,55
211.570,57
212.580,56
213.590,52
214.600,39
215.610,28
216.620,19
218.640,25
220.660,30
221.670,33
222.680,34
224.965,50
225.975,53
226.985,58
227.995,55
229.005,58
231.025,59
232.035,55
233.045,53
235.065,48
236.075,57
237.085,65
238.095,69
240.115,62
242.135,64
244.155,76
246.175,72
247.185,66
248.195,72
250.215,81
251.225,78
252.235,77
254.255,81
256.275,85
257.285,88
259.325,72
260.335,65
261.335,64
263.355,60
265.375,38
266.385,29
267.395,20
268.405,18
269.415,23
270.425,45
271.435,52
272.445,61
273.455,40
274.465,49
276.485,45
278.505,68
280.525,47
281.535,34
282.545,25
284.565,41
285.575,45
286.585,47
287.595,42
289.615,26
290.625,32
291.635,42
293.655,30
294.665,29
296.685,38
298.705,21
299.715,40
300.725,37
302.745,54
304.765,56
306.785,57
307.795,67
309.815,48
311.835,35
313.855,38
315.875,43
316.885,46
317.895,51
318.905,62
320.925,69
321.935,71
322.945,72
324.965,66
326.985,66
329.005,67
330.015,72
332.035,72
334.055,85
336.075,88
338.095,65
339.105,60
340.115,56
341.125,56
342.135,60
343.145,53
344.155,50
345.165,47
347.185,77
349.205,82
351.225,78
352.235,75
354.255,71
356.275,65
358.295,56
360.315,50
362.335,45
363.345,54
365.365,49
367.385,48
369.405,51
370.415,51
371.425,53
373.445,49
374.455,47
376.475,48
378.495,38
380.515,37
382.535,35
383.545,35
384.555,35
386.575,43
387.585,45
389.605,43
391.625,44
393.645,50
395.665,53
396.675,62
397.685,74
398.695,83
400.715,71
402.735,49
404.755,26
405.765,17
406.775,23
407.785,13
408.795,11
409.805,23
411.825,49
413.845,39
415.865,33
416.875,13
417.885,19
418.895,18
420.915,4
422.935,10
424.955,34
426.975,38
428.995,26
430.005,27
431.015,28
432.025,25
433.035,19
434.045,14
436.065,20
438.085,29
440.105,27
443.135,46
445.155,55
446.165,52
447.175,49
449.195,56
450.205,62
451.215,67
454.245,69
456.265,76
458.285,82
460.305,78
462.325,58
463.335,51
465.355,45
467.375,43
469.395,48
471.415,52
472.425,62
473.435,46
474.445,47
476.465,42
478.485,17
479.495,22
480.505,15
481.515,14
482.525,14
483.535,33
485.555,37
486.565,37
487.575,46
489.595,47
490.605,53
491.615,54
492.625,57
493.635,60
495.655,67
497.675,62
498.685,60
500.705,57
502.725,53
504.745,44
505.755,39
506.765,36
508.785,36
511.815,27
513.835,29
515.855,33
517.865,39
519.885,61
521.905,79
522.915,82
523.925,72
524.935,58
525.945,45
526.955,41
528.975,26
529.985,21
530.995,17
532.005,10
539.075,6
541.095,1
543.115,20
545.135,76
547.155,75
549.175,48
551.195,57
