df_hash,22ZHK4.GW7WJ2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.045F
person_label,V148
date_time_start,2026-06-08_17-32-22.778000_+03
date_time_start_unix,1780921942.778
date_time_end,2026-06-08_17-42-05.310000_+03
length_difference_noticed,no

time,ppg_quality
58.283,75
60.303,63
62.323,72
64.343,67
66.363,47
68.383,50
69.393,53
71.413,59
73.433,56
75.453,52
77.473,54
79.493,48
80.503,47
82.523,31
83.533,30
84.543,43
85.553,33
86.563,23
88.583,17
89.593,26
91.613,26
92.623,34
93.633,39
94.643,39
95.653,48
97.673,57
98.683,61
99.693,61
101.713,70
103.733,73
106.763,75
108.783,78
110.803,81
112.823,80
113.833,76
114.843,78
115.853,76
117.873,74
119.893,77
121.913,75
123.933,81
125.953,76
127.973,80
128.983,77
129.993,76
131.003,78
133.023,71
135.043,69
137.063,73
140.093,78
142.113,75
143.123,78
144.133,83
145.143,83
147.163,77
148.173,76
149.183,71
150.193,66
151.203,65
153.223,67
155.243,65
157.263,70
158.273,69
160.293,74
162.313,74
163.323,73
164.333,71
166.353,64
168.373,63
170.393,60
173.423,64
175.443,66
177.463,67
178.473,69
179.483,72
180.493,74
181.503,73
182.513,73
184.533,77
186.553,80
188.573,78
189.583,78
190.593,78
191.603,78
192.613,78
194.633,75
195.643,73
197.663,67
199.683,59
201.703,58
203.723,60
204.733,59
205.743,59
206.753,59
208.773,65
210.793,66
211.803,67
212.813,66
214.833,63
216.853,67
217.863,67
219.883,71
221.903,71
223.923,74
225.943,71
227.963,57
228.973,51
230.993,33
232.003,31
233.013,34
235.033,34
236.043,36
237.053,48
238.063,54
239.073,59
240.083,66
241.093,80
242.103,83
244.123,78
246.143,84
248.163,82
250.183,84
251.193,80
252.203,77
253.213,74
255.233,75
257.253,69
258.263,71
259.273,71
260.283,70
261.283,70
262.293,71
264.313,73
266.333,73
268.353,74
269.363,75
270.373,73
271.383,72
272.393,74
273.403,78
274.413,80
275.423,79
277.443,79
279.463,80
281.483,80
282.493,80
283.503,79
284.513,77
286.533,80
287.543,82
288.553,79
289.563,77
290.573,79
292.593,80
293.603,76
294.613,78
297.643,75
299.663,79
301.683,72
302.693,69
304.713,62
305.723,62
307.743,62
308.753,52
310.773,28
312.793,19
314.813,6
327.943,11
328.953,23
330.973,26
332.993,34
334.003,45
335.013,49
337.033,71
338.043,68
339.053,73
340.063,74
342.083,73
344.103,87
346.123,55
348.143,37
350.163,17
352.183,23
353.193,31
354.203,17
355.213,25
357.233,49
359.253,69
360.263,61
361.273,47
362.283,30
364.303,10
366.323,6
372.383,7
374.403,32
376.423,27
377.433,27
379.453,34
381.473,49
382.483,59
383.493,59
384.503,59
386.523,70
388.543,71
389.553,72
390.563,62
392.583,44
393.593,38
394.603,32
396.623,27
399.653,38
401.673,53
402.683,51
403.693,49
404.703,47
406.723,48
407.733,59
409.753,72
410.763,72
412.783,79
414.803,96
415.813,104
416.823,106
417.833,119
418.843,119
419.853,117
421.873,116
423.893,106
425.913,101
427.933,77
429.953,58
430.963,58
431.973,55
432.983,53
435.003,61
437.023,64
439.043,63
441.063,49
443.083,51
444.093,48
446.113,48
448.133,27
450.153,29
452.173,38
454.193,59
455.203,64
457.223,67
459.243,86
461.263,81
463.283,96
464.293,88
465.303,80
466.313,82
468.333,70
470.353,73
471.363,81
472.373,53
473.383,50
474.393,56
475.403,43
476.413,19
477.423,3
479.443,11
487.523,10
488.533,13
490.553,5
492.573,2
503.683,6
505.703,32
507.723,47
508.733,53
509.743,59
512.773,55
514.793,50
516.813,59
518.833,52
519.843,48
521.863,59
523.883,57
524.893,41
526.913,6
530.953,5
532.973,4
534.993,38
537.013,57
538.023,68
540.043,76
542.063,79
544.083,68
545.093,62
547.113,39
548.123,36
549.133,40
551.153,32
553.173,43
555.193,59
557.213,83
558.223,84
559.233,84
560.243,87
561.253,87
562.263,86
564.283,71
566.303,60
568.323,87
570.343,73
572.363,62
574.383,48
575.393,40
577.413,49
579.433,12
