df_hash,22ZHK4.GW7WJ2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.045F
person_label,V148
date_time_start,2026-06-08_17-32-22.778000_+03
date_time_start_unix,1780921942.778
date_time_end,2026-06-08_17-42-05.310000_+03
length_difference_noticed,no

time,acc_mag
15.968,1.008
15.998,1.008
16.028,1.004
16.058,1.008
16.088,1.009
16.118,1.008
16.148,1.009
16.178,1.008
16.208,1.007
16.238,1.010
16.268,1.008
16.298,1.010
16.328,1.007
16.358,1.008
16.388,1.008
16.418,1.007
16.448,1.008
16.478,1.010
16.508,1.008
16.538,1.012
16.568,1.014
16.598,1.009
16.628,1.009
16.658,1.011
16.688,1.009
16.718,1.007
16.748,1.012
16.778,1.015
16.808,0.999
16.838,1.009
16.868,1.011
16.898,1.007
16.928,1.010
16.958,1.008
16.988,1.009
17.018,1.011
17.048,1.013
17.078,1.008
17.108,1.007
17.138,1.010
17.168,1.008
17.198,1.009
17.228,1.008
17.258,1.008
17.288,1.006
17.318,1.008
17.348,1.011
17.378,1.007
17.408,1.008
17.438,1.013
17.468,1.008
17.498,1.016
17.528,1.006
17.558,1.007
17.588,1.014
17.618,1.009
17.648,1.008
17.678,1.010
17.708,1.010
17.738,1.000
17.768,1.015
17.798,1.015
17.828,1.002
17.858,1.006
17.888,1.008
17.918,1.011
17.948,1.010
17.978,1.008
18.008,1.008
18.038,1.008
18.068,1.007
18.098,1.008
18.128,1.011
18.158,1.011
18.188,1.008
18.218,1.009
18.248,1.007
18.278,1.013
18.308,1.016
18.338,1.011
18.368,1.006
18.398,1.013
18.428,1.011
18.458,1.008
18.488,1.001
18.518,1.011
18.548,1.015
18.578,1.009
18.608,1.010
18.638,1.008
18.668,1.015
18.698,1.003
18.728,1.008
18.758,1.012
18.788,1.008
18.818,1.008
18.848,1.009
18.878,1.010
18.908,1.011
18.938,1.009
18.968,1.005
18.998,1.009
19.028,1.009
19.058,1.008
19.088,1.008
19.118,1.011
19.148,1.010
19.178,1.013
19.208,1.007
19.238,1.013
19.268,1.010
19.298,1.007
19.328,1.012
19.358,1.006
19.388,1.006
19.418,1.013
19.448,1.011
19.478,1.010
19.508,1.010
19.538,1.013
19.568,1.004
19.598,1.011
19.628,1.015
19.658,1.009
19.688,1.012
19.718,1.008
19.748,1.008
19.778,1.008
19.808,1.009
19.838,1.009
19.868,1.008
19.898,1.006
19.928,1.011
19.958,1.006
19.988,1.011
20.018,1.010
20.048,1.006
20.078,1.011
20.108,1.007
20.138,1.009
20.168,1.007
20.198,1.008
20.228,1.012
20.258,1.010
20.288,1.006
20.318,1.013
20.348,1.013
20.378,1.010
20.408,1.009
20.438,1.007
20.468,1.012
20.498,1.007
20.528,1.016
20.558,1.011
20.588,1.007
20.618,1.008
20.648,1.011
20.678,1.012
20.708,1.009
20.738,1.011
20.768,1.004
20.798,1.009
20.828,1.008
20.858,1.008
20.888,1.006
20.918,1.009
20.948,1.009
20.978,1.010
21.008,1.010
21.038,1.013
21.068,1.008
21.098,1.010
21.128,1.010
21.158,1.016
21.188,1.008
21.218,1.007
21.248,1.015
21.278,1.006
21.308,1.008
21.338,1.011
21.368,1.014
21.398,1.006
21.428,1.013
21.458,1.009
21.488,1.008
21.518,1.005
21.548,1.011
21.578,1.010
21.608,1.010
21.638,1.011
21.668,1.008
21.698,1.009
21.728,1.008
21.758,1.010
21.788,1.009
21.818,1.011
21.848,1.007
21.878,1.009
21.908,1.008
21.938,1.010
21.968,1.009
21.998,1.008
22.028,1.011
22.058,1.009
22.088,1.009
22.118,1.008
22.148,1.012
22.178,1.010
22.208,1.010
22.238,1.009
22.268,1.001
22.298,1.012
22.328,1.015
22.358,1.006
22.388,1.007
22.418,1.009
22.448,1.008
22.478,1.014
22.508,1.008
22.538,1.008
22.568,1.007
22.598,1.008
22.628,1.011
22.658,1.010
22.688,1.010
22.718,1.008
22.748,1.009
22.778,1.009
22.808,1.006
22.838,1.014
22.868,1.005
22.898,1.012
22.928,1.009
22.958,1.009
22.988,1.010
23.018,1.011
23.048,1.009
23.078,1.015
23.108,1.010
23.138,1.001
23.168,1.012
23.198,1.008
23.228,1.011
23.258,1.008
23.288,1.010
23.318,1.012
23.348,1.016
23.378,1.006
23.408,1.003
23.438,1.009
23.468,1.010
23.498,1.010
23.528,1.012
23.558,1.009
23.588,1.011
23.618,1.009
23.648,1.009
23.678,1.004
23.708,1.013
23.738,1.013
23.768,1.007
23.798,1.016
23.828,1.009
23.858,1.008
23.888,1.014
23.918,1.011
23.948,1.013
23.978,1.012
24.008,1.012
24.038,1.002
24.068,1.009
24.098,1.013
24.128,1.008
24.158,1.004
24.188,1.013
24.218,1.010
24.248,1.010
24.278,1.010
24.308,1.011
24.338,1.008
24.368,1.007
24.398,1.008
24.428,1.006
24.458,1.012
24.488,1.008
24.518,1.008
24.548,1.008
24.578,1.008
24.608,1.007
24.638,1.012
24.668,1.013
24.698,1.006
24.728,1.007
24.758,1.010
24.788,1.010
24.818,1.002
24.848,1.005
24.878,1.009
24.908,1.007
24.938,1.013
24.968,1.016
24.998,1.009
25.028,1.010
25.058,1.009
25.088,1.008
25.118,1.011
25.148,1.008
25.178,1.009
25.208,1.008
25.238,1.009
25.268,1.012
25.298,1.009
25.328,1.007
25.358,1.009
25.388,1.015
25.418,1.010
25.448,1.014
25.478,1.013
25.508,1.010
25.538,1.015
25.568,1.009
25.598,1.009
25.628,1.017
25.658,1.009
25.688,1.009
25.718,1.012
25.748,1.015
25.778,1.003
25.808,1.012
25.838,1.008
25.868,1.009
25.898,1.007
25.928,1.011
25.958,1.015
25.988,1.010
26.018,1.009
26.048,1.009
26.078,1.014
26.108,1.011
26.138,1.011
26.168,1.009
26.198,1.006
26.228,1.016
26.258,1.011
26.288,1.008
26.318,1.011
26.348,1.003
26.378,1.009
26.408,1.014
26.438,1.012
26.468,1.004
