df_hash,22ZHK4.GW7WJ2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.045F
person_label,V148
date_time_start,2026-06-08_17-32-22.778000_+03
date_time_start_unix,1780921942.778
date_time_end,2026-06-08_17-42-05.310000_+03
length_difference_noticed,no

time,rr_int
10.710,4245
11.099,1715
11.103,365
11.248,10
11.538,15
12.367,410
13.342,895
14.319,910
15.185,965
16.121,900
16.999,925
17.924,915
18.928,935
19.728,950
20.704,880
21.556,910
22.361,925
23.240,865
24.213,855
25.044,910
25.872,890
26.847,845
27.675,890
28.505,865
29.415,855
30.161,860
31.039,850
31.966,865
32.843,875
33.724,870
34.503,835
35.426,825
36.185,885
37.030,835
37.722,800
38.548,785
39.376,820
40.204,800
41.033,820
42.158,850
42.691,900
43.519,830
43.574,825
44.495,10
45.232,905
46.055,805
46.883,825
47.760,825
48.540,840
49.392,805
50.500,830
50.783,1155
51.765,315
52.074,900
52.148,365
52.201,10
52.246,20
52.249,30
52.587,10
53.275,420
54.099,735
54.548,765
54.830,455
55.659,305
56.343,810
57.172,775
57.998,785
58.331,785
58.681,345
59.516,475
59.656,730
59.802,295
59.806,20
59.810,10
60.241,430
61.070,10
61.753,780
61.899,810
62.046,150
62.582,45
63.312,550
64.147,795
64.970,795
65.654,760
66.481,770
66.535,775
67.310,10
67.328,830
67.627,10
67.899,325
67.914,10
67.921,10
68.090,15
68.874,450
69.019,760
69.699,10
70.576,835
70.580,830
71.371,10
72.039,790
72.868,830
72.918,725
73.699,10
74.526,785
75.647,885
75.793,1125
76.378,175
76.384,555
76.963,10
77.743,535
78.572,925
78.596,795
79.772,10
79.785,875
79.840,10
80.254,385
81.113,400
81.937,865
82.618,810
82.624,700
83.607,10
83.743,650
83.886,360
83.995,355
86.080,815
86.372,1280
88.030,310
88.034,1650
88.761,10
89.590,730
90.422,850
91.101,785
91.973,800
92.759,830
93.637,790
94.470,885
95.297,825
96.224,785
96.952,835
97.780,850
97.785,860
98.611,10
99.447,815
99.781,795
100.169,10
100.900,750
101.046,665
101.573,10
101.575,705
102.216,10
102.220,640
102.948,10
103.776,750
104.807,840
105.581,920
106.410,895
107.384,890
108.215,880
109.042,855
109.795,850
110.602,775
111.285,745
112.113,750
112.845,780
113.624,785
114.454,825
115.291,820
115.332,785
116.166,10
116.988,890
117.672,790
118.500,795
119.330,805
120.169,810
120.888,825
121.717,795
122.547,830
123.378,840
124.211,860
125.086,820
125.861,810
126.695,805
127.421,820
128.272,780
129.078,810
129.760,815
130.589,765
131.418,810
132.250,780
132.396,875
133.124,10
133.807,805
134.635,800
135.466,805
135.523,805
136.293,10
136.976,770
137.853,815
137.856,830
138.687,10
139.516,825
140.339,830
141.168,830
142.051,835
142.825,810
143.654,840
144.483,840
144.583,825
145.221,10
146.047,790
146.287,770
147.700,260
148.386,1355
149.114,720
149.948,760
150.636,795
151.453,730
152.282,815
153.111,835
153.799,810
153.842,770
154.671,10
155.353,755
156.037,780
156.187,735
156.329,215
156.334,10
157.547,535
158.292,705
158.961,720
159.643,705
160.326,700
161.057,705
161.766,685
162.276,655
163.007,660
163.689,645
164.248,670
165.006,635
165.493,615
165.785,640
166.050,245
166.761,280
167.297,645
167.882,595
168.600,645
169.250,670
170.076,725
170.758,745
170.761,680
171.489,10
172.174,715
172.861,695
173.537,735
174.268,675
174.958,710
175.779,765
176.461,800
176.515,730
177.290,10
178.021,740
178.850,765
179.544,800
179.679,720
179.682,10
179.728,75
179.731,10
179.734,50
179.737,15
180.362,10
181.044,650
181.873,800
182.608,785
183.557,755
184.261,785
184.264,770
184.944,10
184.947,780
186.068,10
186.504,775
187.370,765
188.015,780
188.844,780
189.528,735
190.355,770
191.086,775
191.925,760
192.597,790
192.600,770
193.438,10
194.109,770
194.840,715
195.678,755
196.360,775
197.033,715
197.087,650
198.009,10
198.740,950
200.104,755
200.934,1480
201.628,750
202.356,725
203.176,720
203.858,760
204.716,790
205.370,760
206.101,750
206.950,755
207.758,795
207.816,785
208.445,10
209.269,735
210.000,795
210.832,805
211.665,800
212.341,765
213.169,785
213.851,780
213.998,795
214.705,10
215.509,750
216.295,785
217.069,795
217.752,775
218.580,775
218.635,775
219.312,10
219.994,745
220.825,725
221.505,755
222.192,725
222.920,745
223.601,690
224.284,730
225.115,700
225.753,770
226.393,640
226.578,680
227.063,10
227.208,690
227.362,105
227.507,65
227.533,10
227.538,10
227.695,75
228.331,310
228.866,610
228.872,645
229.598,10
230.436,690
231.255,785
231.946,795
232.626,780
233.448,730
234.184,745
234.245,755
235.009,10
235.837,815
235.935,835
236.666,10
237.348,795
238.180,795
239.018,825
240.006,840
240.809,880
241.787,870
242.373,805
243.203,815
244.182,840
245.002,890
245.684,840
246.521,790
247.390,810
248.170,810
248.902,810
248.964,710
249.584,10
250.169,670
250.852,660
251.534,670
252.220,665
253.046,755
253.933,775
254.605,795
255.442,790
256.118,810
256.263,765
256.945,10
257.701,730
258.362,750
259.188,740
259.191,745
259.870,10
260.553,725
261.238,705
261.384,735
262.066,10
263.287,800
263.819,785
264.454,825
265.282,795
266.110,810
266.939,835
267.828,840
268.645,840
269.425,820
270.303,845
271.176,870
271.960,845
272.789,840
273.617,860
274.453,855
275.283,835
276.104,800
276.158,825
276.933,10
277.815,840
