df_hash,22ZHK4.GW7WJ2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.045F
person_label,V148
date_time_start,2026-06-08_17-32-22.778000_+03
date_time_start_unix,1780921942.778
date_time_end,2026-06-08_17-42-05.310000_+03
length_difference_noticed,no

time,omega
29.430,0.740
30.276,0.746
31.143,0.740
32.900,0.746
33.903,0.740
34.563,0.734
35.576,0.740
36.262,0.746
37.093,0.746
37.779,0.746
38.567,0.746
43.572,0.746
47.035,0.747
47.815,0.746
48.693,0.747
49.525,0.747
56.397,0.752
58.054,0.752
66.533,0.747
66.637,0.747
67.365,0.747
70.638,0.746
72.917,0.747
89.742,0.747
97.837,0.752
101.002,0.757
101.058,0.759
108.230,0.759
109.238,0.757
109.808,0.751
111.363,0.751
112.216,0.751
112.855,0.734
115.331,0.751
117.725,0.734
120.258,0.753
120.904,0.734
121.775,0.712
122.597,0.716
123.530,0.716
124.308,0.716
125.233,0.721
125.916,0.715
127.671,0.715
129.818,0.710
133.940,0.705
134.688,0.705
135.521,0.705
137.911,0.710
139.622,0.711
140.402,0.715
141.223,0.722
142.240,0.722
142.883,0.715
144.559,0.715
146.139,0.711
150.067,0.715
150.684,0.722
151.582,0.722
153.899,0.715
155.406,0.710
156.239,0.706
158.583,0.707
159.015,0.701
159.841,0.704
160.384,0.708
161.130,0.704
161.802,0.704
163.744,0.704
165.109,0.704
167.352,0.704
167.936,0.704
168.613,0.704
169.340,0.704
170.224,0.706
175.832,0.706
176.514,0.704
176.577,0.697
178.965,0.704
183.606,0.706
185.093,0.706
187.506,0.706
188.127,0.704
189.543,0.706
190.410,0.705
192.021,0.700
192.679,0.700
194.898,0.700
195.977,0.700
196.409,0.700
197.086,0.700
200.256,0.700
203.241,0.700
204.028,0.699
204.836,0.699
207.812,0.699
207.867,0.699
209.329,0.699
211.041,0.693
211.718,0.685
213.862,0.685
214.009,0.685
215.564,0.693
216.355,0.685
217.318,0.682
218.634,0.674
218.758,0.674
220.049,0.674
220.996,0.674
221.603,0.674
232.678,0.674
233.744,0.669
234.236,0.669
234.287,0.669
235.903,0.669
235.950,0.677
237.451,0.688
238.235,0.698
239.163,0.698
240.083,0.698
240.908,0.704
242.574,0.704
243.261,0.704
244.271,0.704
245.060,0.706
245.934,0.709
246.668,0.720
247.445,0.709
248.225,0.706
248.960,0.704
249.013,0.704
250.218,0.706
251.005,0.706
251.844,0.709
252.273,0.706
253.986,0.704
254.709,0.704
255.536,0.699
256.367,0.699
257.833,0.706
258.459,0.699
259.243,0.709
260.625,0.709
263.883,0.709
265.391,0.707
267.088,0.699
267.949,0.690
268.748,0.690
269.480,0.698
271.271,0.705
272.015,0.696
273.722,0.689
274.606,0.687
275.323,0.687
276.156,0.689
276.217,0.689
277.896,0.689
279.571,0.696
280.817,0.696
281.255,0.692
282.009,0.699
282.693,0.699
283.761,0.691
284.403,0.699
285.251,0.696
286.049,0.696
286.746,0.699
287.614,0.699
288.257,0.699
289.179,0.699
289.952,0.701
290.640,0.701
292.350,0.703
293.267,0.703
293.897,0.703
294.682,0.703
294.775,0.703
297.029,0.701
298.058,0.703
298.641,0.704
300.238,0.704
311.062,0.708
341.093,0.708
342.022,0.703
349.575,0.708
357.034,0.708
358.448,0.710
364.131,0.715
364.833,0.715
375.552,0.724
380.823,0.735
381.749,0.737
382.351,0.737
384.132,0.737
384.719,0.735
385.792,0.737
489.974,0.724
517.341,0.724
553.164,0.743
554.814,0.744
559.109,0.766
559.192,0.792
