df_hash,22ZHK4.2TBHGE
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.HAY6
person_label,V36
date_time_start,2025-10-27_12-32-17.207000_+03
date_time_start_unix,1761553937.207
date_time_end,2025-10-27_12-39-34.139000_+03
length_difference_noticed,no

time,temperature
5.669,35.438
6.738,35.469
7.663,35.469
8.736,35.500
9.733,35.500
10.886,35.500
11.661,35.531
12.707,35.531
13.660,35.531
14.732,35.562
15.905,35.562
16.682,35.562
17.706,35.594
18.827,35.594
19.678,35.531
20.680,35.531
21.704,35.594
22.679,35.594
23.702,35.625
25.167,35.625
25.701,35.656
26.676,35.719
28.044,35.750
29.043,35.781
29.699,35.844
30.675,35.875
32.041,35.812
32.673,35.844
33.697,35.844
34.769,35.875
35.695,35.875
36.756,35.875
37.744,35.875
38.695,35.875
39.693,35.906
40.813,35.906
41.891,35.969
42.715,35.969
43.739,35.969
44.665,36.000
45.932,36.000
46.665,36.000
47.687,36.062
48.662,36.062
49.696,36.094
50.714,36.094
51.734,36.094
52.858,36.125
53.684,36.125
54.699,36.125
55.683,36.125
56.709,36.125
57.690,36.125
58.706,36.156
59.680,36.188
60.801,36.156
61.679,36.188
62.654,36.156
63.678,36.188
64.701,36.188
65.874,36.219
66.700,36.188
67.824,36.188
68.698,36.094
69.674,36.094
70.944,36.094
71.950,36.094
72.696,36.125
73.676,36.125
74.695,36.125
75.722,36.094
76.693,36.125
77.863,36.125
78.693,36.250
79.694,36.250
80.695,36.250
81.763,36.312
82.690,36.312
83.665,36.312
84.737,36.312
85.858,36.312
86.741,36.312
87.667,36.344
88.775,36.312
89.661,36.344
90.837,36.344
91.660,36.312
92.830,36.312
93.761,36.312
94.685,36.344
95.658,36.344
96.928,36.344
97.665,36.344
98.729,36.344
99.655,36.344
100.779,36.406
101.702,36.375
102.678,36.375
103.653,36.406
104.975,36.406
105.700,36.406
106.675,36.406
107.945,36.438
108.674,36.406
109.649,36.406
110.919,36.375
111.648,36.375
112.672,36.406
113.906,36.375
114.670,36.406
115.742,36.406
116.669,36.469
117.693,36.344
118.719,36.375
119.740,36.406
120.667,36.406
121.934,36.406
122.665,36.438
123.689,36.438
124.672,36.406
125.687,36.438
126.664,36.438
127.687,36.531
128.662,36.469
129.685,36.500
130.665,36.531
131.684,36.562
132.683,36.531
133.683,36.531
134.664,36.562
135.755,36.562
136.803,36.562
137.680,36.531
138.902,36.594
139.679,36.562
140.654,36.562
141.678,36.562
142.900,36.594
143.750,36.594
144.700,36.594
145.676,36.594
146.945,36.594
147.674,36.625
148.649,36.656
149.673,36.656
150.652,36.656
151.782,36.656
152.653,36.656
153.678,36.656
154.646,36.688
155.784,36.688
156.693,36.656
157.672,36.656
158.644,36.625
159.667,36.625
160.840,36.625
162.097,36.625
162.715,36.594
163.664,36.594
164.690,36.562
165.715,36.562
166.687,36.594
167.662,36.562
168.981,36.625
169.661,36.625
170.684,36.625
171.660,36.656
172.683,36.812
173.682,36.812
174.731,36.844
175.675,36.844
176.777,36.844
177.704,36.875
178.679,36.844
179.655,36.844
180.678,36.844
181.654,36.844
182.923,36.750
183.701,36.750
184.676,36.750
185.699,36.750
186.699,36.750
187.650,36.719
188.696,36.719
189.648,36.688
190.672,36.719
191.717,36.688
192.680,36.625
193.794,36.594
194.718,36.625
195.645,36.625
196.706,36.625
197.838,36.594
198.667,36.594
199.744,36.625
200.666,36.594
201.689,36.594
202.863,36.625
203.640,36.656
204.664,36.688
205.735,36.719
206.663,36.688
207.686,36.688
208.758,36.656
209.636,36.688
210.854,36.656
211.683,36.688
212.756,36.688
213.682,36.594
214.697,36.594
215.681,36.594
216.691,36.594
217.728,36.656
218.680,36.656
219.678,36.656
220.657,36.719
221.677,36.688
222.847,36.688
223.682,36.781
224.897,36.781
225.685,36.812
226.650,36.812
227.673,36.812
228.688,36.781
229.672,36.719
230.647,36.719
231.671,36.750
232.649,36.750
233.670,36.750
234.645,36.750
235.668,36.750
236.652,36.750
237.667,36.750
238.796,36.781
239.666,36.812
240.645,36.812
241.665,36.844
242.640,36.844
243.665,36.844
244.661,36.844
245.667,36.844
246.686,36.812
247.661,36.844
248.736,36.812
249.713,36.781
250.832,36.812
251.659,36.781
252.683,36.781
253.729,36.781
254.732,36.781
255.656,36.781
256.634,36.781
257.657,36.812
258.679,36.750
259.702,36.781
260.677,36.781
261.653,36.781
262.676,36.812
263.651,36.781
264.777,36.750
265.650,36.750
266.674,36.781
267.653,36.781
268.728,36.812
269.891,36.812
270.678,36.781
271.646,36.812
272.691,36.781
273.645,36.844
274.668,36.844
275.644,36.875
276.668,36.844
277.742,36.812
278.666,36.875
279.641,36.844
280.670,36.875
281.693,36.844
282.664,36.875
283.639,36.875
285.104,36.875
285.638,36.875
286.661,36.906
287.636,36.938
288.660,36.938
289.635,36.906
290.659,36.906
291.634,36.938
292.706,36.906
293.635,36.938
294.951,36.906
295.631,36.938
296.655,36.938
297.630,36.938
298.661,36.938
299.663,36.906
300.655,36.938
301.628,36.969
302.651,36.969
303.683,37.000
304.650,36.969
305.655,36.938
306.649,36.938
307.673,36.938
308.648,36.938
309.820,36.969
310.647,36.938
311.670,36.875
312.646,36.906
313.671,36.906
314.644,36.938
315.668,36.938
316.646,36.969
317.667,37.000
318.644,36.969
