df_hash,22ZHK4.2TBHGE
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.HAY6
person_label,V36
date_time_start,2025-10-27_12-32-17.207000_+03
date_time_start_unix,1761553937.207
date_time_end,2025-10-27_12-39-34.139000_+03
length_difference_noticed,no

time,perfusion_ir
26.091,0.350
27.020,0.350
27.705,0.360
28.482,0.350
29.357,0.350
30.241,0.350
30.920,0.360
31.555,0.350
32.483,0.350
33.198,0.350
33.894,0.360
34.724,0.360
35.651,0.350
36.481,0.350
37.220,0.360
38.281,0.360
38.915,0.350
39.890,0.350
40.727,0.350
41.660,0.350
42.520,0.360
43.348,0.360
44.181,0.360
45.250,0.370
46.910,0.370
47.787,0.370
48.572,0.370
49.686,0.370
50.371,0.370
51.201,0.370
52.029,0.370
52.675,0.370
53.488,0.370
54.468,0.370
55.251,0.380
56.024,0.380
56.660,0.380
57.684,0.380
58.416,0.380
59.292,0.380
60.021,0.370
60.902,0.370
62.559,0.370
63.343,0.370
64.217,0.370
65.146,0.370
65.972,0.370
66.846,0.370
67.677,0.370
69.387,0.380
70.118,0.370
70.700,0.370
71.676,0.370
73.378,0.380
74.208,0.380
75.087,0.380
75.878,0.380
77.626,0.390
78.358,0.390
79.182,0.380
80.206,0.390
80.986,0.390
81.925,0.390
85.276,0.410
85.910,0.410
86.736,0.400
87.663,0.390
88.591,0.390
89.515,0.390
90.400,0.370
91.952,0.380
92.849,0.380
93.659,0.380
94.588,0.380
95.419,0.380
96.397,0.370
97.169,0.370
98.058,0.370
110.285,0.350
111.894,0.360
113.698,0.350
124.325,0.340
145.431,0.340
147.235,0.340
148.405,0.340
149.144,0.340
150.212,0.350
150.992,0.350
152.942,0.360
153.919,0.370
154.742,0.370
155.718,0.370
156.598,0.370
157.622,0.370
158.505,0.370
159.298,0.390
160.303,0.390
161.226,0.400
162.110,0.400
163.033,0.400
163.775,0.400
165.770,0.400
166.446,0.400
167.174,0.390
168.737,0.380
170.492,0.390
171.318,0.400
172.147,0.400
173.075,0.400
173.807,0.390
174.633,0.390
175.610,0.390
176.439,0.380
177.174,0.380
178.971,0.380
180.044,0.380
180.729,0.380
181.610,0.370
186.779,0.370
187.604,0.370
188.624,0.370
190.382,0.370
191.409,0.370
192.287,0.390
193.069,0.400
194.084,0.400
195.111,0.400
195.917,0.400
196.619,0.400
199.066,0.400
199.799,0.400
200.860,0.410
201.741,0.410
202.716,0.410
203.547,0.410
204.617,0.400
205.640,0.410
206.471,0.410
207.304,0.410
208.424,0.410
209.106,0.410
210.079,0.410
210.914,0.410
211.829,0.410
212.564,0.410
213.541,0.410
215.586,0.400
216.463,0.390
217.338,0.400
218.364,0.410
226.750,0.410
232.566,0.400
235.183,0.400
236.549,0.390
247.520,0.380
250.640,0.380
269.601,0.380
280.567,0.370
288.960,0.370
294.665,0.370
297.048,0.370
297.828,0.360
298.656,0.350
299.391,0.330
344.972,0.260
347.572,0.260
348.530,0.260
352.964,0.260
353.598,0.260
359.302,0.260
370.602,0.260
372.031,0.260
384.115,0.260
388.994,0.270
391.671,0.270
392.595,0.280
395.277,0.280
398.155,0.280
