df_hash,22ZHK4.2TBHGE
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.HAY6
person_label,V36
date_time_start,2025-10-27_12-32-17.207000_+03
date_time_start_unix,1761553937.207
date_time_end,2025-10-27_12-39-34.139000_+03
length_difference_noticed,no

time,omega
26.094,0.370
27.023,0.373
27.709,0.372
28.486,0.371
29.360,0.369
30.250,0.371
30.923,0.372
31.700,0.372
32.489,0.372
33.205,0.372
33.902,0.373
34.729,0.374
35.660,0.375
36.485,0.375
37.224,0.376
38.285,0.377
38.918,0.376
39.893,0.375
40.730,0.374
41.840,0.374
42.524,0.374
43.353,0.373
44.184,0.373
45.254,0.373
46.956,0.374
47.790,0.375
48.616,0.375
49.692,0.376
50.376,0.376
51.205,0.376
52.032,0.376
52.685,0.375
53.492,0.375
54.659,0.376
55.254,0.376
56.029,0.376
56.663,0.377
57.689,0.378
58.464,0.378
59.297,0.378
60.024,0.379
60.906,0.379
62.563,0.380
63.349,0.380
64.228,0.379
65.205,0.379
65.976,0.379
66.850,0.379
67.681,0.379
69.396,0.380
70.121,0.380
70.703,0.380
71.685,0.379
73.388,0.379
74.213,0.378
75.094,0.378
75.884,0.377
77.630,0.378
78.362,0.378
79.197,0.376
80.211,0.376
80.990,0.378
81.929,0.378
85.280,0.377
85.915,0.377
86.740,0.377
87.666,0.377
88.595,0.378
89.521,0.378
90.406,0.378
92.001,0.376
93.028,0.377
93.662,0.378
94.684,0.378
95.465,0.378
96.402,0.378
97.173,0.381
98.293,0.382
110.289,0.378
111.900,0.380
113.704,0.380
124.329,0.378
145.435,0.378
147.239,0.380
148.409,0.388
149.148,0.388
150.220,0.396
150.999,0.401
152.946,0.396
153.927,0.401
154.746,0.401
155.721,0.403
156.644,0.403
157.626,0.401
158.548,0.405
159.425,0.410
160.306,0.410
161.230,0.410
162.113,0.416
163.036,0.420
163.782,0.417
165.777,0.417
166.452,0.417
167.180,0.414
168.742,0.414
170.498,0.414
171.323,0.413
172.150,0.417
173.079,0.420
173.813,0.417
174.641,0.417
175.616,0.413
176.443,0.413
177.179,0.413
178.975,0.412
180.048,0.412
180.733,0.412
181.617,0.410
186.782,0.409
187.649,0.409
188.628,0.409
190.385,0.410
191.412,0.410
192.291,0.410
193.109,0.413
194.088,0.413
195.114,0.416
195.923,0.413
196.623,0.413
199.071,0.413
199.805,0.416
200.864,0.416
201.744,0.416
202.862,0.416
203.555,0.416
204.622,0.416
205.644,0.416
206.474,0.416
207.310,0.420
208.430,0.417
209.109,0.416
210.083,0.416
210.926,0.417
211.833,0.419
212.661,0.417
213.545,0.417
215.589,0.417
216.467,0.419
217.342,0.417
218.368,0.417
226.755,0.415
232.600,0.414
235.187,0.412
236.554,0.412
247.523,0.414
250.644,0.412
269.608,0.415
280.573,0.417
288.966,0.413
294.669,0.413
297.060,0.415
297.831,0.414
298.660,0.414
299.394,0.414
344.977,0.421
347.575,0.430
348.534,0.438
352.969,0.452
353.602,0.452
359.305,0.468
370.641,0.473
372.036,0.473
384.127,0.470
389.003,0.465
391.678,0.465
392.600,0.461
395.280,0.461
398.162,0.465
