df_hash,22ZHK4.2TBHGE
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.HAY6
person_label,V36
date_time_start,2025-10-27_12-32-17.207000_+03
date_time_start_unix,1761553937.207
date_time_end,2025-10-27_12-39-34.139000_+03
length_difference_noticed,no

time,ppg_med
6.206,565
6.231,649
6.256,783
6.281,855
6.306,827
6.331,798
6.356,876
6.381,1017
6.406,1071
6.431,984
6.456,892
6.481,940
6.506,1072
6.531,1079
6.556,892
6.581,694
6.606,683
6.631,781
6.656,710
6.681,376
6.706,28
6.731,-71
6.756,-26
6.781,-203
6.806,-722
6.831,-1256
6.856,-1458
6.881,-1467
6.906,-1756
6.931,-2479
6.956,-3210
6.981,-3501
7.006,-3529
7.031,-3901
7.056,-4812
7.081,-5713
7.106,-6035
7.131,-6002
7.156,-6384
7.181,-7422
7.206,-8423
7.231,-8667
7.256,-8440
7.281,-8706
7.306,-9767
7.331,-10754
7.356,-10764
7.381,-10157
7.406,-10139
7.431,-11086
7.456,-11912
7.481,-11496
7.506,-10285
7.531,-9786
7.556,-10471
7.581,-10987
7.606,-9935
7.631,-7877
7.656,-6699
7.681,-6996
7.706,-7082
7.731,-5197
7.756,-2047
7.781,-15
7.806,130
7.831,521
7.856,3402
7.881,7882
7.906,10892
7.931,11413
7.956,12196
7.981,16192
8.006,22260
8.031,26314
8.056,26930
8.081,27796
8.106,32767
8.131,32767
8.156,32767
8.181,32767
8.206,32767
8.231,32767
8.256,32767
8.281,32767
8.306,32767
8.331,32767
8.356,32767
8.381,32767
8.406,32767
8.431,32767
8.456,15146
8.481,-32768
8.506,-32768
8.531,-32768
8.556,-32768
8.581,-32768
8.606,-32768
8.631,-32768
8.656,-32768
8.681,-32768
8.706,-32768
8.731,-32768
8.756,-32768
8.781,-32768
8.806,-32768
8.831,-29511
8.856,-27106
8.881,-26909
8.906,-24249
8.931,-18419
8.956,-13127
8.981,-11182
9.006,-10953
9.031,-8981
9.056,-4691
9.081,-847
9.106,401
9.131,284
9.156,1477
9.181,4458
9.206,7089
9.231,7677
9.256,7166
9.281,7663
9.306,9556
9.331,11162
9.356,11141
9.381,10249
9.406,10171
9.431,11222
9.456,12063
9.481,11620
9.506,10497
9.531,10043
9.556,10508
9.581,10811
9.606,10097
9.631,8875
9.656,8259
9.681,8469
9.706,8627
9.731,8006
9.756,6960
9.781,6347
9.806,6349
9.831,6298
9.856,5644
9.881,4674
9.906,4063
9.931,3952
9.956,3821
9.981,3249
10.006,2466
10.031,1986
10.056,1901
10.081,1794
10.106,1342
10.131,731
10.156,365
10.181,316
10.206,263
10.231,-43
10.256,-464
10.281,-696
10.306,-687
10.331,-676
10.356,-852
10.381,-1116
10.406,-1251
10.431,-1214
10.456,-1161
10.481,-1195
10.506,-1222
10.531,-1098
10.556,-842
10.581,-623
10.606,-544
10.631,-525
10.656,-430
10.681,-246
10.706,-93
10.731,-53
10.756,-69
10.781,-29
10.806,88
10.831,201
10.856,238
10.881,224
10.906,237
10.931,301
10.956,357
10.981,354
11.006,315
11.031,285
11.056,240
11.081,195
11.106,149
11.131,98
11.156,45
11.181,0
11.206,-37
11.231,-74
11.256,-125
11.281,-193
11.306,-254
11.331,-268
11.356,-208
11.381,-86
11.406,54
11.431,171
11.456,251
11.481,310
11.506,368
11.531,432
11.556,486
11.581,514
11.606,515
11.631,505
11.656,499
11.681,502
11.706,509
11.731,508
11.756,494
11.781,470
11.806,439
11.831,404
11.856,366
11.881,323
11.906,278
11.931,231
11.956,183
11.981,132
12.006,79
12.031,28
12.056,-15
12.081,-52
12.106,-93
12.131,-147
12.156,-212
12.181,-263
12.206,-264
12.231,-194
12.256,-69
12.281,69
12.306,182
12.331,258
12.356,313
12.381,366
12.406,419
12.431,456
12.456,469
12.481,465
12.506,463
12.531,471
12.556,484
12.581,487
12.606,477
12.631,459
12.656,439
12.681,415
12.706,381
12.731,338
12.756,291
12.781,247
12.806,202
12.831,151
12.856,98
12.881,53
12.906,18
12.931,-19
12.956,-76
12.981,-145
13.006,-189
13.031,-166
13.056,-70
13.081,63
13.106,182
13.131,260
13.156,307
13.181,349
13.206,392
13.231,423
13.256,429
13.281,415
13.306,401
13.331,401
13.356,412
13.381,419
13.406,412
13.431,391
13.456,362
13.481,328
13.506,290
13.531,249
13.556,203
13.581,153
13.606,99
13.631,43
13.656,-7
13.681,-59
13.706,-118
13.731,-186
13.756,-238
13.781,-234
13.806,-153
13.831,-16
13.856,125
13.881,229
13.906,291
13.931,340
13.956,399
13.981,461
14.006,500
14.031,503
14.056,486
14.081,475
14.106,480
14.131,490
14.156,489
14.181,471
14.206,441
14.231,405
14.256,363
14.281,314
14.306,263
14.331,213
14.356,162
14.381,106
14.406,49
14.431,-4
14.456,-52
14.481,-107
14.506,-180
14.531,-257
14.556,-300
14.581,-268
14.606,-157
14.631,-6
14.656,130
14.681,226
14.706,294
14.731,360
14.756,434
14.781,499
14.806,533
14.831,534
14.856,524
14.881,525
14.906,537
14.931,546
14.956,536
14.981,509
15.006,476
15.031,442
15.056,403
15.081,353
15.106,294
15.131,238
15.156,192
15.181,149
15.206,98
15.231,38
15.256,-18
15.281,-63
15.306,-105
15.331,-163
15.356,-237
15.381,-295
15.406,-290
15.431,-202
15.456,-59
15.481,80
