df_hash,22ZHK4.2TBHGE
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.HAY6
person_label,V36
date_time_start,2025-10-27_12-32-17.207000_+03
date_time_start_unix,1761553937.207
date_time_end,2025-10-27_12-39-34.139000_+03
length_difference_noticed,no

time,quality
15.420,84
16.292,86
17.486,86
18.342,84
19.561,81
20.485,84
21.362,81
22.232,82
23.558,80
24.339,82
25.219,82
26.484,79
27.309,77
28.187,79
29.555,80
30.537,82
31.116,81
32.497,76
33.259,75
34.090,74
35.308,82
36.328,76
37.112,75
38.669,75
39.160,77
40.131,83
41.256,81
42.181,81
43.059,86
44.231,83
45.449,85
46.325,87
47.209,87
48.081,85
49.044,88
50.178,87
51.395,81
52.081,82
53.151,80
54.078,87
54.961,85
56.172,82
57.052,74
57.977,70
59.098,73
60.219,78
61.145,75
62.218,73
63.295,77
63.875,74
65.095,78
66.215,77
66.897,81
68.069,82
68.945,81
69.969,85
71.042,69
72.065,58
72.845,57
74.017,59
74.895,58
75.816,74
76.989,74
77.915,78
79.036,83
79.963,81
80.841,83
81.861,82
82.937,79
83.815,71
84.984,74
86.110,74
86.830,78
87.716,80
88.907,83
90.103,78
90.690,80
91.861,88
93.036,83
93.756,73
95.270,74
95.761,76
96.681,79
97.810,81
98.875,84
99.609,78
100.830,72
101.803,57
102.583,51
103.755,51
104.682,44
105.582,42
106.773,41
107.656,34
108.533,38
109.701,66
110.675,67
111.506,60
112.769,64
113.899,38
114.479,35
115.794,41
116.575,33
117.453,46
118.678,60
119.552,83
120.428,82
121.697,85
122.524,69
123.445,47
124.664,46
125.496,47
126.422,50
127.638,54
128.470,79
129.445,87
130.571,87
131.443,86
132.616,86
133.543,88
134.658,88
135.344,89
136.513,89
137.390,89
138.317,72
139.489,70
140.465,75
141.388,71
142.461,74
143.582,84
144.311,52
145.534,43
146.407,43
147.384,44
148.457,47
149.335,67
150.260,87
151.775,81
152.308,81
153.213,81
154.405,84
155.282,87
156.452,82
157.379,82
158.448,85
159.133,89
160.352,89
161.715,86
162.489,87
163.328,87
164.235,83
165.132,82
166.302,83
167.225,69
168.105,34
169.276,42
170.202,44
171.080,41
172.247,52
173.466,76
174.051,65
175.224,78
176.148,77
177.119,79
178.633,83
179.364,84
180.291,82
181.555,80
182.192,81
182.979,82
184.143,74
185.164,66
186.284,66
187.123,67
188.088,67
188.944,66
190.139,72
191.305,71
192.235,80
193.211,89
193.990,88
194.867,87
196.137,90
197.107,72
197.938,43
199.206,42
199.988,41
201.009,42
202.034,44
202.957,70
203.934,85
205.008,84
205.886,85
206.813,87
208.226,90
208.859,85
209.785,82
211.296,84
211.981,90
213.051,88
213.929,81
214.852,75
215.733,70
216.902,76
217.829,82
218.706,87
219.876,92
220.754,81
221.728,72
222.947,62
223.779,60
224.655,59
225.827,58
226.997,58
227.628,62
228.798,59
230.016,67
230.601,67
231.771,67
232.698,66
233.575,66
234.794,65
235.866,62
236.647,77
237.768,69
238.791,57
239.546,41
240.837,35
241.620,35
242.498,37
243.718,31
244.594,27
245.662,20
246.735,19
247.567,24
248.493,25
249.708,64
250.540,70
251.469,28
252.636,19
253.671,0
254.440,0
255.636,0
256.488,0
257.415,0
258.632,37
259.556,39
260.437,30
261.581,51
262.484,69
263.361,79
264.772,81
265.460,71
266.337,50
267.649,48
268.432,66
269.311,60
270.578,46
271.405,51
272.575,44
273.504,26
274.413,31
275.258,34
276.477,42
277.645,41
278.279,39
279.499,36
280.357,46
281.253,44
282.469,40
283.544,0
284.227,38
285.399,6
286.469,3
287.200,46
288.371,52
289.248,51
290.175,48
291.439,52
292.222,58
293.149,46
294.319,41
295.244,51
296.122,57
297.293,54
298.219,66
299.141,62
300.266,64
301.237,34
302.069,0
303.291,26
304.166,0
305.043,20
306.262,0
307.139,36
308.024,54
309.236,70
310.113,74
310.991,59
312.210,53
313.087,37
314.007,43
315.281,43
316.066,32
316.938,33
318.405,59
319.034,55
319.962,51
321.133,43
322.154,53
322.938,44
324.105,33
325.076,50
326.200,72
327.184,70
327.966,77
328.928,75
330.052,63
331.040,46
332.002,40
333.026,36
333.903,0
334.878,32
336.000,56
337.029,62
337.803,50
339.000,33
339.900,39
340.923,39
341.949,34
342.876,32
343.752,28
345.213,55
345.895,55
346.730,61
347.897,70
348.965,66
349.699,71
351.063,71
351.892,76
352.672,75
353.891,73
354.778,61
355.938,55
357.059,50
357.768,47
358.622,56
359.839,56
360.716,50
361.594,56
362.860,63
363.984,45
364.661,51
365.930,43
366.758,36
367.541,49
368.952,75
369.642,79
370.716,81
371.876,70
372.620,49
373.539,28
374.738,28
375.585,31
376.513,26
377.681,0
378.656,4
379.628,52
380.798,53
381.590,62
382.651,65
383.828,65
384.652,72
385.432,62
386.651,56
387.623,57
388.406,53
389.576,45
390.548,32
391.380,68
392.644,65
393.479,53
394.353,46
395.572,55
396.450,0
397.353,0
398.546,0
399.426,0
400.350,42
401.520,44
402.397,60
403.570,49
404.494,60
405.420,35
406.298,26
407.468,30
408.347,30
409.271,21
410.587,35
411.368,35
412.340,36
413.415,31
414.633,35
415.227,44
416.486,41
417.316,36
418.338,33
419.363,27
420.290,36
421.168,42
422.386,44
423.457,53
424.483,37
425.648,42
426.237,41
427.114,29
428.335,30
429.210,40
430.090,47
431.547,46
