df_hash,22ZHK4.D641S7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.TFPA
person_label,v106
date_time_start,2026-03-02_13-35-48.770000_+03
date_time_start_unix,1772444148.77
date_time_end,2026-03-02_13-44-33.021000_+03
length_difference_noticed,no

time,rr_int
10.631,4605
11.459,865
11.463,920
12.532,10
13.409,955
14.238,1020
15.067,735
15.073,680
15.847,10
16.047,895
16.188,325
17.163,1065
17.651,10
17.655,345
18.577,10
18.580,980
18.625,15
18.629,10
18.635,10
18.729,10
18.967,15
19.699,350
20.235,820
20.527,805
22.087,800
22.818,670
22.823,690
22.830,10
22.916,240
22.920,10
23.014,15
23.017,60
23.068,20
23.080,10
23.455,220
23.466,245
23.573,10
23.599,10
24.573,330
24.578,710
25.256,10
26.084,715
27.059,875
27.062,945
28.038,10
29.009,920
29.887,945
30.813,955
31.642,920
32.471,875
33.446,865
34.274,870
35.103,885
35.106,880
36.378,10
36.910,915
37.934,915
38.856,915
39.686,930
40.660,920
40.666,920
41.538,10
41.542,860
42.367,10
42.513,780
42.519,175
43.732,15
43.878,1240
43.886,125
43.926,20
43.932,30
43.937,15
44.024,10
44.414,165
45.291,320
46.131,925
46.949,780
46.954,820
47.778,10
48.606,845
48.617,915
49.606,10
50.411,915
50.558,885
50.713,160
50.756,50
51.281,10
52.214,645
53.047,855
53.774,835
54.603,830
55.285,720
55.289,740
56.114,10
57.043,790
57.047,940
57.119,10
57.382,15
57.771,400
57.774,330
58.747,10
59.478,985
60.160,745
60.989,735
61.964,810
62.793,830
63.622,895
64.598,895
64.608,970
65.429,10
66.262,895
66.400,860
66.546,10
66.553,215
66.794,10
66.803,10
68.064,585
69.033,920
69.049,965
69.867,10
70.751,810
71.725,910
72.689,935
73.664,1005
74.492,985
75.468,895
76.442,920
77.418,995
78.393,1020
79.320,960
80.294,925
80.299,975
81.274,10
82.299,1015
83.072,945
84.144,845
85.023,930
86.011,970
86.972,1005
87.801,990
88.703,855
88.728,825
89.605,10
89.608,940
90.484,10
91.457,950
91.604,955
91.701,170
91.705,10
91.801,15
91.804,10
92.286,10
92.968,590
93.261,735
93.801,235
94.775,515
95.455,805
96.430,905
97.258,965
97.551,925
97.604,185
97.749,30
98.234,10
99.063,660
99.208,895
99.897,175
100.622,680
101.451,740
101.597,715
101.988,235
102.768,415
103.401,695
104.376,715
105.205,875
106.179,940
107.008,930
107.057,900
107.061,10
107.156,150
107.692,495
108.718,10
109.348,805
109.352,865
110.324,10
111.302,980
112.273,970
113.544,920
114.272,985
115.199,1010
116.174,1000
117.003,920
118.125,965
119.099,1010
120.073,990
120.905,955
122.028,955
122.852,1010
123.779,880
124.662,870
125.631,930
126.607,980
127.434,1010
128.458,855
129.238,855
130.213,915
130.901,970
131.773,810
132.699,830
133.629,880
134.406,930
135.235,845
136.064,805
137.187,905
137.192,1010
138.159,10
139.135,1035
139.963,910
139.969,905
140.938,10
141.917,945
142.937,995
143.717,935
144.740,895
145.667,960
146.495,975
147.471,865
148.445,935
149.421,965
150.298,955
151.078,855
151.145,920
152.063,10
153.028,945
153.857,915
154.686,890
155.660,915
156.489,955
157.465,870
158.444,915
159.268,935
160.096,900
161.023,830
161.904,865
162.924,935
163.704,965
163.708,855
164.588,10
164.700,910
165.557,10
166.483,960
167.312,900
168.190,815
169.062,865
169.846,870
170.676,835
171.504,865
172.340,860
173.162,850
173.313,770
173.374,165
173.395,10
173.401,15
173.410,15
173.501,15
173.893,10
173.990,545
174.868,10
175.550,845
176.379,825
176.548,775
177.208,210
178.183,675
179.309,935
180.084,970
180.815,855
181.802,880
181.851,905
181.939,10
182.082,175
182.521,15
183.350,585
183.353,780
184.187,10
185.008,810
185.836,870
186.686,890
186.729,825
187.640,10
188.615,905
189.444,960
190.296,920
191.106,800
191.248,870
191.253,15
191.257,20
191.296,20
191.307,15
191.320,15
191.345,15
191.348,10
191.394,10
191.397,10
191.444,10
191.987,10
192.128,710
192.810,10
193.177,795
193.246,190
193.250,15
193.295,10
193.298,15
193.302,10
193.307,15
193.520,15
193.639,455
194.319,10
194.324,790
195.186,10
195.199,855
196.122,10
196.951,975
197.829,805
198.952,845
198.956,930
199.681,10
199.685,880
200.462,10
200.561,775
201.144,225
201.147,475
201.883,10
202.509,720
203.484,790
204.459,885
205.293,965
205.482,830
206.116,235
206.119,625
207.046,10
207.968,910
208.898,945
209.823,905
210.748,905
211.771,975
212.552,975
213.526,910
214.501,925
215.476,980
216.305,985
217.280,905
218.269,975
219.230,980
220.063,920
221.037,905
222.255,940
222.838,925
222.841,835
222.987,10
223.666,210
224.505,615
225.470,900
225.473,935
226.298,10
226.302,870
227.161,10
228.102,840
228.934,885
228.980,910
229.906,10
230.737,915
231.710,900
232.685,955
233.518,965
233.708,865
233.767,10
233.771,185
233.821,15
233.903,10
233.906,15
234.343,10
235.171,615
236.065,855
237.023,860
237.027,880
237.123,10
237.852,90
237.949,785
237.953,125
238.099,15
238.830,10
239.510,720
240.339,815
240.785,820
241.801,460
242.142,915
242.434,435
243.122,375
243.263,585
243.267,235
245.067,380
245.750,1400
246.048,720
246.579,215
246.878,765
247.854,430
248.534,640
249.211,755
249.698,665
250.771,425
252.434,1115
252.965,1660
253.549,560
255.402,615
257.011,1745
257.157,1685
