df_hash,22ZHK4.D641S7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.TFPA
person_label,v106
date_time_start,2026-03-02_13-35-48.770000_+03
date_time_start_unix,1772444148.77
date_time_end,2026-03-02_13-44-33.021000_+03
length_difference_noticed,no

time,respiration_rate
109.806,24
114.676,24
119.566,24
124.226,24
128.856,24
133.266,24
137.766,24
142.566,24
147.206,24
151.836,24
156.456,24
160.906,24
165.456,25
169.876,27
174.046,27
178.156,27
182.716,27
186.856,27
191.276,27
195.336,27
199.766,27
204.546,27
209.066,30
223.176,27
232.026,27
236.536,27
240.836,27
247.386,27
401.466,27
506.406,30
510.576,30
515.026,30
