df_hash,22ZHK4.D641S7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.TFPA
person_label,v106
date_time_start,2026-03-02_13-35-48.770000_+03
date_time_start_unix,1772444148.77
date_time_end,2026-03-02_13-44-33.021000_+03
length_difference_noticed,no

time,heart_rate
17.309,54
18.232,51
19.113,51
20.283,51
21.160,51
22.136,51
23.306,51
24.183,51
25.061,51
26.231,51
27.157,51
28.185,51
29.204,51
30.154,59
31.008,62
32.227,63
33.104,65
33.982,66
35.249,67
36.081,68
36.955,68
38.174,68
39.051,68
39.935,67
41.148,66
42.028,66
43.000,67
44.122,66
44.999,66
45.929,66
47.115,66
47.973,66
48.899,69
50.118,70
51.241,70
51.873,69
53.091,69
54.002,69
54.846,70
56.065,72
56.943,74
57.820,75
59.039,75
59.920,73
60.794,72
62.012,73
62.890,74
63.767,74
64.986,72
65.864,70
66.813,68
68.028,68
68.837,68
69.792,68
70.937,68
71.860,68
72.737,67
73.911,66
74.834,65
75.711,64
76.881,64
77.807,64
78.685,63
79.904,63
80.781,62
81.660,62
82.877,62
83.755,62
84.632,63
85.851,64
86.757,64
87.606,64
88.825,64
89.897,64
90.628,65
91.807,66
92.676,66
93.605,67
94.919,66
95.650,70
96.576,72
97.893,70
98.623,69
99.552,68
100.722,68
101.650,69
102.523,71
103.693,70
104.619,76
105.497,73
106.716,72
107.593,70
108.471,69
109.656,70
110.567,64
111.445,61
112.663,60
113.785,62
114.418,63
115.670,62
116.563,62
117.392,62
118.611,62
119.488,62
120.414,62
121.585,62
122.475,62
123.388,62
124.641,63
125.436,64
126.362,64
127.532,64
128.462,64
129.337,64
130.506,64
131.432,65
132.309,67
133.479,68
134.456,68
135.283,69
136.502,69
137.379,69
138.259,68
139.475,66
140.353,65
141.230,64
142.449,63
143.327,63
144.253,63
145.423,63
146.300,63
147.260,64
148.397,64
149.274,64
150.200,64
151.395,64
152.317,64
153.469,64
154.344,65
155.281,66
156.148,66
157.318,66
158.244,66
159.121,66
160.292,66
161.218,67
162.095,68
163.314,68
164.192,68
165.069,68
166.291,67
167.214,66
168.043,66
169.311,67
170.385,68
171.016,69
172.264,70
173.113,70
174.039,70
175.209,72
176.135,73
177.013,74
178.232,74
179.158,73
179.988,71
181.549,69
182.085,68
183.009,67
184.133,68
185.056,70
186.284,72
187.104,73
188.030,72
188.957,71
190.129,69
191.053,68
191.979,68
193.490,68
194.075,69
195.050,72
196.074,73
197.246,73
197.877,72
199.491,71
200.271,70
200.851,69
202.021,70
202.947,70
203.825,73
205.044,75
205.970,73
206.799,71
208.018,70
209.092,69
209.871,68
210.946,67
212.018,66
212.748,65
213.965,64
214.842,64
215.720,64
216.938,64
217.914,64
218.693,63
219.912,63
220.790,63
221.667,63
222.886,64
223.763,65
224.713,66
225.860,67
226.834,68
227.663,68
228.883,68
229.714,68
230.637,68
231.809,68
232.692,67
233.714,66
234.805,65
235.707,66
236.586,67
237.755,68
238.681,69
239.853,69
240.777,70
241.654,70
242.581,72
243.753,71
244.677,70
245.506,70
246.726,70
247.604,70
248.479,79
249.702,83
250.576,79
251.453,79
252.672,79
253.844,79
254.476,79
255.646,79
256.523,79
257.449,79
258.668,79
259.497,79
260.423,79
261.594,76
262.520,76
263.397,76
264.568,76
265.495,75
266.370,75
267.566,75
268.467,75
269.344,75
270.567,75
271.440,75
272.613,75
273.537,75
274.535,75
275.292,75
276.510,65
277.412,60
278.265,57
279.487,59
280.362,59
281.239,58
282.458,58
283.335,58
284.213,58
285.432,56
286.309,56
287.255,56
288.405,56
289.303,56
290.209,56
291.379,56
292.260,56
293.183,56
294.353,56
295.302,56
296.156,56
297.326,56
298.253,56
299.130,74
300.300,82
301.227,74
302.104,80
303.323,80
304.200,82
305.083,82
306.296,82
307.183,82
308.051,82
309.275,82
310.148,82
311.025,82
312.244,83
313.122,84
314.048,83
315.218,83
316.095,83
317.021,83
318.191,83
319.069,83
320.003,88
321.205,89
322.092,90
322.971,91
324.235,90
325.065,90
325.943,90
327.164,90
328.039,90
328.966,90
330.135,91
331.012,91
331.941,91
333.109,92
333.986,92
334.946,93
336.082,93
336.960,93
337.891,92
339.056,93
339.982,92
340.869,92
342.030,91
342.956,90
343.859,90
345.005,89
346.031,89
346.807,87
348.026,86
348.952,83
349.781,81
351.048,80
351.880,81
352.804,80
353.975,82
354.900,80
355.875,81
357.069,80
357.825,80
358.751,83
359.929,84
360.847,84
361.734,84
362.905,83
363.821,83
364.698,82
365.925,82
366.799,81
367.672,80
368.891,79
369.817,78
370.646,78
371.865,78
372.743,78
373.623,79
374.881,79
375.739,79
376.599,79
377.813,79
378.749,79
379.665,80
380.812,81
381.717,82
382.590,82
383.812,82
384.637,83
385.563,84
386.733,85
387.660,86
388.541,87
389.730,88
390.633,89
391.585,89
392.778,90
393.619,91
394.485,91
395.703,91
396.581,91
397.458,91
398.679,90
399.626,89
400.432,88
401.654,86
402.567,85
403.454,84
404.624,83
405.589,82
406.464,81
407.598,81
408.524,81
409.402,81
410.574,81
411.449,81
412.399,81
413.546,81
414.478,82
415.398,83
416.519,84
417.691,84
418.363,85
419.493,84
420.423,84
421.297,84
422.516,84
423.476,84
424.271,84
425.499,84
426.369,84
427.244,84
428.464,84
429.340,79
430.267,81
431.441,80
