df_hash,22ZHK4.D641S7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.TFPA
person_label,v106
date_time_start,2026-03-02_13-35-48.770000_+03
date_time_start_unix,1772444148.77
date_time_end,2026-03-02_13-44-33.021000_+03
length_difference_noticed,no

time,omega
80.354,0.581
82.356,0.588
83.372,0.590
86.304,0.588
88.738,0.590
95.507,0.593
97.603,0.603
99.361,0.600
101.649,0.606
103.456,0.600
104.431,0.599
105.358,0.599
109.404,0.596
112.328,0.596
114.332,0.596
120.179,0.596
122.955,0.596
125.686,0.596
126.617,0.599
131.879,0.599
132.900,0.601
137.244,0.599
140.019,0.599
145.820,0.599
146.600,0.599
151.138,0.599
151.190,0.596
153.232,0.592
153.915,0.589
154.751,0.592
155.828,0.589
158.602,0.587
163.760,0.589
164.884,0.589
169.277,0.589
169.902,0.589
170.828,0.589
172.696,0.589
176.442,0.589
176.681,0.590
181.883,0.590
185.948,0.593
186.726,0.593
186.825,0.596
188.769,0.591
200.617,0.589
205.695,0.589
211.879,0.589
218.332,0.589
219.382,0.585
225.534,0.585
226.447,0.585
228.156,0.585
228.994,0.585
239.666,0.589
279.836,0.589
287.554,0.589
288.077,0.595
295.234,0.595
299.877,0.592
300.797,0.591
303.716,0.589
304.890,0.591
305.573,0.591
307.133,0.592
307.811,0.602
308.545,0.611
309.274,0.615
309.914,0.619
317.639,0.622
320.336,0.622
321.165,0.622
321.659,0.629
345.494,0.619
346.337,0.619
347.395,0.615
348.818,0.614
349.556,0.612
350.324,0.609
350.923,0.609
352.179,0.609
353.054,0.609
353.828,0.609
361.733,0.612
362.462,0.612
363.102,0.619
363.780,0.612
364.661,0.608
365.288,0.612
366.073,0.608
366.798,0.606
367.634,0.606
368.556,0.606
369.390,0.612
369.940,0.612
371.530,0.612
372.312,0.608
373.037,0.603
373.620,0.603
374.552,0.602
375.187,0.602
376.022,0.602
377.436,0.603
378.748,0.602
379.479,0.602
380.356,0.602
380.942,0.602
381.716,0.608
382.353,0.608
383.132,0.616
383.717,0.618
384.546,0.619
385.634,0.619
386.401,0.619
387.089,0.618
388.537,0.619
390.834,0.622
393.618,0.622
400.685,0.622
401.421,0.622
402.099,0.626
405.220,0.626
405.853,0.631
415.017,0.639
419.152,0.639
439.979,0.644
468.445,0.644
484.831,0.640
488.631,0.653
490.627,0.656
494.477,0.659
495.354,0.659
496.281,0.674
