df_hash,22ZHK4.D641S7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.TFPA
person_label,v106
date_time_start,2026-03-02_13-35-48.770000_+03
date_time_start_unix,1772444148.77
date_time_end,2026-03-02_13-44-33.021000_+03
length_difference_noticed,no

time,temperature
5.902,31.359
6.926,31.406
7.901,31.469
8.925,31.531
9.921,31.562
10.923,31.594
11.899,31.656
12.971,31.703
14.094,31.734
14.921,31.797
16.042,31.844
17.021,31.906
18.228,31.953
18.918,31.953
19.894,31.984
20.917,32.031
21.941,32.031
22.967,32.062
24.137,32.062
24.958,32.094
25.890,32.125
26.913,32.125
28.034,32.156
28.914,32.219
29.916,32.250
30.911,32.281
31.937,32.281
32.910,32.312
33.885,32.375
34.915,32.438
35.883,32.469
36.907,32.469
37.942,32.469
38.906,32.500
39.929,32.562
40.904,32.594
41.928,32.656
42.903,32.688
43.976,32.688
44.902,32.688
45.925,32.719
46.901,32.750
47.924,32.812
49.197,32.781
49.923,32.781
50.898,32.812
51.922,32.781
52.900,32.781
53.997,32.781
54.896,32.812
55.919,32.844
56.894,32.875
57.918,32.875
58.893,32.875
59.917,32.906
60.892,32.938
61.969,32.969
63.185,33.000
63.917,33.062
64.889,33.031
65.913,33.094
66.888,33.094
67.912,33.125
68.887,33.156
69.910,33.188
70.934,33.219
71.909,33.250
72.884,33.281
73.907,33.281
75.129,33.312
75.915,33.344
76.930,33.312
77.926,33.312
78.880,33.344
80.053,33.344
80.879,33.375
81.903,33.406
82.978,33.438
83.908,33.438
84.928,33.438
86.003,33.469
86.924,33.531
87.947,33.594
88.922,33.594
89.906,33.625
90.921,33.625
91.896,33.625
92.920,33.625
94.092,33.625
94.954,33.688
95.965,33.656
96.918,33.781
97.902,33.781
98.976,33.844
99.891,33.812
100.921,33.844
101.890,33.812
103.263,33.875
103.889,33.875
104.914,33.875
105.936,33.875
106.911,33.812
107.974,33.844
108.910,33.844
110.229,33.875
110.957,33.844
111.884,33.906
112.962,33.906
113.962,33.938
114.906,33.938
115.933,33.938
116.905,33.938
117.880,33.938
118.904,33.938
119.879,33.969
120.902,33.969
122.024,33.938
122.956,33.969
123.876,34.000
124.900,33.969
125.875,34.031
126.902,34.031
128.119,34.031
128.897,34.062
129.872,34.094
130.896,34.125
131.920,34.094
132.904,34.062
133.918,34.062
134.893,34.125
135.919,34.125
136.892,34.156
137.916,34.156
138.891,34.156
139.915,34.188
140.891,34.188
141.913,34.219
143.037,34.250
143.912,34.312
144.887,34.281
145.911,34.250
146.957,34.219
147.915,34.250
148.885,34.250
149.908,34.219
150.883,34.219
151.907,34.219
152.884,34.188
154.054,34.188
154.951,34.219
155.905,34.250
156.879,34.281
157.927,34.281
158.893,34.312
159.902,34.344
160.877,34.375
161.900,34.375
162.878,34.375
164.145,34.375
164.886,34.375
165.898,34.406
167.071,34.375
167.896,34.406
168.872,34.375
170.142,34.438
170.893,34.438
171.894,34.438
172.869,34.469
173.898,34.469
174.968,34.469
175.894,34.438
176.867,34.469
177.891,34.469
178.914,34.438
179.889,34.438
180.891,34.438
181.936,34.438
182.911,34.438
183.887,34.438
184.911,34.469
186.278,34.469
186.930,34.438
187.884,34.500
188.908,34.562
190.126,34.562
190.929,34.562
191.899,34.594
193.173,34.719
193.880,34.750
195.148,34.719
195.879,34.719
196.903,34.781
197.978,34.750
199.050,34.719
200.268,34.688
200.904,34.656
201.887,34.656
202.906,34.562
203.874,34.562
204.898,34.594
205.873,34.656
207.043,34.656
207.872,34.688
209.100,34.656
210.068,34.719
210.942,34.750
212.027,34.781
212.894,34.750
213.882,34.781
214.940,34.781
215.866,34.719
216.890,34.688
218.230,34.719
218.889,34.750
219.864,34.750
220.936,34.688
222.109,34.719
222.983,34.719
223.913,34.719
224.885,34.688
225.947,34.750
226.933,34.781
227.859,34.781
228.894,34.781
229.862,34.750
230.881,34.812
231.954,34.781
232.886,34.781
233.910,34.812
234.879,34.812
235.951,34.781
236.913,34.750
237.901,34.812
238.876,34.812
239.903,34.781
240.880,34.781
241.899,34.906
243.117,34.969
243.899,34.969
244.872,34.969
245.896,34.938
247.312,34.969
247.895,34.938
248.870,34.938
249.894,34.969
250.919,34.969
251.892,34.875
252.867,34.812
253.933,34.750
254.866,34.750
255.938,34.781
256.865,34.781
257.892,34.781
258.864,34.812
259.913,34.812
260.862,34.812
261.886,34.875
262.910,34.875
263.959,34.906
264.864,34.938
265.883,34.969
266.858,34.969
268.128,35.000
268.857,34.969
269.905,34.969
270.856,34.969
271.892,34.938
272.882,34.969
273.881,34.969
274.853,34.969
275.879,34.969
276.852,34.969
277.876,34.969
278.900,34.938
279.877,34.906
280.898,34.875
281.873,34.906
282.897,34.875
283.876,34.844
284.906,34.844
285.871,34.844
286.895,34.844
287.893,34.812
288.893,34.875
289.868,34.906
290.918,34.938
291.867,34.938
292.891,34.969
294.063,35.000
294.892,35.031
295.866,35.031
296.888,35.031
297.863,35.031
298.912,35.000
299.879,35.031
300.886,35.062
301.902,35.062
302.884,35.062
303.883,35.062
305.079,35.031
305.858,35.031
306.881,35.000
307.857,35.000
309.002,35.000
310.004,34.969
310.879,34.938
311.855,34.969
312.878,34.938
313.904,34.906
314.925,34.969
315.970,34.969
316.876,35.000
317.851,35.000
318.874,35.031
