df_hash,22ZHK4.D641S7
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.TFPA
person_label,v106
date_time_start,2026-03-02_13-35-48.770000_+03
date_time_start_unix,1772444148.77
date_time_end,2026-03-02_13-44-33.021000_+03
length_difference_noticed,no

time,battery
13.800,50
23.794,50
33.787,50
43.781,50
53.823,50
63.817,50
73.827,50
83.901,50
93.797,50
103.791,50
113.793,50
123.784,50
133.795,50
143.766,50
153.808,50
163.803,50
173.796,50
183.789,50
193.783,50
203.777,50
213.775,50
223.910,50
233.817,50
243.806,50
253.865,50
263.788,50
273.781,50
283.775,50
293.768,49
303.860,49
313.756,49
323.798,49
333.889,49
343.801,49
353.778,49
363.781,49
373.774,49
383.808,49
393.858,49
403.845,49
413.741,49
423.849,49
433.728,49
443.816,49
453.816,49
463.760,49
473.777,49
483.746,49
493.739,49
503.733,49
513.727,49
