df_hash,22ZHK4.WCZFFA
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XKHD
person_label,V44
date_time_start,2025-10-27_14-47-56.312000_+03
date_time_start_unix,1761562076.312
date_time_end,2025-10-27_14-56-44.155000_+03
length_difference_noticed,no

time,perfusion_ir
34.825,0.230
36.388,0.230
50.275,0.230
51.793,0.220
54.373,0.220
54.860,0.220
58.033,0.210
60.957,0.210
63.876,0.210
63.933,0.200
69.883,0.200
70.799,0.200
72.025,0.190
73.025,0.190
73.584,0.190
77.435,0.180
78.163,0.180
79.820,0.180
81.823,0.170
83.328,0.170
84.062,0.170
84.843,0.170
84.895,0.170
85.766,0.160
87.768,0.160
89.228,0.160
89.961,0.160
90.747,0.150
92.886,0.150
95.762,0.150
96.444,0.150
97.325,0.150
97.956,0.150
100.099,0.150
105.271,0.140
106.887,0.140
107.267,0.140
110.406,0.140
112.730,0.140
113.168,0.140
114.723,0.140
115.655,0.140
116.289,0.140
117.795,0.140
118.579,0.150
119.991,0.150
120.820,0.150
123.108,0.150
124.424,0.150
125.987,0.150
126.672,0.150
130.424,0.150
131.834,0.150
133.641,0.150
134.131,0.150
134.857,0.150
135.786,0.160
136.569,0.150
137.151,0.150
137.831,0.150
138.711,0.150
153.486,0.150
154.166,0.150
156.310,0.150
157.093,0.150
157.821,0.150
158.601,0.150
160.694,0.150
165.131,0.150
166.596,0.150
167.327,0.150
168.739,0.150
174.686,0.150
181.953,0.150
184.297,0.150
185.070,0.150
190.007,0.140
192.925,0.140
193.750,0.140
207.352,0.140
213.250,0.140
214.857,0.140
216.911,0.140
218.418,0.140
219.105,0.140
252.445,0.140
273.749,0.140
274.580,0.140
280.870,0.140
287.546,0.140
291.589,0.140
293.052,0.140
316.211,0.140
332.835,0.140
