df_hash,22ZHK4.WCZFFA
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XKHD
person_label,V44
date_time_start,2025-10-27_14-47-56.312000_+03
date_time_start_unix,1761562076.312
date_time_end,2025-10-27_14-56-44.155000_+03
length_difference_noticed,no

time,battery
9.666,43
19.806,43
29.703,43
39.700,43
49.690,43
59.689,43
69.826,43
80.064,43
89.763,43
99.659,43
109.782,43
119.795,43
129.690,43
139.684,43
149.744,43
159.769,43
169.665,43
179.663,43
189.753,43
199.728,43
209.640,43
219.682,43
229.676,43
239.719,43
249.664,43
259.660,43
269.652,43
279.646,43
289.737,43
299.634,42
309.727,42
319.643,42
329.663,42
339.706,42
349.651,42
359.645,42
369.662,42
379.633,42
389.627,42
399.620,42
409.760,42
419.657,42
429.650,42
439.644,42
449.638,42
459.786,42
469.631,42
479.726,42
489.808,42
499.618,42
509.601,42
519.644,42
