df_hash,22ZHK4.WCZFFA
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XKHD
person_label,V44
date_time_start,2025-10-27_14-47-56.312000_+03
date_time_start_unix,1761562076.312
date_time_end,2025-10-27_14-56-44.155000_+03
length_difference_noticed,no

time,omega
34.829,0.492
36.392,0.494
50.281,0.499
51.796,0.494
54.379,0.499
54.865,0.494
58.038,0.492
60.960,0.490
63.882,0.492
63.938,0.490
69.889,0.492
70.805,0.492
72.029,0.492
73.048,0.492
73.590,0.490
77.441,0.489
78.169,0.486
79.826,0.486
81.831,0.489
83.334,0.494
84.065,0.489
84.846,0.486
84.898,0.486
85.770,0.486
87.773,0.484
89.234,0.484
89.967,0.477
90.754,0.477
92.891,0.477
95.765,0.481
96.451,0.477
97.330,0.481
97.963,0.481
100.104,0.481
105.277,0.481
106.898,0.477
107.270,0.481
110.409,0.481
112.736,0.481
113.206,0.481
114.728,0.481
115.659,0.481
116.335,0.477
117.798,0.477
118.583,0.488
119.995,0.491
120.825,0.491
123.113,0.491
124.429,0.491
125.994,0.491
126.676,0.491
130.427,0.480
131.839,0.469
133.644,0.463
134.276,0.469
134.860,0.469
135.789,0.469
136.576,0.463
137.154,0.463
137.836,0.459
138.715,0.459
153.491,0.462
154.170,0.469
156.316,0.469
157.136,0.462
157.827,0.458
158.605,0.458
160.698,0.458
165.134,0.462
166.600,0.462
167.331,0.458
168.742,0.462
174.690,0.471
181.958,0.488
184.300,0.485
185.074,0.485
190.094,0.471
193.019,0.471
193.754,0.462
207.399,0.471
213.253,0.485
214.862,0.471
216.916,0.471
218.421,0.462
219.120,0.462
252.449,0.471
273.755,0.471
274.584,0.485
280.891,0.485
287.550,0.485
291.593,0.495
293.056,0.501
316.215,0.501
332.840,0.516
