df_hash,22ZHK4.3NGMYT
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.VVA5
person_label,V18
date_time_start,2025-05-23_10-26-57.429000_+03
date_time_start_unix,1747985217.429
date_time_end,2025-05-23_10-35-12.468000_+03
length_difference_noticed,no

time,rr_int
9.531,4065
9.535,765
10.067,15
10.070,510
10.213,50
10.229,25
10.265,10
10.506,10
10.510,390
10.898,10
11.481,380
11.487,505
11.532,10
11.538,15
11.871,65
12.164,325
12.993,350
13.821,760
14.260,945
14.947,335
15.931,520
15.969,1195
15.972,10
18.014,445
19.525,1655
19.971,1530
20.116,395
21.624,10
22.596,1645
22.603,1080
23.723,10
24.001,1025
24.013,315
24.546,10
25.082,570
25.086,550
25.232,10
25.235,10
25.376,200
27.032,950
28.008,715
28.983,975
30.104,1045
30.250,1095
30.773,345
30.790,10
31.542,480
32.116,565
32.200,585
32.207,150
33.711,10
34.298,1490
35.125,560
35.128,860
35.807,10
36.249,655
37.078,185
37.319,1100
37.612,535
39.122,1260
39.561,275
39.855,410
39.951,380
39.955,30
40.098,10
41.219,265
41.223,1105
41.376,15
41.463,45
41.512,230
42.486,265
42.490,705
42.682,15
42.779,235
43.997,970
44.008,230
44.046,15
44.050,15
44.053,10
44.144,15
44.148,10
44.151,10
44.154,20
44.682,30
44.731,565
44.826,10
44.831,125
44.875,20
44.879,15
44.882,15
44.975,10
45.411,10
46.094,570
46.485,720
47.215,355
47.219,660
47.508,20
47.752,375
48.336,200
48.340,555
48.385,10
48.389,10
48.392,15
48.433,15
48.438,10
48.441,10
48.444,10
48.729,10
49.054,10
49.198,695
50.140,10
50.143,1000
50.194,10
50.205,20
50.287,155
51.213,950
51.264,10
51.272,55
51.359,140
53.065,400
53.162,1245
53.166,140
53.214,15
53.217,10
54.284,320
54.967,765
55.697,650
56.087,700
56.090,430
56.094,10
56.234,160
57.209,880
57.893,185
58.184,565
58.477,310
59.017,255
59.305,635
59.308,280
59.451,10
59.455,145
59.500,10
59.504,10
59.507,10
59.561,10
59.988,15
60.962,460
60.966,950
61.791,10
61.795,840
61.937,15
61.941,125
61.986,10
61.991,15
61.995,10
62.234,255
63.454,645
64.278,670
64.871,805
65.302,520
65.551,520
65.743,190
66.668,10
66.963,1175
68.177,285
69.591,1255
69.595,1375
69.981,10
70.956,465
70.960,925
71.271,225
71.395,10
71.399,10
71.785,545
72.663,10
73.589,830
73.594,830
73.637,140
73.644,10
73.692,10
73.718,15
73.726,10
74.320,10
75.295,760
75.978,890
76.417,695
77.489,490
78.467,1035
79.197,1030
79.596,740
80.426,305
81.291,855
81.297,855
81.303,25
81.392,25
81.398,15
81.974,15
81.980,685
82.949,10
83.046,885
83.050,180
83.192,15
83.196,160
84.021,750
84.025,15
84.070,10
84.074,15
84.077,10
84.119,10
84.122,15
84.125,15
84.128,15
84.167,10
84.171,10
84.177,15
84.221,20
84.320,190
85.143,370
85.585,530
86.118,355
86.264,645
86.411,195
86.556,160
86.560,10
86.608,15
86.612,15
87.921,595
88.653,695
88.750,785
88.896,270
88.902,10
89.481,490
90.222,10
90.575,810
90.603,305
90.610,10
90.616,10
90.624,10
90.654,15
90.661,20
90.666,20
90.701,15
90.993,20
91.822,330
92.685,900
94.164,865
94.213,1420
94.216,15
94.220,15
94.356,15
94.360,170
94.363,10
94.454,15
94.600,215
95.288,760
95.575,10
95.579,260
95.868,230
95.882,10
96.111,10
96.115,15
96.166,195
97.525,970
97.529,485
98.062,10
98.392,495
98.890,290
98.893,595
99.042,10
99.188,300
99.332,10
99.719,380
99.865,235
99.869,10
100.012,250
100.749,10
101.573,700
101.580,775
101.670,10
101.815,275
101.868,10
101.961,30
101.968,130
102.936,335
103.229,825
103.912,690
104.058,15
104.061,160
104.473,20
104.496,470
104.501,10
104.619,10
105.183,110
106.010,550
106.014,865
106.017,10
107.381,10
107.958,1390
108.640,450
108.643,810
109.323,10
109.327,685
109.616,250
110.739,325
111.273,550
111.565,765
111.712,515
113.518,760
113.664,950
113.795,10
113.907,275
113.910,10
114.198,125
115.194,390
115.319,945
115.469,245
115.855,355
116.153,10
116.300,280
116.990,10
117.951,900
117.955,935
118.098,10
118.255,235
118.439,20
118.443,25
118.448,15
118.780,10
118.926,570
118.930,120
119.024,10
119.027,35
119.756,15
120.585,755
121.559,885
121.705,945
121.709,140
121.757,85
121.761,10
123.364,640
124.192,940
124.484,860
125.166,250
125.172,705
126.141,10
127.117,1035
127.409,965
127.414,215
128.091,25
128.774,665
129.067,815
129.071,210
129.119,15
129.122,15
129.603,40
129.606,505
129.898,10
130.483,190
130.493,665
130.497,15
130.501,10
130.578,15
130.581,10
130.724,175
130.727,15
131.992,835
132.677,500
132.727,640
133.796,10
133.803,1130
134.624,10
134.917,835
134.922,250
135.063,10
135.600,120
136.581,610
137.407,910
138.524,905
138.527,1030
138.573,10
138.576,15
138.579,75
138.820,15
138.914,255
138.917,10
138.920,10
138.924,15
139.012,105
139.355,15
139.402,350
140.243,10
140.249,910
140.328,10
140.332,10
140.718,45
141.303,435
141.306,520
141.839,10
141.843,560
141.997,230
142.961,335
144.082,565
144.085,1085
144.910,10
146.032,925
146.568,1055
146.571,635
146.714,10
146.717,10
147.015,10
147.156,400
148.095,10
149.055,1065
149.883,930
