df_hash,22ZHK4.3NGMYT
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.VVA5
person_label,V18
date_time_start,2025-05-23_10-26-57.429000_+03
date_time_start_unix,1747985217.429
date_time_end,2025-05-23_10-35-12.468000_+03
length_difference_noticed,no

time,acc_mag
16.009,0.999
16.039,0.994
16.069,0.994
16.099,0.991
16.129,0.996
16.159,0.992
16.189,0.996
16.219,0.998
16.249,0.994
16.279,0.995
16.309,0.993
16.339,0.998
16.369,0.996
16.399,0.993
16.429,0.992
16.459,0.995
16.489,0.992
16.519,0.993
16.549,0.986
16.579,0.997
16.609,0.994
16.639,0.994
16.669,0.996
16.699,0.996
16.729,0.993
16.759,0.989
16.789,0.994
16.819,0.992
16.849,0.999
16.879,0.995
16.909,0.993
16.939,0.986
16.969,0.997
16.999,0.999
17.029,0.995
17.059,0.995
17.089,0.992
17.119,0.991
17.149,0.994
17.179,0.996
17.209,0.994
17.239,0.989
17.269,0.996
17.299,0.995
17.329,0.991
17.359,0.989
17.389,0.991
17.419,0.993
17.449,0.995
17.479,1.001
17.509,0.994
17.539,1.001
17.569,0.992
17.599,0.986
17.629,0.991
17.659,0.992
17.689,0.991
17.719,0.993
17.749,0.995
17.779,0.983
17.809,0.996
17.839,0.994
17.869,0.993
17.899,0.995
17.929,0.990
17.959,0.990
17.989,0.991
18.019,0.993
18.049,0.994
18.079,0.998
18.109,0.992
18.139,0.992
18.169,0.986
18.199,0.993
18.229,0.992
18.259,0.991
18.289,0.990
18.319,0.994
18.349,0.989
18.379,0.980
18.409,0.988
18.439,0.979
18.469,0.994
18.499,0.984
18.529,0.987
18.559,0.987
18.589,1.001
18.619,0.996
18.649,0.989
18.679,0.992
18.709,0.985
18.739,0.991
18.769,0.993
18.799,0.989
18.829,0.988
18.859,0.991
18.889,0.988
18.919,0.991
18.949,0.996
18.979,0.996
19.009,0.990
19.039,0.996
19.069,0.989
19.099,0.994
19.129,0.991
19.159,0.987
19.189,0.994
19.219,0.984
19.249,0.990
19.279,0.986
19.309,0.989
19.339,0.997
19.369,0.991
19.399,0.986
19.429,0.981
19.459,0.986
19.489,0.990
19.519,0.993
19.549,0.993
19.579,0.993
19.609,0.986
19.639,0.998
19.669,0.999
19.699,0.992
19.729,0.991
19.759,0.981
19.789,0.993
19.819,0.993
19.849,0.988
19.879,0.992
19.909,0.993
19.939,0.997
19.969,0.992
19.999,0.991
20.029,0.990
20.059,0.990
20.089,0.994
20.119,0.993
20.149,0.994
20.179,0.983
20.209,0.995
20.239,0.994
20.269,0.990
20.299,0.991
20.329,0.986
20.359,0.988
20.389,0.987
20.419,0.994
20.449,0.984
20.479,0.993
20.509,0.996
20.539,0.989
20.569,0.993
20.599,0.990
20.629,0.994
20.659,0.992
20.689,0.997
20.719,0.991
20.749,0.990
20.779,0.994
20.809,0.989
20.839,0.986
20.869,0.993
20.899,0.993
20.929,0.990
20.959,0.991
20.989,0.992
21.019,0.992
21.049,0.989
21.079,0.995
21.109,0.987
21.139,0.996
21.169,0.991
21.199,0.983
21.229,0.990
21.259,0.995
21.289,0.990
21.319,0.992
21.349,0.997
21.379,0.987
21.409,0.996
21.439,0.994
21.469,0.995
21.499,0.994
21.529,0.990
21.559,0.992
21.589,0.993
21.619,0.995
21.649,0.990
21.679,0.993
21.709,0.992
21.739,0.990
21.769,0.992
21.799,0.993
21.829,0.991
21.859,0.993
21.889,0.994
21.919,0.992
21.949,0.992
21.979,0.995
22.009,0.992
22.039,0.990
22.069,0.990
22.099,0.992
22.129,0.993
22.159,0.996
22.189,0.991
22.219,0.997
22.249,0.991
22.279,0.987
22.309,0.992
22.339,0.995
22.369,0.994
22.399,0.996
22.429,0.994
22.459,0.991
22.489,0.994
22.519,0.996
22.549,0.995
22.579,0.991
22.609,0.990
22.639,0.990
22.669,0.996
22.699,0.992
22.729,0.995
22.759,0.996
22.789,0.995
22.819,0.987
22.849,0.993
22.879,0.991
22.909,0.994
22.939,0.992
22.969,0.990
22.999,0.997
23.029,0.996
23.059,0.991
23.089,0.993
23.119,0.987
23.149,0.989
23.179,0.998
23.209,0.989
23.239,1.002
23.269,0.999
23.299,0.981
23.329,0.993
23.359,1.000
23.389,0.988
23.419,0.987
23.449,0.997
23.479,0.989
23.509,0.993
23.539,1.000
23.569,1.000
23.599,0.992
23.629,0.991
23.659,0.994
23.689,0.991
23.719,0.990
23.749,0.989
23.779,0.999
23.809,0.993
23.839,0.994
23.869,0.990
23.899,0.992
23.929,0.994
23.959,0.993
23.989,0.992
24.019,0.991
24.049,0.992
24.079,0.990
24.109,0.988
24.139,1.002
24.169,0.995
24.199,0.988
24.229,0.990
24.259,0.993
24.289,0.995
24.319,0.993
24.349,1.002
24.379,0.988
24.409,1.000
24.439,0.996
24.469,0.993
24.499,0.995
24.529,0.993
24.559,0.995
24.589,0.995
24.619,0.995
24.649,0.998
24.679,0.996
24.709,1.001
24.739,1.002
24.769,0.999
24.799,0.990
24.829,0.992
24.859,1.001
24.889,1.005
24.919,0.993
24.949,0.994
24.979,0.989
25.009,0.993
25.039,0.996
25.069,0.998
25.099,0.989
25.129,0.988
25.159,1.001
25.189,0.990
25.219,0.998
25.249,0.999
25.279,0.992
25.309,0.997
25.339,0.995
25.369,0.994
25.399,0.992
25.429,0.994
25.459,0.991
25.489,0.997
25.519,0.997
25.549,1.002
25.579,0.998
25.609,0.995
25.639,0.997
25.669,1.000
25.699,0.987
25.729,1.002
25.759,0.999
25.789,0.995
25.819,0.993
25.849,0.998
25.879,0.996
25.909,0.992
25.939,1.001
25.969,0.990
25.999,0.995
26.029,1.000
26.059,0.995
26.089,0.992
26.119,0.995
26.149,0.995
26.179,0.991
26.209,0.994
26.239,0.992
26.269,0.991
26.299,0.993
26.329,0.995
26.359,0.998
26.389,0.999
26.419,0.995
26.449,1.000
26.479,1.000
26.509,1.003
26.539,0.991
26.569,1.001
26.599,0.995
26.629,0.988
26.659,0.994
26.689,0.992
26.719,0.994
26.749,1.001
26.779,1.000
26.809,0.992
26.839,0.992
26.869,0.999
26.899,0.993
26.929,0.995
26.959,0.995
26.989,0.996
27.019,0.998
27.049,1.000
27.079,0.991
27.109,1.003
27.139,0.998
27.169,0.996
27.199,0.992
27.229,0.996
27.259,0.992
27.289,0.996
27.319,0.997
27.349,0.995
27.379,0.993
27.409,0.995
27.439,0.998
27.469,1.002
27.499,1.001
27.529,0.992
27.559,1.000
27.589,0.997
27.619,0.986
27.649,0.994
27.679,0.997
27.709,0.997
27.739,1.000
27.769,1.001
27.799,0.987
27.829,0.997
27.859,1.000
27.889,0.996
27.919,0.996
27.949,0.997
27.979,0.994
28.009,1.000
28.039,0.999
28.069,0.994
28.099,0.995
28.129,0.998
28.159,0.996
28.189,0.994
28.219,0.994
28.249,0.996
28.279,0.996
28.309,0.997
28.339,1.001
28.369,0.997
28.399,0.991
28.429,0.996
28.459,0.996
28.489,0.990
