df_hash,22ZHK4.3NGMYT
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.VVA5
person_label,V18
date_time_start,2025-05-23_10-26-57.429000_+03
date_time_start_unix,1747985217.429
date_time_end,2025-05-23_10-35-12.468000_+03
length_difference_noticed,no

time,quality
8.852,100
9.729,0
10.950,0
11.831,0
12.705,0
13.927,0
14.801,60
15.917,31
16.896,43
17.870,0
18.651,27
19.963,0
20.747,1
21.676,0
23.037,0
23.992,0
24.649,0
25.817,0
26.694,10
27.769,41
28.790,57
29.718,48
30.881,55
32.054,40
32.742,24
33.568,18
34.738,22
35.664,30
36.542,33
37.715,35
38.639,24
39.515,0
40.736,0
41.612,0
42.572,0
43.709,0
44.586,31
45.755,41
46.682,45
47.608,52
48.516,49
49.850,34
50.534,0
51.462,0
52.783,29
53.799,45
54.579,19
55.604,21
56.482,19
57.407,29
58.625,27
59.556,31
60.381,24
61.577,34
62.477,44
63.388,36
64.862,34
65.451,26
66.330,34
67.498,24
68.424,20
69.311,29
70.720,0
71.444,16
72.282,18
73.498,14
74.372,14
75.251,8
76.665,0
77.346,29
78.225,36
79.443,37
80.418,31
81.248,43
82.462,26
83.293,34
84.314,33
85.390,31
86.362,0
87.196,38
88.462,28
89.436,27
90.215,39
91.340,40
92.264,49
93.142,45
94.311,38
95.283,33
96.162,39
97.285,44
98.213,31
99.183,37
100.259,38
101.282,38
102.354,32
103.287,38
104.158,41
105.036,46
106.255,33
107.376,43
108.009,33
109.229,24
110.106,27
110.983,39
112.203,38
113.080,0
113.957,40
115.176,34
116.053,30
116.985,32
118.250,51
119.222,53
119.953,59
121.416,66
122.002,64
122.927,66
124.102,71
125.023,75
125.930,75
127.074,67
127.999,66
128.883,70
130.094,59
131.025,52
131.851,64
133.262,42
133.949,34
134.825,52
135.995,69
136.922,63
137.798,50
139.063,62
140.188,57
140.770,60
141.989,38
142.868,28
143.744,22
145.352,20
145.840,20
147.010,19
147.936,54
148.814,62
149.699,65
150.910,59
151.787,44
152.666,47
153.886,53
154.763,52
155.882,50
156.860,45
157.829,52
158.955,53
159.928,50
160.712,55
161.637,71
162.807,38
163.782,34
164.611,37
165.779,32
166.708,29
167.586,33
168.798,41
169.680,33
170.605,35
171.769,42
172.653,0
173.531,26
174.775,56
175.626,72
176.505,72
177.723,73
178.600,61
179.478,49
180.742,49
181.621,42
182.533,41
183.670,53
184.650,46
185.620,35
186.747,48
187.521,53
188.448,27
189.618,32
190.534,48
191.422,58
192.592,59
193.810,57
194.396,44
195.565,27
196.491,23
197.369,19
198.540,18
199.465,0
200.345,0
201.513,20
202.439,0
203.320,22
204.535,20
205.421,30
206.292,35
207.757,26
208.432,26
209.408,48
210.485,0
211.400,28
212.238,0
213.554,0
214.382,0
215.211,30
216.430,31
217.308,26
218.285,33
219.551,25
220.284,35
221.215,24
222.424,0
223.257,0
224.182,26
225.400,33
226.229,34
227.155,44
228.325,49
229.203,62
230.129,54
231.300,63
232.323,58
233.104,51
234.416,34
235.151,41
236.122,42
237.247,25
238.173,32
239.053,15
240.221,10
241.148,10
242.030,11
243.291,10
244.120,9
244.998,0
246.168,0
247.094,29
248.020,40
249.169,39
250.070,22
250.945,24
252.144,0
253.139,23
253.968,24
255.246,28
256.210,39
256.901,31
258.116,30
258.992,22
259.867,20
261.085,21
262.060,29
262.841,36
264.061,26
264.938,46
265.814,35
267.035,32
268.251,34
268.788,36
270.015,44
270.888,36
271.908,22
272.981,0
273.859,25
274.784,27
275.983,0
276.832,34
277.758,18
278.930,35
279.808,36
280.734,47
281.906,54
282.785,57
283.707,50
284.876,54
285.948,53
286.680,47
287.850,53
288.870,66
289.699,77
290.831,75
291.750,73
292.627,74
293.797,77
295.070,80
295.795,77
296.820,76
297.718,77
298.575,69
299.794,71
300.673,70
301.548,69
302.767,59
303.645,64
304.571,70
305.741,25
306.657,27
307.533,18
309.004,0
309.740,0
310.662,18
311.931,0
312.568,25
313.735,62
314.666,63
315.687,63
316.467,61
317.682,61
318.515,63
319.589,65
320.707,72
321.601,74
322.414,85
323.583,81
324.701,79
325.394,68
326.557,64
327.483,60
328.370,61
329.579,65
330.698,72
331.338,82
332.652,79
333.626,82
334.407,84
335.671,77
336.499,78
337.284,80
338.595,83
339.379,72
340.257,75
341.477,45
342.356,39
343.232,38
344.595,45
345.421,42
346.203,43
347.424,63
348.302,63
349.179,56
350.396,64
351.289,77
352.153,72
353.378,67
354.247,57
355.125,50
356.346,55
357.226,58
358.150,53
359.345,68
360.195,80
361.124,80
362.386,77
363.169,75
364.096,73
365.408,74
366.191,76
367.069,68
368.431,57
369.406,63
370.043,53
371.407,33
372.428,40
373.016,64
374.186,79
375.305,75
375.990,72
377.160,69
378.333,72
378.966,62
380.431,67
381.062,71
382.082,70
383.157,74
384.042,78
384.912,78
386.130,71
387.251,66
387.888,66
389.393,69
389.983,75
390.914,77
392.080,79
392.955,79
393.835,76
395.051,76
395.978,76
396.806,77
398.220,76
399.204,76
400.024,76
401.147,78
401.876,78
402.803,77
403.974,75
404.851,76
405.778,73
407.382,66
407.826,66
408.751,74
409.927,69
410.799,30
411.729,32
412.942,0
414.063,0
414.698,0
416.117,21
416.794,0
417.964,26
418.842,0
419.914,0
420.646,30
421.962,25
422.780,35
