df_hash,22ZHK4.3NGMYT
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.VVA5
person_label,V18
date_time_start,2025-05-23_10-26-57.429000_+03
date_time_start_unix,1747985217.429
date_time_end,2025-05-23_10-35-12.468000_+03
length_difference_noticed,no

time,ppg_quality
57.704,31
59.724,33
60.734,32
62.754,48
63.764,52
64.774,46
66.794,34
68.804,45
69.814,57
70.824,60
71.834,46
73.854,30
75.874,54
77.894,68
78.904,63
79.914,57
81.934,62
82.944,76
84.964,83
86.984,60
89.004,53
91.024,35
93.044,28
94.054,27
95.064,31
96.074,28
98.094,8
100.114,9
101.124,9
107.184,12
109.204,26
111.224,32
113.244,22
114.254,12
115.264,10
116.274,9
118.294,8
120.314,29
122.334,45
124.354,49
126.374,46
127.384,51
128.394,61
129.404,63
130.414,59
131.424,55
132.434,59
133.444,65
135.464,73
137.484,71
138.494,75
140.514,69
142.534,58
144.554,37
145.564,47
147.584,57
148.594,51
150.614,55
151.624,58
153.644,64
155.664,52
157.684,41
159.704,37
160.714,33
161.724,34
162.734,34
164.754,36
166.774,36
167.784,36
168.794,36
170.814,46
171.824,50
173.844,57
174.854,65
175.864,70
177.884,72
179.904,66
180.914,70
182.934,77
183.944,74
184.954,79
186.974,78
188.994,77
191.014,78
192.024,72
193.034,73
194.044,85
195.054,82
196.064,74
198.084,104
200.104,115
202.124,101
203.134,83
204.144,58
205.154,52
206.164,58
207.174,49
209.194,22
211.214,11
213.234,26
215.254,28
219.294,6
220.304,13
221.314,17
222.324,27
224.344,48
226.364,66
227.374,63
229.394,64
231.414,67
233.434,48
235.454,37
237.474,41
239.494,37
240.504,65
242.524,94
244.544,91
246.564,93
249.594,95
250.604,56
251.614,62
253.634,74
254.644,58
255.654,61
257.674,52
259.694,51
260.704,59
261.714,43
262.724,38
264.744,39
266.764,40
267.774,37
268.784,32
269.794,35
270.804,56
272.824,55
273.834,58
274.844,58
275.854,56
277.874,82
278.884,96
279.894,97
281.914,77
282.924,80
283.934,81
286.964,72
288.984,55
291.004,39
293.024,29
295.044,32
296.054,39
297.064,47
298.074,47
300.094,56
301.104,60
302.114,65
304.134,69
306.154,69
307.164,63
309.184,50
311.204,32
313.224,39
315.244,41
316.254,40
318.274,59
320.294,76
321.304,88
322.314,82
324.334,82
326.354,90
327.364,86
328.374,81
331.404,79
333.424,83
334.434,84
335.444,81
337.464,83
338.474,87
339.484,89
340.494,90
342.514,74
343.524,66
344.534,60
346.554,51
348.574,41
349.584,37
350.594,40
351.604,48
352.614,55
353.624,60
355.644,68
356.654,70
357.664,68
359.684,74
361.704,65
362.714,65
364.734,63
366.754,66
367.764,72
368.774,72
369.784,73
370.794,74
371.804,78
372.814,82
375.844,87
376.854,90
377.864,90
378.874,91
379.884,92
381.904,88
382.914,84
384.934,84
385.944,87
386.944,85
388.964,84
390.984,86
393.004,90
395.024,88
396.034,84
397.044,84
398.054,85
400.074,81
401.084,84
402.094,86
404.114,81
405.124,80
407.144,76
408.154,77
409.164,79
410.174,79
411.184,72
412.194,68
413.204,45
414.214,51
415.224,54
416.234,60
417.244,53
419.264,41
420.274,35
422.294,20
424.314,46
426.334,50
428.354,66
429.364,72
431.384,91
432.394,98
433.404,94
435.424,80
437.444,69
439.464,68
440.474,68
441.484,73
442.494,78
443.504,80
444.514,83
446.534,94
447.544,96
448.554,95
450.574,92
451.584,86
452.594,83
455.624,75
457.644,76
458.654,77
459.664,77
461.684,85
462.694,88
463.704,89
464.714,89
465.724,90
466.734,90
467.744,91
468.754,93
470.774,92
471.784,89
472.794,88
473.804,89
474.814,91
475.824,84
477.844,63
478.854,50
479.864,21
480.874,45
481.884,47
483.904,44
485.924,40
487.944,45
488.954,61
489.964,69
491.984,49
