df_hash,22ZHK4.3NGMYT
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.VVA5
person_label,V18
date_time_start,2025-05-23_10-26-57.429000_+03
date_time_start_unix,1747985217.429
date_time_end,2025-05-23_10-35-12.468000_+03
length_difference_noticed,no

time,heart_rate
8.848,46
9.726,46
10.945,46
11.822,46
12.700,46
13.922,46
14.796,56
15.682,48
16.892,49
17.773,49
18.647,50
19.867,49
20.744,49
21.670,49
22.860,49
23.985,49
24.643,49
25.813,49
26.691,49
27.655,49
28.787,59
29.713,55
30.877,59
31.892,57
32.687,57
33.565,57
34.735,57
35.661,57
36.539,57
37.709,57
38.635,57
39.512,57
40.731,57
41.609,57
42.569,57
43.705,57
44.582,57
45.465,57
46.679,56
47.559,55
48.513,54
49.655,53
50.530,53
51.456,53
52.628,53
53.506,60
54.432,57
55.600,56
56.477,56
57.404,56
58.576,56
59.552,59
60.377,57
61.574,62
62.474,63
63.381,63
64.522,66
65.447,64
66.325,64
67.495,64
68.421,64
69.302,64
70.521,64
71.402,64
72.273,64
73.491,64
74.369,64
75.246,64
76.468,64
77.343,58
78.220,59
79.439,60
80.414,60
81.242,59
82.453,59
83.290,59
84.246,59
85.386,59
86.268,59
87.190,56
88.383,57
89.239,57
90.169,57
91.334,56
92.260,56
93.138,66
94.308,70
95.236,70
96.118,69
97.281,69
98.208,69
99.126,68
100.255,66
101.191,67
102.115,67
103.278,67
104.155,69
105.033,72
106.251,70
107.373,75
108.006,73
109.225,72
110.103,72
110.980,70
112.199,70
113.077,70
113.954,66
115.173,67
116.050,67
116.978,66
118.148,67
119.031,67
119.950,67
121.124,67
121.998,67
122.924,67
124.094,67
124.973,67
125.924,67
127.068,66
127.994,65
128.871,64
130.090,64
130.973,66
131.845,67
133.017,66
133.942,65
134.819,63
135.989,60
136.915,60
137.793,61
139.017,62
140.184,63
140.767,64
141.985,63
142.863,63
143.740,63
144.962,63
145.837,63
147.007,63
147.933,62
148.811,61
149.689,60
150.907,60
151.784,62
152.662,66
153.880,68
154.758,69
155.686,69
156.854,68
157.733,66
158.662,65
159.830,65
160.706,66
161.632,68
162.802,67
163.777,66
164.605,66
165.776,66
166.702,66
167.579,66
168.749,68
169.676,59
170.560,56
171.749,55
172.649,57
173.527,56
174.770,62
175.623,66
176.501,68
177.719,69
178.597,69
179.474,71
180.693,72
181.577,71
182.511,71
183.667,71
184.645,71
185.477,71
186.744,75
187.518,77
188.445,75
189.614,74
190.527,69
191.418,65
192.588,62
193.518,61
194.393,59
195.562,60
196.488,60
197.366,60
198.536,59
199.462,59
200.339,59
201.510,59
202.436,59
203.313,59
204.532,59
205.410,59
206.287,57
207.752,56
208.391,58
209.302,63
210.480,60
211.396,59
212.235,59
213.459,59
214.336,59
215.208,59
216.427,59
217.305,59
218.280,65
219.427,62
220.278,70
221.205,67
222.377,66
223.252,66
224.178,68
225.351,69
226.226,69
227.152,69
228.322,70
229.200,69
230.126,69
231.296,70
232.183,70
233.100,70
234.280,69
235.147,69
236.088,69
237.243,69
238.170,69
239.047,69
240.217,69
241.144,69
242.021,69
243.233,69
244.117,69
244.995,69
246.165,69
247.091,75
247.972,80
249.165,84
250.066,80
250.942,81
252.141,80
253.042,80
253.918,80
255.236,80
256.105,78
256.890,79
258.109,80
258.986,79
259.864,79
261.082,79
261.962,80
262.837,80
264.057,79
264.934,81
265.811,80
267.030,80
267.911,80
268.785,78
270.004,78
270.881,78
271.761,78
272.977,78
273.855,78
274.781,78
275.978,78
276.829,75
277.755,76
278.925,75
279.802,75
280.729,75
281.899,74
282.776,74
283.703,73
284.873,71
285.806,71
286.676,72
287.846,73
288.775,74
289.656,75
290.820,75
291.746,75
292.624,74
293.794,73
295.064,72
295.599,72
296.816,72
297.694,73
298.571,74
299.790,74
300.668,75
301.545,75
302.764,73
303.641,72
304.535,71
305.738,71
306.615,71
307.527,71
308.718,71
309.590,71
310.524,71
311.696,71
312.563,71
313.499,72
314.659,72
315.561,72
316.463,72
317.633,72
318.510,71
319.586,71
320.611,71
321.588,70
322.410,69
323.580,68
324.565,67
325.384,67
326.554,67
327.480,68
328.358,68
329.529,68
330.457,68
331.332,68
332.648,68
333.432,68
334.403,68
335.514,69
336.404,70
337.279,71
338.454,71
339.375,70
340.253,69
341.471,69
342.349,69
343.227,69
344.461,70
345.324,72
346.200,73
347.419,74
348.297,74
349.174,72
350.393,70
351.273,68
352.148,67
353.367,68
354.244,69
355.122,72
356.340,74
357.218,75
358.144,75
359.338,74
360.192,73
361.118,72
362.291,71
363.165,71
364.092,71
365.282,71
366.188,71
367.066,72
368.257,74
369.200,75
370.039,76
371.229,75
372.139,75
373.013,69
374.183,66
375.111,64
375.987,64
377.157,66
378.330,68
378.960,71
380.423,73
381.057,74
381.943,75
383.153,74
384.031,73
384.908,72
386.127,72
387.035,73
387.882,74
389.155,75
389.978,76
390.906,76
392.074,75
392.952,75
393.829,75
395.048,75
395.938,75
396.803,75
398.026,75
399.197,75
399.778,76
400.999,76
401.873,76
402.799,75
403.969,75
404.847,75
405.773,76
406.949,76
407.821,76
408.747,75
409.917,73
410.794,74
411.721,74
412.894,74
413.779,73
414.694,73
416.111,73
416.791,73
417.698,73
418.838,73
419.767,73
420.642,63
421.958,66
422.739,69
