df_hash,22ZHK4.3NGMYT
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.VVA5
person_label,V18
date_time_start,2025-05-23_10-26-57.429000_+03
date_time_start_unix,1747985217.429
date_time_end,2025-05-23_10-35-12.468000_+03
length_difference_noticed,no

time,battery
6.363,31
16.356,31
26.374,30
36.344,31
46.338,31
56.332,30
66.376,30
76.319,30
86.373,30
96.356,30
106.349,30
116.343,29
126.337,29
136.331,29
146.325,29
156.439,29
166.312,28
176.310,28
186.348,28
196.342,28
206.336,28
216.330,28
226.324,27
236.361,27
246.312,27
256.403,27
266.299,27
276.293,27
286.335,26
296.329,26
306.323,26
316.364,26
326.311,26
336.305,26
346.298,26
356.296,25
366.286,25
376.342,25
386.322,26
396.316,25
406.310,25
416.304,25
426.298,25
436.302,25
446.383,25
456.376,25
466.273,25
476.315,25
486.317,25
