df_hash,22ZHK4.AG46P6
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.MUXT
person_label,V93(2)
date_time_start,2025-11-04_16-52-25.276000_+03
date_time_start_unix,1762260745.276
date_time_end,2025-11-04_17-01-09.877000_+03
length_difference_noticed,no

time,rr_int
10.034,4890
10.716,670
11.008,675
11.017,195
11.496,15
11.983,430
11.988,620
12.569,10
12.666,590
12.670,10
13.251,10
13.791,600
14.518,595
15.055,620
15.203,615
16.081,170
16.322,475
16.420,615
16.859,150
17.395,450
18.175,590
18.690,575
18.693,570
19.202,10
19.784,580
20.320,580
20.920,575
21.441,570
22.026,550
22.562,545
23.147,540
23.684,585
23.700,585
24.275,10
24.370,570
25.000,140
25.065,460
25.487,150
26.024,435
26.609,565
26.612,570
27.150,10
27.828,605
28.559,640
29.124,650
29.265,640
29.778,165
29.783,480
30.369,10
31.045,620
31.584,630
32.312,635
32.316,685
33.092,10
33.726,675
33.730,665
34.311,10
35.092,620
35.140,615
35.481,10
36.066,570
36.749,625
36.753,615
37.285,10
38.018,620
38.699,670
39.286,655
39.292,630
39.381,10
40.015,165
40.505,440
41.087,615
41.776,615
42.316,615
42.991,625
43.622,625
43.625,595
44.110,10
44.842,610
45.377,610
45.965,595
46.499,605
47.181,590
47.767,610
48.302,590
48.839,580
48.842,565
49.570,10
50.155,600
50.691,610
51.374,635
52.208,650
52.599,625
52.641,615
53.177,10
53.182,585
53.860,10
54.445,600
54.981,610
54.984,590
55.664,10
56.397,600
56.495,625
56.498,185
56.834,10
57.078,435
57.467,145
57.471,465
58.055,10
58.058,585
58.589,10
59.278,595
59.856,590
60.417,595
60.543,625
61.124,10
61.660,615
62.353,615
62.928,590
62.940,575
63.471,10
63.475,575
64.032,10
64.149,595
64.780,10
64.801,655
64.877,10
65.414,175
65.950,485
66.730,660
66.733,650
66.829,10
67.223,190
67.510,430
67.900,170
67.909,430
68.583,10
68.588,585
69.021,10
69.070,590
69.704,10
70.436,660
70.582,755
70.679,140
70.683,25
70.730,20
70.734,10
71.264,10
71.274,540
71.947,10
72.531,675
72.775,635
73.219,190
73.263,435
73.750,10
74.335,595
74.871,570
74.933,585
75.456,10
76.144,580
76.187,590
76.676,10
77.360,615
77.504,630
77.943,195
78.144,445
78.625,150
78.635,460
78.772,10
79.215,150
79.357,465
79.363,10
79.746,145
79.750,465
80.628,10
81.112,645
81.697,655
82.379,655
83.213,650
83.647,635
84.182,620
84.865,610
85.499,585
85.986,590
86.574,585
87.109,585
87.801,600
88.375,605
88.913,590
89.497,580
90.179,575
90.715,600
91.300,625
91.993,620
92.570,635
92.814,630
92.863,195
92.866,15
92.869,15
93.266,20
93.935,370
94.372,605
94.908,580
95.493,545
95.498,550
96.079,10
96.568,550
97.151,555
97.687,590
98.379,585
98.954,590
99.535,600
100.173,600
100.758,605
101.294,590
101.879,580
102.576,605
103.098,615
103.829,670
104.365,640
105.096,625
105.634,615
105.640,595
106.169,10
106.759,570
107.291,575
107.978,575
108.558,575
109.094,595
109.777,645
110.508,650
111.048,640
111.581,615
111.629,595
112.311,10
112.315,580
112.848,10
113.433,585
114.067,590
114.728,620
115.334,645
115.338,670
116.071,10
116.800,670
117.287,685
118.018,665
118.698,650
119.268,640
119.385,615
119.819,10
120.501,615
121.038,620
121.041,595
121.672,10
122.160,580
122.890,575
123.429,585
124.158,630
124.940,730
125.797,785
126.498,815
126.504,725
127.180,10
127.876,685
128.451,665
129.130,675
129.813,685
130.546,675
131.081,650
131.812,630
132.348,640
133.030,630
133.860,690
134.688,830
135.370,765
135.961,700
136.638,660
137.223,645
137.760,605
138.442,585
139.027,585
139.566,555
139.612,580
140.148,10
140.154,625
140.830,10
141.536,690
142.200,710
142.460,710
142.927,10
143.609,680
143.612,635
144.146,10
144.877,610
145.511,650
145.516,595
145.560,10
145.706,235
145.712,20
145.755,10
145.762,10
145.768,20
145.803,25
145.852,20
145.988,230
147.363,1195
147.366,165
147.412,20
147.541,20
147.546,20
147.658,15
148.048,15
148.053,300
148.338,10
148.344,570
148.875,10
149.459,580
150.016,580
150.289,565
150.337,175
150.341,15
150.437,15
150.580,10
151.264,340
151.800,590
152.386,600
152.969,600
153.604,605
154.188,600
154.192,605
154.725,10
155.407,590
155.992,630
156.674,630
157.259,640
157.313,620
157.942,10
158.527,630
159.161,605
159.746,620
160.431,575
160.867,575
160.870,580
161.568,10
162.086,615
162.817,615
163.500,695
164.187,685
164.767,680
165.449,675
165.742,680
166.132,180
166.961,485
166.964,645
167.399,180
167.403,450
168.137,10
168.667,645
169.349,650
170.032,670
170.714,650
170.865,660
171.302,170
171.839,450
172.519,620
173.103,585
173.640,600
174.322,600
174.907,610
175.589,645
176.174,625
176.857,630
177.393,630
178.173,655
178.807,660
179.490,700
180.224,710
180.780,680
181.452,625
181.456,615
182.025,10
182.564,590
183.097,590
183.828,580
184.364,580
184.950,605
185.632,610
186.168,595
186.756,605
187.293,600
187.326,590
187.974,10
188.557,615
188.561,640
189.315,10
189.922,650
190.511,645
191.193,625
191.726,610
192.315,600
192.847,580
193.432,580
193.968,585
194.023,575
194.673,10
195.241,590
195.773,600
196.455,620
197.040,620
197.576,600
198.258,605
198.844,585
199.380,605
200.111,605
200.648,615
201.330,640
201.964,615
