df_hash,22ZHK4.AG46P6
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.MUXT
person_label,V93(2)
date_time_start,2025-11-04_16-52-25.276000_+03
date_time_start_unix,1762260745.276
date_time_end,2025-11-04_17-01-09.877000_+03
length_difference_noticed,no

time,omega
64.838,0.560
66.786,0.561
68.642,0.565
69.130,0.561
70.486,0.565
71.386,0.561
74.932,0.556
75.025,0.551
76.198,0.547
82.434,0.544
83.359,0.547
86.838,0.542
87.119,0.552
88.539,0.542
88.926,0.538
90.814,0.535
92.626,0.528
99.204,0.535
101.350,0.535
103.154,0.535
103.884,0.537
104.519,0.537
105.152,0.537
109.195,0.528
110.662,0.538
112.367,0.538
113.582,0.529
115.390,0.529
116.897,0.544
118.073,0.544
122.994,0.544
123.506,0.544
124.222,0.545
124.968,0.550
126.578,0.554
128.074,0.555
128.512,0.555
129.238,0.555
129.865,0.556
130.714,0.555
131.864,0.555
132.512,0.554
133.234,0.555
133.912,0.556
134.744,0.557
135.468,0.558
136.111,0.559
136.700,0.560
137.279,0.560
139.131,0.559
139.623,0.559
140.220,0.560
141.574,0.562
142.252,0.562
142.501,0.560
148.399,0.562
153.236,0.562
154.244,0.561
156.149,0.563
157.311,0.567
157.373,0.567
158.627,0.570
160.922,0.570
165.894,0.570
167.026,0.567
169.502,0.564
170.085,0.567
170.864,0.567
171.016,0.567
174.572,0.567
174.965,0.567
177.546,0.564
178.228,0.566
178.962,0.565
179.545,0.569
180.817,0.565
183.220,0.569
184.078,0.569
188.613,0.569
190.072,0.569
190.565,0.569
193.057,0.569
194.023,0.569
194.171,0.565
198.460,0.565
200.166,0.565
203.092,0.561
207.399,0.561
209.146,0.561
209.430,0.565
211.720,0.569
212.298,0.572
212.350,0.571
215.962,0.567
217.768,0.559
218.642,0.559
222.885,0.559
233.070,0.559
235.267,0.554
236.732,0.546
238.919,0.541
239.452,0.541
239.505,0.538
240.646,0.538
241.219,0.538
248.381,0.532
261.117,0.541
261.688,0.541
261.744,0.541
266.727,0.541
267.882,0.541
281.872,0.541
284.651,0.546
285.184,0.550
285.772,0.561
308.295,0.580
310.830,0.607
320.151,0.607
321.264,0.607
321.802,0.607
332.389,0.642
347.009,0.662
351.829,0.662
354.366,0.673
358.826,0.682
363.630,0.682
389.124,0.688
390.881,0.688
403.313,0.682
406.818,0.687
472.146,0.641
472.775,0.635
476.080,0.635
477.215,0.626
478.040,0.614
479.645,0.604
480.141,0.604
481.407,0.604
482.093,0.604
482.626,0.602
483.356,0.604
484.137,0.604
484.580,0.604
485.803,0.602
486.377,0.602
490.718,0.602
491.219,0.600
492.616,0.598
494.865,0.598
499.742,0.599
