df_hash,22ZHK4.AG46P6
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.MUXT
person_label,V93(2)
date_time_start,2025-11-04_16-52-25.276000_+03
date_time_start_unix,1762260745.276
date_time_end,2025-11-04_17-01-09.877000_+03
length_difference_noticed,no

time,battery
10.131,53
20.125,53
30.140,53
40.112,53
50.117,53
60.198,53
70.094,53
80.188,53
90.086,53
100.078,53
110.118,53
120.136,53
130.106,53
140.100,53
150.093,53
160.087,53
170.087,53
180.172,53
190.166,53
200.063,53
210.105,53
220.099,53
230.093,53
240.087,53
250.083,53
260.074,53
270.075,52
280.162,52
290.243,52
300.052,52
310.095,52
320.153,52
330.079,52
340.073,52
350.069,52
360.060,52
370.079,52
380.194,52
390.188,52
400.182,52
410.078,52
420.073,52
430.074,52
440.060,52
450.054,52
460.097,52
470.042,52
480.035,52
490.029,52
500.120,52
510.066,52
