df_hash,22ZHK4.AG46P6
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.MUXT
person_label,V93(2)
date_time_start,2025-11-04_16-52-25.276000_+03
date_time_start_unix,1762260745.276
date_time_end,2025-11-04_17-01-09.877000_+03
length_difference_noticed,no

time,acc_mag
4.334,1.019
4.364,1.013
4.394,1.020
4.424,1.012
4.454,1.015
4.484,1.014
4.514,1.017
4.544,1.020
4.574,1.020
4.604,1.015
4.634,1.017
4.664,1.017
4.694,1.015
4.724,1.018
4.754,1.017
4.784,1.015
4.814,1.017
4.844,1.021
4.874,1.020
4.904,1.015
4.934,1.016
4.964,1.022
4.994,1.007
5.024,1.015
5.054,1.018
5.084,1.010
5.114,1.014
5.144,1.016
5.174,1.020
5.204,1.026
5.234,1.013
5.264,1.020
5.294,1.019
5.324,1.011
5.354,1.019
5.384,1.011
5.414,1.018
5.444,1.016
5.474,1.013
5.504,1.024
5.534,1.015
5.564,1.020
5.594,1.028
5.624,1.010
5.654,1.012
5.684,1.021
5.714,1.016
5.744,1.017
5.774,1.015
5.804,1.017
5.834,1.026
5.864,1.013
5.894,1.018
5.924,1.021
5.954,1.017
5.984,1.016
6.014,1.015
6.044,1.015
6.074,1.015
6.104,1.016
6.134,1.023
6.164,1.021
6.194,1.019
6.224,1.021
6.254,1.008
6.284,1.022
6.314,1.020
6.344,1.011
6.374,1.017
6.404,1.018
6.434,1.014
6.464,1.024
6.494,1.015
6.524,1.018
6.554,1.008
6.584,1.013
6.614,1.010
6.644,1.017
6.674,1.015
6.704,1.017
6.734,1.019
6.764,1.019
6.794,1.019
6.824,1.013
6.854,1.014
6.884,1.018
6.914,1.017
6.944,1.022
6.974,1.013
7.004,1.014
7.034,1.017
7.064,1.013
7.094,1.017
7.124,1.024
7.154,1.015
7.184,1.020
7.214,1.008
7.244,1.015
7.274,1.015
7.304,1.020
7.334,1.018
7.364,1.016
7.394,1.016
7.424,1.018
7.454,1.021
7.484,1.017
7.514,1.014
7.544,1.013
7.574,1.020
7.604,1.013
7.634,1.018
7.664,1.019
7.694,1.010
7.724,1.013
7.754,1.022
7.784,1.021
7.814,1.021
7.844,1.013
7.874,1.020
7.904,1.020
7.934,1.015
7.964,1.016
7.994,1.014
8.024,1.014
8.054,1.011
8.084,1.015
8.114,1.024
8.144,1.026
8.174,1.018
8.204,1.011
8.234,1.018
8.264,1.013
8.294,1.013
8.324,1.021
8.354,1.013
8.384,1.017
8.414,1.021
8.444,1.016
8.474,1.019
8.504,1.020
8.534,1.015
8.564,1.014
8.594,1.016
8.624,1.013
8.654,1.017
8.684,1.013
8.714,1.021
8.744,1.020
8.774,1.017
8.804,1.020
8.834,1.019
8.864,1.014
8.894,1.020
8.924,1.023
8.954,1.009
8.984,1.020
9.014,1.017
9.044,1.012
9.074,1.020
9.104,1.016
9.134,1.019
9.164,1.021
9.194,1.017
9.224,1.020
9.254,1.019
9.284,1.019
9.314,1.017
9.344,1.018
9.374,1.019
9.404,1.017
9.434,1.018
9.464,1.017
9.494,1.021
9.524,1.020
9.554,1.016
9.584,1.018
9.614,1.013
9.644,1.017
9.674,1.021
9.704,1.016
9.734,1.016
9.764,1.015
9.794,1.018
9.824,1.017
9.854,1.021
9.884,1.015
9.914,1.017
9.944,1.014
9.974,1.015
10.004,1.018
10.034,1.021
10.064,1.020
10.094,1.017
10.124,1.021
10.154,1.015
10.184,1.020
10.214,1.013
10.244,1.012
10.274,1.019
10.304,1.013
10.334,1.024
10.364,1.013
10.394,1.014
10.424,1.019
10.454,1.019
10.484,1.011
10.514,1.030
10.544,1.015
10.574,1.021
10.604,1.012
10.634,1.014
10.664,1.017
10.694,1.013
10.724,1.016
10.754,1.020
10.784,1.021
10.814,1.022
10.844,1.019
10.874,1.011
10.904,1.015
10.934,1.017
10.964,1.018
10.994,1.020
11.024,1.008
11.054,1.015
11.084,1.017
11.114,1.020
11.144,1.021
11.174,1.013
11.204,1.021
11.234,1.021
11.264,1.013
11.294,1.015
11.324,1.017
11.354,1.015
11.384,1.014
11.414,1.021
11.444,1.017
11.474,1.015
11.504,1.008
11.534,1.016
11.564,1.021
11.594,1.027
11.624,1.017
11.654,1.010
11.684,1.012
11.714,1.015
11.744,1.021
11.774,1.022
11.804,1.020
11.834,1.019
11.864,1.012
11.894,1.015
11.924,1.022
11.954,1.012
11.984,1.018
12.014,1.020
12.044,1.020
12.074,1.016
12.104,1.007
12.134,1.032
12.164,1.021
12.194,1.013
12.224,1.017
12.254,1.007
12.284,1.008
12.314,1.028
12.344,1.023
12.374,1.016
12.404,1.026
12.434,1.017
12.464,1.017
12.494,1.020
12.524,1.014
12.554,1.018
12.584,1.013
12.614,1.013
12.644,1.026
12.674,1.023
12.704,1.017
12.734,1.020
12.764,1.021
12.794,1.016
12.824,1.021
12.854,1.015
12.884,1.014
12.914,1.017
12.944,1.017
12.974,1.016
13.004,1.028
13.034,1.017
13.064,1.023
13.094,1.016
13.124,1.016
13.154,1.015
13.184,1.015
13.214,1.019
13.244,1.019
13.274,1.022
13.304,1.019
13.334,1.014
13.364,1.017
13.394,1.011
13.424,1.020
13.454,1.017
13.484,1.018
13.514,1.015
13.544,1.013
13.574,1.018
13.604,1.022
13.634,1.017
13.664,1.021
13.694,1.020
