df_hash,22ZHK4.AG46P6
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.MUXT
person_label,V93(2)
date_time_start,2025-11-04_16-52-25.276000_+03
date_time_start_unix,1762260745.276
date_time_end,2025-11-04_17-01-09.877000_+03
length_difference_noticed,no

time,heart_rate
14.470,95
15.594,97
16.567,98
17.443,98
18.370,99
19.540,101
20.418,102
21.343,104
22.513,105
23.440,106
24.317,108
25.491,106
26.419,106
27.330,105
28.461,104
29.683,103
30.266,101
31.488,100
32.361,98
33.238,97
34.457,95
35.335,94
36.225,94
37.431,94
38.309,95
39.235,95
40.405,95
41.331,95
42.217,95
43.378,95
44.354,96
45.182,96
46.401,97
47.321,97
48.156,98
49.375,99
50.308,99
51.130,100
52.354,100
53.279,99
54.152,99
55.322,98
56.249,98
57.128,98
58.296,98
59.223,98
60.149,98
61.272,98
62.196,98
63.075,99
64.244,99
65.170,99
66.047,98
67.315,98
68.165,97
69.132,96
70.240,96
71.166,95
71.996,95
73.266,93
74.091,92
75.026,92
76.236,92
77.068,95
78.040,96
79.163,96
80.087,96
80.965,96
82.135,96
83.113,95
83.939,95
85.109,95
86.036,95
86.913,96
88.131,97
89.009,98
89.886,99
91.105,99
92.132,100
93.205,100
94.084,99
94.956,99
95.883,99
97.053,100
97.930,101
98.856,102
100.027,102
100.953,102
101.830,102
103.000,102
103.926,101
104.804,100
106.023,99
106.985,98
107.826,98
108.997,99
109.874,100
110.800,100
111.970,99
113.192,99
113.774,98
114.967,98
115.847,98
116.748,97
117.918,96
118.806,94
119.722,93
120.892,93
121.818,94
122.695,95
123.865,96
124.792,96
125.728,95
126.888,95
127.801,91
128.643,89
130.012,88
130.739,88
131.665,88
132.835,89
133.713,89
134.639,89
135.813,88
136.701,87
137.613,86
138.784,86
139.709,86
140.587,91
141.777,92
142.683,90
143.562,91
144.780,90
145.657,90
146.534,91
147.753,92
148.630,94
149.511,96
150.727,98
151.604,99
152.531,100
153.701,101
154.627,101
155.553,101
156.677,100
157.601,99
158.478,98
159.648,98
160.574,98
161.457,98
162.622,99
163.548,98
164.426,98
165.644,96
166.524,94
167.696,93
168.618,92
169.793,92
170.385,92
171.592,92
172.470,92
173.396,93
174.575,94
175.492,95
176.369,96
177.835,96
178.466,96
179.345,95
180.513,94
181.443,93
182.317,92
183.536,92
184.413,94
185.291,95
186.558,97
187.387,98
188.313,99
189.483,98
190.361,98
191.290,97
192.503,97
193.334,97
194.288,98
195.453,99
196.381,100
197.241,100
198.463,100
199.331,100
200.261,100
201.427,99
202.308,99
203.185,99
204.402,99
205.330,99
206.209,99
207.455,99
208.255,99
209.202,98
210.348,98
211.280,97
212.152,97
213.322,97
214.248,97
215.126,98
216.296,98
217.272,98
218.100,98
219.371,98
220.200,98
221.073,97
222.292,97
223.170,96
224.096,96
225.269,96
226.191,96
227.070,97
228.240,98
229.166,99
230.044,99
231.215,100
232.140,101
233.072,101
234.236,101
235.114,100
236.023,100
237.210,99
238.206,100
239.014,100
240.187,100
241.067,100
241.988,99
243.157,99
244.084,99
244.961,100
246.131,100
247.061,100
247.935,100
249.180,100
250.031,100
250.933,100
252.156,100
253.008,101
253.960,102
255.150,101
255.982,102
256.905,101
258.075,101
259.001,101
259.882,102
261.195,102
262.277,104
262.883,104
264.075,105
264.997,106
265.826,106
267.045,107
267.922,107
268.810,107
270.021,106
270.900,105
271.823,104
272.995,103
273.870,102
274.799,102
276.005,102
276.895,102
277.820,102
278.940,102
279.988,102
280.744,101
281.963,100
282.845,99
283.718,99
284.960,98
285.837,98
286.740,98
287.914,98
288.788,98
289.714,98
291.128,98
291.810,98
292.688,99
293.906,100
294.810,100
295.661,101
296.880,100
297.758,100
298.786,100
299.857,100
300.731,100
301.609,100
303.023,99
303.705,99
304.684,99
305.801,100
306.679,99
307.675,99
308.775,99
309.799,99
310.579,98
311.798,97
312.676,97
313.553,97
314.773,98
315.649,98
316.527,98
317.745,97
318.623,97
319.530,97
320.725,97
321.600,97
322.523,100
323.693,101
324.570,102
325.497,101
326.670,100
327.593,99
328.470,97
329.640,98
330.567,97
331.444,97
332.657,97
333.544,97
334.442,97
335.637,95
336.514,94
337.392,92
338.611,93
339.488,92
340.421,92
341.584,92
342.754,93
343.391,92
344.593,92
345.484,92
346.363,92
347.572,87
348.458,87
349.335,87
350.505,87
351.432,90
352.333,91
353.528,92
354.406,93
355.283,93
356.502,93
357.526,92
358.306,92
359.500,92
360.376,92
361.328,92
362.449,92
363.376,92
364.264,92
365.423,92
366.353,96
367.227,93
368.397,98
369.330,99
370.201,101
371.419,102
372.297,101
373.179,101
374.393,101
375.295,97
376.209,96
377.378,95
378.253,96
379.171,96
380.344,97
381.218,98
382.175,97
383.314,97
384.339,97
385.122,97
386.338,97
387.237,97
388.092,99
389.262,100
390.494,101
391.167,101
392.287,101
393.165,101
394.040,101
395.261,101
396.136,102
397.071,101
398.232,101
399.159,101
400.036,100
401.206,99
402.086,98
403.010,98
404.184,99
405.106,100
406.045,100
407.204,101
408.080,102
408.961,102
410.142,101
411.053,101
411.931,101
413.150,101
414.027,101
414.905,101
416.123,104
417.001,105
417.976,106
419.097,107
419.975,106
420.901,106
422.095,106
422.999,101
423.901,100
425.045,99
426.132,99
426.866,98
428.069,98
428.950,99
