df_hash,22ZHK4.AG46P6
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.MUXT
person_label,V93(2)
date_time_start,2025-11-04_16-52-25.276000_+03
date_time_start_unix,1762260745.276
date_time_end,2025-11-04_17-01-09.877000_+03
length_difference_noticed,no

time,respiration_rate
66.779,18
71.409,18
132.319,13
136.599,13
140.789,13
144.849,13
149.009,13
153.089,11
157.399,10
161.609,9
166.269,10
170.829,10
175.129,10
179.669,11
184.069,11
188.259,11
192.659,11
196.799,11
201.039,11
205.239,11
209.599,11
213.869,11
218.149,11
222.589,11
226.839,11
230.939,11
235.169,11
239.329,11
243.579,11
247.759,11
251.929,11
258.969,12
