df_hash,22ZHK4.AG46P6
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.MUXT
person_label,V93(2)
date_time_start,2025-11-04_16-52-25.276000_+03
date_time_start_unix,1762260745.276
date_time_end,2025-11-04_17-01-09.877000_+03
length_difference_noticed,no

time,temperature
385.175,34.531
386.206,34.531
387.216,34.531
388.141,34.531
389.165,34.562
390.192,34.562
391.178,34.531
392.187,34.562
393.415,34.562
394.188,34.562
395.161,34.562
396.185,34.531
397.172,34.531
398.184,34.562
399.169,34.594
400.186,34.625
401.157,34.625
402.181,34.625
403.254,34.656
404.180,34.656
405.155,34.656
406.232,34.688
407.153,34.688
408.178,34.688
409.163,34.688
410.229,34.688
411.151,34.656
412.176,34.656
413.256,34.625
414.177,34.656
415.149,34.625
416.173,34.625
417.148,34.625
418.171,34.594
419.583,34.562
420.170,34.531
421.146,34.594
422.169,34.562
423.150,34.594
424.167,34.594
425.143,34.625
426.171,34.625
427.168,34.594
428.170,34.625
429.189,34.594
430.164,34.594
431.139,34.594
432.163,34.625
433.138,34.625
434.164,34.625
435.137,34.594
436.160,34.594
437.139,34.625
438.159,34.594
439.182,34.625
440.258,34.625
441.223,34.562
442.156,34.594
443.190,34.562
444.447,34.562
445.184,34.625
446.154,34.625
447.193,34.656
448.153,34.656
449.177,34.594
450.151,34.594
451.175,34.625
452.150,34.594
453.174,34.625
454.149,34.594
455.172,34.562
456.295,34.531
457.172,34.500
458.146,34.531
459.170,34.594
460.146,34.625
461.169,34.656
462.341,34.688
463.168,34.625
464.486,34.656
465.167,34.688
466.142,34.719
467.165,34.719
468.386,34.719
469.164,34.688
470.187,34.688
471.165,34.688
472.435,34.625
473.162,34.688
474.137,34.656
475.160,34.656
476.190,34.688
477.159,34.656
478.134,34.656
479.180,34.625
480.599,34.625
481.180,34.594
482.132,34.625
483.161,34.625
484.474,34.656
485.156,34.656
486.129,34.625
487.155,34.625
488.274,34.625
489.222,34.656
490.179,34.625
491.176,34.625
492.174,34.594
493.149,34.625
494.173,34.625
495.148,34.625
496.173,34.625
497.147,34.625
498.219,34.625
499.148,34.594
500.267,34.719
501.144,34.719
502.168,34.719
503.143,34.688
504.167,34.656
505.165,34.656
506.166,34.656
507.141,34.625
508.184,34.656
509.150,34.656
510.165,34.562
511.138,34.531
512.162,34.531
513.137,34.562
514.160,34.594
515.205,34.562
516.160,34.594
517.134,34.594
518.160,34.594
519.133,34.594
