df_hash,22ZHK4.EG2MBW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SYEB
person_label,V123
date_time_start,2026-04-06_14-06-02.091000_+03
date_time_start_unix,1775466362.091
date_time_end,2026-04-06_14-14-17.869000_+03
length_difference_noticed,no

time,ppg_quality
58.330,81
61.360,96
63.380,98
65.400,95
67.420,95
69.440,94
70.450,94
72.470,95
74.490,95
76.510,97
78.530,95
80.550,96
81.560,96
83.580,96
85.600,93
87.620,94
89.640,91
90.650,92
91.660,91
92.670,92
93.680,93
94.690,94
96.710,93
97.720,96
98.730,97
99.740,97
100.750,96
102.770,98
104.790,97
105.800,97
107.820,94
108.830,92
109.840,95
111.860,97
112.870,96
114.890,96
115.900,95
116.910,93
118.930,96
120.950,95
122.970,95
124.990,96
127.010,97
128.020,96
129.030,96
130.040,93
131.050,91
132.060,91
134.080,94
136.100,92
138.120,95
139.130,93
141.150,96
142.160,97
143.170,94
145.190,97
146.200,97
147.210,95
148.220,93
149.230,92
152.260,87
154.280,87
156.300,86
157.310,86
159.330,90
160.340,91
161.350,91
163.370,94
165.390,94
167.410,94
169.430,91
171.450,94
173.470,92
174.480,89
175.490,92
176.500,93
178.520,93
180.540,94
182.560,91
185.590,94
187.610,93
189.630,92
191.650,95
192.660,93
193.670,90
196.700,93
198.720,94
200.740,92
202.760,96
203.770,95
205.790,91
207.810,93
209.830,92
211.850,95
212.860,88
213.870,78
214.880,73
215.890,68
217.910,63
218.920,61
220.940,46
222.960,47
224.980,62
225.990,68
227.000,68
228.010,70
230.030,77
232.050,84
234.070,91
236.090,88
237.100,89
238.110,89
239.120,87
241.140,90
243.160,87
245.180,81
247.200,74
249.220,52
251.240,25
252.250,17
254.270,13
256.290,24
258.310,32
260.330,38
261.340,47
262.350,56
263.360,65
265.380,60
267.400,62
269.420,81
270.430,90
271.440,88
273.460,83
274.470,82
275.480,80
276.490,73
278.510,55
280.530,55
282.550,62
283.560,72
284.570,75
285.580,73
286.590,72
287.600,80
289.620,88
291.640,89
293.660,77
295.680,82
296.690,86
297.700,86
298.710,87
300.730,91
302.750,95
304.770,93
306.790,91
307.800,94
309.820,86
310.830,79
311.840,77
313.860,77
314.870,80
316.890,77
317.900,73
318.910,72
320.930,70
322.950,59
323.960,60
324.970,60
326.990,63
329.010,67
330.020,64
332.040,66
334.060,62
336.080,54
338.100,62
340.120,51
341.130,60
343.150,66
345.170,75
347.190,61
349.210,77
351.230,85
353.250,79
354.260,72
355.270,72
356.280,74
358.300,80
360.320,82
362.340,79
364.360,80
365.370,77
367.390,71
368.400,67
369.410,68
370.420,69
371.430,70
372.440,71
373.450,72
375.470,65
376.480,53
378.500,33
380.520,21
381.530,17
382.540,11
384.560,13
385.570,29
387.590,50
389.610,73
391.630,82
393.650,83
395.670,79
397.690,79
399.710,73
400.720,62
402.740,39
403.750,40
404.760,43
406.780,39
408.800,35
411.830,52
413.850,48
415.870,38
417.890,43
418.900,45
419.910,52
422.940,74
424.960,77
426.980,84
429.000,79
430.010,76
431.020,72
432.030,67
434.050,58
436.070,50
438.090,49
441.120,40
442.130,45
444.150,61
445.160,63
447.180,52
449.200,58
451.220,51
453.240,40
455.260,37
456.270,43
458.290,34
460.310,38
462.330,42
464.350,50
466.370,53
468.390,64
469.400,57
470.410,54
471.420,47
473.440,37
475.460,42
477.480,52
478.490,52
479.500,60
482.530,76
483.540,85
484.550,84
486.570,79
488.590,81
490.610,86
492.630,43
