df_hash,22ZHK4.EG2MBW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SYEB
person_label,V123
date_time_start,2026-04-06_14-06-02.091000_+03
date_time_start_unix,1775466362.091
date_time_end,2026-04-06_14-14-17.869000_+03
length_difference_noticed,no

time,rr_int
9.653,4105
10.628,210
11.603,955
12.334,870
13.165,800
13.846,785
14.674,785
15.654,810
16.527,860
17.356,895
18.483,900
19.159,895
19.939,860
20.671,815
21.499,800
22.332,800
23.011,805
23.839,795
24.677,770
25.502,800
26.326,850
27.105,835
27.885,805
28.715,810
29.553,825
30.375,835
31.078,805
31.888,780
32.855,780
33.614,800
34.465,820
35.100,840
35.954,820
36.758,790
37.587,805
38.318,815
39.147,810
40.024,775
40.658,790
41.634,830
42.461,855
43.144,830
44.119,830
44.948,855
45.679,840
46.507,805
47.287,775
48.047,775
48.365,795
48.848,220
49.140,610
49.144,310
49.189,10
49.676,15
50.505,445
51.445,835
52.216,850
53.039,880
53.869,840
54.746,835
55.528,840
56.354,835
57.088,805
57.914,780
58.605,785
59.427,790
60.108,790
60.937,760
61.668,755
62.500,780
63.325,810
64.154,840
65.012,805
65.811,805
66.494,825
67.357,815
68.054,785
68.883,765
69.711,775
70.394,785
71.222,795
71.905,770
72.734,795
73.615,815
74.440,840
75.268,830
76.097,825
76.926,835
77.754,830
78.437,790
79.320,770
79.997,770
80.680,740
81.508,720
82.288,765
83.045,780
83.752,795
84.601,770
85.262,730
85.944,740
86.773,765
87.517,780
88.333,775
89.064,775
89.698,735
90.526,735
91.209,730
91.940,740
92.774,760
93.505,750
94.284,755
94.962,775
95.791,810
96.717,830
97.497,825
98.326,810
99.185,810
99.837,815
100.666,800
101.348,750
102.079,740
102.909,750
103.737,775
104.419,810
105.252,815
106.223,835
107.052,860
107.880,890
108.763,900
109.646,845
110.415,835
111.244,830
112.074,815
112.755,760
113.584,765
114.413,790
115.249,840
116.119,875
117.045,875
117.925,910
118.751,855
119.580,850
120.408,845
121.237,850
121.920,820
122.748,790
123.626,805
124.406,830
125.332,835
126.112,820
126.941,810
127.820,835
128.452,820
129.281,795
130.109,815
130.940,825
131.767,830
132.498,810
133.327,765
134.158,785
134.843,810
135.666,800
136.495,780
137.236,805
138.056,825
138.884,805
139.713,795
140.395,805
141.224,810
142.053,795
142.784,785
143.612,805
144.441,825
145.273,815
145.965,760
146.640,720
147.366,720
148.195,730
148.877,765
149.706,775
150.394,780
151.217,760
151.948,765
152.781,785
153.606,810
154.292,785
155.179,770
155.851,780
156.588,730
157.255,725
157.896,720
158.660,700
159.464,730
160.138,770
161.113,785
161.983,845
162.771,865
163.502,845
164.282,795
165.110,780
165.841,775
166.670,770
167.509,775
168.035,760
168.864,750
169.693,770
170.570,815
171.399,870
172.227,885
173.058,870
173.885,830
174.567,765
175.303,735
176.127,750
177.007,775
177.638,800
178.467,815
179.315,815
180.271,855
181.100,875
181.928,860
182.659,810
183.342,760
184.171,745
184.853,770
185.682,785
186.510,790
187.193,785
187.924,740
188.753,730
189.435,755
190.269,805
191.337,855
192.068,870
192.897,870
193.725,830
194.456,800
195.296,785
196.114,800
196.943,815
197.771,830
198.454,830
199.283,790
200.014,780
200.842,790
201.678,800
202.354,800
203.231,785
204.061,795
204.694,810
205.522,775
206.253,795
207.082,755
207.765,775
208.594,730
209.308,810
210.105,745
210.933,855
211.763,780
212.059,835
212.495,255
213.176,485
213.859,705
214.605,720
215.373,700
215.954,710
216.868,675
217.215,750
217.653,410
218.050,445
219.416,410
219.903,1385
220.098,515
220.927,210
222.341,830
223.121,1445
223.954,705
224.583,770
225.424,790
226.240,810
226.923,790
227.756,785
228.580,810
229.409,815
230.140,805
230.969,790
231.651,775
232.484,770
233.162,755
234.116,765
234.722,770
235.551,765
236.239,770
237.063,785
237.940,800
238.720,820
239.548,830
241.109,810
241.206,1575
241.791,215
242.473,460
243.156,745
243.888,685
244.721,750
245.398,765
246.276,770
247.211,765
247.592,1080
247.891,420
248.423,275
249.152,470
249.404,795
249.835,245
250.614,460
251.351,715
252.077,740
252.905,775
253.743,780
254.127,800
254.466,275
254.858,535
255.249,375
256.075,475
257.051,805
257.731,810
257.878,785
258.415,265
259.146,480
259.974,715
260.656,785
261.485,765
262.168,765
262.996,795
263.971,855
264.800,910
265.776,915
266.609,890
267.481,880
267.914,855
268.310,255
269.013,540
269.285,795
269.821,275
270.650,560
271.479,805
272.307,815
273.139,850
274.014,855
274.403,885
274.940,325
276.509,520
276.793,1595
278.012,315
278.840,1245
279.527,805
280.351,780
280.643,745
281.082,370
281.911,435
282.208,740
282.594,275
283.276,455
284.104,745
284.860,765
285.682,780
286.496,810
287.327,825
288.152,810
288.979,825
289.808,840
290.517,825
291.371,800
292.148,790
292.882,805
293.709,795
294.536,805
295.223,800
295.552,755
295.563,235
295.567,10
295.901,10
296.731,480
297.608,765
298.296,815
299.119,790
299.947,820
300.776,860
301.605,850
302.434,825
303.262,835
303.847,815
304.095,490
304.822,310
305.651,790
305.900,765
306.418,305
307.016,450
307.699,655
308.430,705
309.276,730
309.945,735
310.794,775
311.598,840
312.573,885
313.432,870
314.283,855
315.061,840
315.889,840
316.620,825
316.912,785
317.313,275
318.131,460
318.423,755
318.427,250
318.815,10
319.556,405
320.227,735
