df_hash,22ZHK4.EG2MBW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SYEB
person_label,V123
date_time_start,2026-04-06_14-06-02.091000_+03
date_time_start_unix,1775466362.091
date_time_end,2026-04-06_14-14-17.869000_+03
length_difference_noticed,no

time,perfusion_ir
27.208,0.480
28.034,0.480
28.744,0.480
29.599,0.480
30.477,0.480
31.304,0.480
32.133,0.480
32.871,0.470
33.644,0.480
34.581,0.480
35.152,0.480
35.982,0.480
36.907,0.480
37.635,0.480
38.369,0.480
39.244,0.480
40.219,0.480
40.955,0.480
41.641,0.480
42.610,0.490
43.197,0.480
44.265,0.480
44.999,0.500
45.731,0.500
46.803,0.490
47.388,0.490
48.071,0.490
48.558,0.500
52.263,0.500
53.139,0.500
54.846,0.490
55.550,0.490
56.406,0.500
57.099,0.500
58.060,0.500
58.651,0.500
59.448,0.510
60.157,0.520
61.034,0.510
61.770,0.510
62.649,0.510
63.378,0.510
64.252,0.500
65.031,0.500
65.863,0.500
66.643,0.500
67.373,0.510
68.154,0.500
68.892,0.500
70.007,0.500
70.689,0.500
71.271,0.500
71.913,0.490
72.883,0.470
73.666,0.490
74.686,0.490
75.317,0.480
76.197,0.470
76.977,0.480
77.998,0.490
78.732,0.500
79.330,0.490
80.095,0.500
80.731,0.500
81.707,0.500
82.299,0.490
83.073,0.480
83.758,0.480
84.638,0.480
85.311,0.470
86.041,0.470
86.821,0.470
87.562,0.470
88.433,0.470
89.749,0.470
90.582,0.460
91.260,0.460
91.992,0.470
92.927,0.470
93.558,0.460
94.332,0.450
95.011,0.450
95.937,0.450
96.770,0.450
97.549,0.460
98.572,0.460
99.209,0.470
100.035,0.470
100.764,0.470
101.497,0.470
102.131,0.470
102.960,0.470
103.788,0.470
104.471,0.470
105.301,0.470
106.323,0.470
107.198,0.470
108.029,0.470
108.861,0.470
109.739,0.480
110.471,0.480
111.293,0.480
112.093,0.480
112.854,0.480
113.637,0.480
114.461,0.480
115.296,0.480
116.268,0.480
117.194,0.480
118.129,0.480
118.803,0.480
119.677,0.480
120.557,0.490
121.335,0.500
122.069,0.500
122.800,0.500
123.637,0.500
124.458,0.490
125.343,0.480
126.161,0.480
127.188,0.480
127.837,0.480
128.601,0.480
129.476,0.480
130.214,0.480
130.953,0.480
131.869,0.480
132.595,0.480
133.382,0.480
134.212,0.480
134.893,0.480
135.718,0.480
136.641,0.470
137.288,0.470
138.068,0.470
138.891,0.470
139.765,0.470
140.402,0.470
141.273,0.470
142.202,0.470
142.884,0.470
143.762,0.470
144.493,0.470
145.322,0.470
146.007,0.470
146.690,0.460
148.243,0.460
148.929,0.460
149.757,0.470
150.689,0.460
151.268,0.460
151.997,0.450
152.932,0.450
153.657,0.440
154.366,0.440
155.197,0.430
155.903,0.430
156.635,0.430
157.262,0.420
159.560,0.420
160.203,0.410
161.260,0.410
162.094,0.410
162.825,0.410
163.508,0.410
164.333,0.410
165.256,0.410
166.137,0.410
166.819,0.410
167.519,0.410
168.230,0.410
168.915,0.410
169.744,0.410
170.621,0.410
171.499,0.410
172.276,0.420
173.067,0.420
174.180,0.430
174.619,0.430
175.410,0.430
176.225,0.440
177.218,0.450
177.788,0.450
178.616,0.450
179.350,0.440
180.420,0.440
181.151,0.440
181.977,0.440
182.711,0.430
183.393,0.430
184.220,0.430
184.905,0.440
186.026,0.440
186.661,0.440
187.243,0.430
187.977,0.420
188.902,0.420
189.584,0.420
190.318,0.420
191.344,0.420
192.217,0.420
192.948,0.420
193.826,0.420
194.703,0.420
195.342,0.420
196.163,0.420
196.994,0.420
197.869,0.420
198.845,0.430
199.433,0.430
200.062,0.430
200.940,0.420
201.708,0.420
202.503,0.440
203.239,0.450
204.214,0.460
204.796,0.460
205.671,0.460
207.183,0.450
207.816,0.450
208.645,0.450
209.324,0.450
211.079,0.460
217.226,0.460
224.005,0.460
225.568,0.450
226.292,0.450
227.072,0.430
227.807,0.430
228.633,0.430
229.509,0.440
230.189,0.440
231.118,0.430
231.800,0.430
232.535,0.420
233.212,0.420
234.189,0.420
234.774,0.420
235.795,0.420
236.306,0.420
237.258,0.410
237.947,0.400
238.818,0.400
239.646,0.410
251.588,0.410
253.152,0.410
253.838,0.410
254.139,0.410
258.222,0.410
260.074,0.400
261.537,0.400
263.143,0.400
264.024,0.410
264.860,0.410
265.784,0.400
267.579,0.400
268.023,0.400
272.356,0.400
273.188,0.400
274.455,0.400
280.399,0.400
280.695,0.400
284.256,0.400
285.719,0.400
286.552,0.390
287.571,0.390
288.158,0.380
289.031,0.370
290.103,0.360
290.539,0.360
291.420,0.360
292.246,0.360
293.072,0.350
293.724,0.340
294.588,0.340
295.291,0.330
297.854,0.330
298.540,0.330
300.001,0.330
301.902,0.330
302.583,0.330
303.315,0.330
303.899,0.330
305.895,0.330
309.311,0.320
311.016,0.320
311.747,0.310
312.820,0.310
313.443,0.310
314.290,0.300
320.278,0.300
320.961,0.310
321.854,0.310
322.585,0.310
323.450,0.320
324.277,0.320
325.056,0.320
326.629,0.320
329.738,0.320
330.564,0.330
331.585,0.340
334.662,0.350
339.044,0.350
343.874,0.350
356.204,0.350
356.791,0.350
358.546,0.350
358.988,0.350
359.814,0.350
360.688,0.350
362.200,0.350
365.811,0.350
366.589,0.350
