df_hash,22ZHK4.EG2MBW
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.SYEB
person_label,V123
date_time_start,2026-04-06_14-06-02.091000_+03
date_time_start_unix,1775466362.091
date_time_end,2026-04-06_14-14-17.869000_+03
length_difference_noticed,no

time,temperature
5.374,34.969
6.293,35.000
7.264,35.062
8.287,35.062
9.412,35.094
10.290,35.062
11.262,35.094
12.285,35.156
13.264,35.188
14.284,35.219
15.284,35.219
16.283,35.250
17.261,35.281
18.476,35.312
19.403,35.344
20.382,35.375
21.256,35.406
22.328,35.406
23.354,35.469
24.278,35.500
25.301,35.531
26.277,35.562
27.252,35.562
28.275,35.594
29.494,35.594
30.275,35.625
31.395,35.625
32.308,35.625
33.350,35.625
34.459,35.625
35.273,35.656
36.271,35.656
37.541,35.656
38.270,35.688
39.393,35.688
40.514,35.719
41.292,35.750
42.315,35.781
43.302,35.719
44.270,35.781
45.312,35.781
46.264,35.812
47.434,35.844
48.360,35.844
49.287,35.875
50.261,35.875
51.440,36.000
52.269,36.062
53.284,36.062
54.508,36.031
55.283,36.125
56.259,36.094
57.281,36.125
58.257,36.125
59.279,36.125
60.262,36.156
61.278,36.062
62.496,36.062
63.288,36.062
64.258,36.094
65.276,36.031
66.399,36.062
67.274,36.062
68.249,36.094
69.273,36.094
70.348,36.094
71.371,36.094
72.247,36.125
73.611,36.156
74.245,36.156
75.324,36.219
76.490,36.188
77.316,36.219
78.242,36.219
79.315,36.188
80.537,36.188
81.365,36.219
82.343,36.188
83.362,36.219
84.238,36.250
85.328,36.219
86.237,36.281
87.508,36.312
88.236,36.344
89.259,36.375
90.283,36.375
91.504,36.375
92.289,36.375
93.500,36.406
94.280,36.375
95.600,36.375
96.279,36.406
97.254,36.406
98.278,36.406
99.253,36.375
100.301,36.438
101.256,36.438
102.667,36.500
103.250,36.500
104.274,36.531
105.248,36.594
106.616,36.562
107.247,36.531
108.271,36.531
109.246,36.562
110.269,36.531
111.298,36.531
112.268,36.438
113.251,36.438
114.269,36.500
115.242,36.500
116.414,36.469
117.240,36.469
118.285,36.500
119.239,36.500
120.263,36.500
121.340,36.500
122.261,36.500
123.238,36.531
124.260,36.500
125.286,36.562
126.280,36.562
127.234,36.562
128.257,36.562
129.232,36.562
130.320,36.562
131.310,36.594
132.303,36.594
133.230,36.625
134.253,36.594
135.277,36.562
136.252,36.531
137.499,36.562
138.251,36.594
139.274,36.594
140.249,36.625
141.278,36.562
142.248,36.562
143.275,36.438
144.247,36.438
145.270,36.469
146.488,36.500
147.269,36.500
148.248,36.500
149.268,36.531
150.244,36.531
151.366,36.562
152.439,36.531
153.265,36.656
154.288,36.688
155.264,36.656
156.287,36.625
157.362,36.625
158.238,36.625
159.264,36.594
160.261,36.625
161.270,36.625
162.235,36.656
163.259,36.656
164.233,36.656
165.412,36.656
166.351,36.656
167.330,36.719
168.337,36.719
169.254,36.750
170.229,36.750
171.252,36.750
172.289,36.750
173.251,36.781
174.239,36.750
175.299,36.781
176.235,36.781
177.258,36.750
178.244,36.781
179.297,36.781
180.225,36.750
181.246,36.750
182.277,36.719
183.295,36.750
184.229,36.750
185.251,36.750
186.230,36.750
187.255,36.750
188.271,36.781
189.243,36.750
190.264,36.719
191.293,36.719
192.312,36.688
193.276,36.688
194.262,36.750
195.247,36.781
196.265,36.812
197.236,36.844
198.259,36.844
199.242,36.844
200.265,36.875
201.232,36.844
202.260,36.906
203.333,36.938
204.255,36.875
205.235,36.844
206.257,36.781
207.670,36.750
208.253,36.750
209.229,36.719
210.267,36.750
211.226,36.750
212.250,36.750
213.225,36.750
214.249,36.781
215.370,36.781
216.688,36.812
217.379,36.812
218.246,36.812
219.221,36.812
220.245,36.812
221.220,36.781
222.269,36.781
223.272,36.781
224.242,36.750
225.217,36.750
226.536,36.750
227.216,36.781
228.239,36.750
229.214,36.781
230.238,36.781
231.285,36.812
232.480,36.781
233.218,36.781
234.235,36.812
235.210,36.781
236.529,36.781
237.264,36.781
238.233,36.812
239.305,36.812
240.231,36.812
241.255,36.812
242.230,36.844
243.262,36.781
244.229,36.781
245.252,36.812
246.280,36.812
247.300,36.812
248.226,36.812
249.250,36.781
250.225,36.812
251.345,36.812
252.224,36.781
253.252,36.844
254.296,36.844
255.246,36.844
256.221,36.844
257.244,36.844
258.368,36.812
259.243,36.844
260.230,36.812
261.242,36.875
262.464,36.844
263.242,36.844
264.216,36.812
265.239,36.812
266.409,36.812
267.240,36.812
268.262,36.812
269.236,36.812
270.212,36.844
271.239,36.844
272.210,36.875
273.256,36.875
274.209,36.875
275.233,36.875
276.499,36.844
277.231,36.844
278.206,36.875
279.230,36.844
280.205,36.812
281.229,36.812
282.212,36.781
283.229,36.812
284.313,36.812
285.226,36.844
286.250,36.812
287.322,36.812
288.248,36.844
289.261,36.844
290.247,36.844
291.368,36.875
292.250,36.906
293.231,36.906
294.293,36.906
295.219,36.938
296.243,36.938
297.218,36.938
298.241,36.969
299.221,37.000
300.262,37.000
301.462,36.969
302.247,36.906
303.214,36.875
304.246,36.875
305.243,36.875
306.239,36.875
307.211,36.938
308.235,36.906
309.210,36.906
310.239,36.906
311.209,36.938
312.430,36.938
313.214,36.938
314.236,37.000
315.369,37.000
316.230,37.000
317.206,36.969
318.235,36.969
