df_hash,22ZHK4.0K8Q7Z
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XHK9
person_label,V147
date_time_start,2026-06-08_17-10-02.041000_+03
date_time_start_unix,1780920602.041
date_time_end,2026-06-08_17-29-24.124000_+03
length_difference_noticed,no

time,perfusion_ir
590.451,0.150
596.563,0.150
612.676,0.150
681.749,0.140
713.538,0.130
730.358,0.120
733.975,0.120
736.986,0.110
739.907,0.110
744.795,0.110
746.729,0.120
746.796,0.120
754.781,0.120
758.435,0.110
762.286,0.110
764.230,0.110
764.284,0.120
769.942,0.120
770.038,0.120
771.204,0.110
772.913,0.110
779.930,0.110
781.686,0.110
781.925,0.110
783.681,0.110
784.579,0.110
788.439,0.110
802.664,0.110
811.434,0.110
813.208,0.110
840.736,0.110
840.839,0.110
843.669,0.110
844.444,0.110
844.590,0.110
847.515,0.110
848.589,0.110
850.388,0.110
852.338,0.110
852.461,0.120
861.015,0.120
864.777,0.120
872.285,0.120
916.252,0.120
940.235,0.120
975.834,0.130
