df_hash,22ZHK4.0K8Q7Z
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XHK9
person_label,V147
date_time_start,2026-06-08_17-10-02.041000_+03
date_time_start_unix,1780920602.041
date_time_end,2026-06-08_17-29-24.124000_+03
length_difference_noticed,no

time,battery
9.034,94
19.020,94
29.054,94
39.059,94
49.054,94
59.070,94
69.044,94
79.113,94
89.038,94
99.091,94
109.024,94
119.019,94
129.013,94
139.057,94
149.052,94
159.095,94
169.056,94
179.041,94
189.062,94
199.174,94
209.128,94
219.016,94
229.059,94
239.054,94
249.096,94
259.121,94
269.038,94
279.038,94
289.028,94
299.022,94
309.017,94
319.012,94
329.009,94
339.053,94
349.094,94
359.044,94
369.034,94
379.029,94
389.133,94
399.067,94
409.158,94
419.348,93
469.132,93
479.118,93
489.062,93
499.054,93
509.094,93
519.031,93
529.030,93
538.976,93
549.014,93
559.007,93
569.000,93
579.090,93
589.082,93
598.983,93
609.025,93
619.005,93
628.956,93
638.949,93
648.991,93
659.033,93
669.051,93
678.970,93
688.964,93
698.958,93
708.950,93
719.041,93
729.083,93
738.934,93
748.973,93
758.965,93
768.980,93
778.952,93
788.951,92
798.974,92
809.037,92
838.943,92
848.926,92
858.920,92
868.913,92
878.956,92
888.958,92
898.962,92
908.946,92
918.931,92
929.029,92
938.922,92
948.915,92
958.940,92
968.902,92
978.942,92
998.918,92
1008.911,92
1019.003,92
1028.899,92
1038.893,92
1049.036,92
1058.929,92
1068.957,92
1078.920,92
1089.044,92
1098.917,92
1108.918,92
1118.894,92
1128.941,92
1139.028,92
1148.925,92
