df_hash,22ZHK4.0K8Q7Z
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XHK9
person_label,V147
date_time_start,2026-06-08_17-10-02.041000_+03
date_time_start_unix,1780920602.041
date_time_end,2026-06-08_17-29-24.124000_+03
length_difference_noticed,no

time,quality
9.029,94
9.958,43
11.514,100
12.145,0
12.925,0
14.148,0
15.122,24
15.862,15
17.072,15
17.951,16
18.828,5
20.047,18
21.411,13
21.851,13
23.022,14
23.976,15
24.826,15
26.144,16
26.922,19
28.008,0
29.032,27
30.091,21
30.775,23
32.003,23
32.967,0
33.798,0
35.080,0
35.914,26
36.819,29
37.943,34
38.920,43
39.796,38
41.060,32
41.889,39
42.720,28
43.889,32
44.912,18
45.695,31
46.863,27
47.835,0
59.685,60
60.612,60
61.828,57
62.709,51
63.613,44
64.756,31
65.683,0
66.561,18
67.862,14
68.664,18
69.660,7
70.948,0
71.676,0
72.515,39
73.729,39
74.605,33
75.677,37
76.709,12
77.579,0
78.505,0
79.675,0
80.553,0
81.530,0
82.722,0
83.576,0
84.578,0
85.624,0
86.652,0
87.522,29
88.654,35
89.525,15
90.596,11
91.623,11
92.499,12
93.523,10
94.622,10
95.770,0
96.644,25
97.569,0
98.447,0
99.373,0
100.543,0
101.469,0
102.347,0
103.809,38
104.496,47
105.711,37
106.495,45
107.418,51
108.345,61
109.514,59
110.393,58
111.629,61
112.440,56
113.415,12
114.342,38
115.482,14
116.340,0
117.412,0
118.437,0
119.314,0
120.437,0
121.413,0
122.389,38
123.215,77
124.386,76
125.504,67
126.286,66
127.361,69
128.243,66
129.211,72
130.389,60
131.261,62
132.429,50
133.504,40
134.318,25
135.111,98
136.435,34
137.273,37
138.087,29
139.329,34
140.182,35
141.059,39
142.372,27
143.165,27
144.084,25
145.254,42
146.179,30
147.107,25
148.420,29
149.393,18
150.222,16
151.398,13
152.270,0
153.052,19
154.515,22
155.157,25
156.174,0
157.200,0
158.126,0
159.028,0
160.174,0
161.112,22
162.023,11
163.192,13
164.023,12
164.951,12
166.119,11
167.003,10
168.115,15
169.139,0
170.135,53
170.898,65
172.116,72
172.946,61
173.872,40
175.042,30
175.968,26
176.845,31
178.231,24
179.037,29
179.894,45
180.990,50
182.110,55
182.793,26
183.965,28
184.890,25
185.813,14
186.987,49
187.866,21
189.031,21
189.975,21
190.842,21
191.910,19
193.029,4
193.813,30
194.836,70
195.908,79
197.086,81
197.713,82
199.035,86
199.760,83
200.687,84
201.909,79
202.787,78
203.662,79
204.831,83
205.761,85
206.831,86
207.805,81
208.731,78
209.660,78
210.779,78
211.756,82
212.631,77
213.900,80
214.923,81
215.608,80
216.727,11
217.799,44
218.582,52
219.793,60
220.679,70
221.556,79
222.773,77
223.601,79
224.480,45
225.703,44
226.599,38
227.456,34
228.913,40
229.793,32
230.432,40
231.646,43
232.772,42
233.496,52
234.620,38
235.595,33
236.669,33
237.643,0
238.490,21
239.475,26
240.860,40
241.544,51
242.373,58
243.641,51
244.420,44
245.395,33
246.517,46
247.449,50
248.467,84
249.636,85
250.519,71
251.294,59
252.578,31
253.391,28
254.368,0
255.728,0
256.460,36
257.390,30
258.507,32
259.361,34
260.217,26
261.532,0
262.313,0
263.336,20
264.409,17
265.289,34
266.262,73
267.386,78
268.356,77
269.159,81
270.601,89
271.430,91
272.200,84
273.478,82
274.255,68
275.089,23
276.383,21
277.183,36
278.173,31
279.669,25
280.303,30
281.132,39
282.253,61
283.143,61
284.058,78
285.229,80
286.108,79
287.126,86
288.203,87
289.230,86
290.152,86
291.178,84
292.103,12
292.980,21
294.488,28
295.076,31
295.954,29
297.273,25
298.098,27
298.944,27
300.098,35
301.119,34
302.146,42
303.121,28
304.023,0
304.893,0
306.140,0
306.972,24
307.858,42
309.070,72
309.948,83
310.874,84
312.042,85
313.112,66
313.847,44
315.160,26
316.137,20
316.915,28
317.991,31
318.918,0
319.796,0
320.965,0
321.919,0
322.811,4
324.036,0
324.865,0
325.743,29
326.915,33
327.888,48
328.719,34
329.937,73
330.814,83
331.709,85
332.940,82
333.851,80
335.055,82
335.884,82
336.782,7
337.690,11
338.941,12
339.735,15
340.687,0
341.832,0
342.813,0
343.637,0
344.966,0
345.748,0
346.610,0
347.780,18
348.707,12
349.588,20
350.757,18
351.683,0
352.560,0
353.874,1
354.849,0
355.919,2
356.752,6
357.634,0
358.509,2
359.725,0
360.678,0
361.775,0
362.700,0
363.594,27
364.503,27
365.820,29
366.568,28
367.624,27
368.708,23
369.532,15
370.451,0
371.772,0
372.741,0
373.619,24
374.643,6
375.527,71
376.496,19
377.763,26
378.619,32
379.472,36
380.590,39
381.477,28
382.542,30
383.517,40
384.594,20
385.323,33
386.639,0
387.514,21
388.494,26
389.710,33
390.537,0
391.614,17
392.533,17
393.466,0
394.251,0
395.705,29
396.346,24
397.268,31
398.440,28
399.361,30
400.291,26
401.653,16
402.302,10
403.229,20
404.643,0
405.456,0
406.188,0
407.423,0
408.333,6
409.311,0
410.343,0
411.259,16
412.379,0
413.306,0
414.240,20
415.305,27
416.380,0
417.206,16
418.085,22
419.446,18
420.182,13
421.061,15
422.279,0
471.859,64
472.982,67
473.954,73
474.832,65
475.709,67
476.930,64
477.854,63
478.974,63
479.901,44
480.974,48
481.948,51
483.020,51
