df_hash,22ZHK4.0K8Q7Z
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XHK9
person_label,V147
date_time_start,2026-06-08_17-10-02.041000_+03
date_time_start_unix,1780920602.041
date_time_end,2026-06-08_17-29-24.124000_+03
length_difference_noticed,no

time,ppg_quality
57.963,36
58.973,40
60.993,39
63.013,52
65.033,51
67.053,35
68.063,31
70.083,33
72.103,47
74.123,51
76.143,45
78.163,85
80.183,81
81.193,76
83.213,57
85.233,67
87.253,43
89.273,66
93.313,39
94.323,37
95.333,32
96.343,55
98.363,43
100.383,36
102.403,49
104.423,25
105.433,32
107.453,17
108.463,23
109.473,32
111.493,56
113.513,83
115.533,93
117.553,109
118.563,85
120.583,84
122.603,79
124.623,68
125.633,59
126.643,47
127.653,35
128.663,57
130.683,46
131.693,44
133.713,38
134.723,100
135.733,88
137.753,78
139.773,98
141.793,105
142.803,102
143.813,95
144.823,37
145.833,46
146.843,47
147.853,41
148.863,18
149.873,9
152.903,3
154.923,9
155.933,7
156.943,21
157.953,25
159.973,28
160.983,15
161.993,19
163.003,23
164.013,19
165.023,23
166.033,27
168.053,37
170.073,47
171.083,61
172.093,66
174.113,50
176.133,31
178.153,8
191.283,45
192.293,46
194.313,75
196.333,102
197.343,103
198.353,110
200.373,127
201.383,74
202.393,83
204.413,85
205.423,83
207.443,81
209.463,82
211.483,79
213.503,73
214.513,74
215.523,73
216.533,67
217.543,41
218.553,28
219.563,20
220.573,15
221.583,16
222.593,19
224.613,1
226.633,9
228.653,39
229.663,38
230.673,33
231.683,28
232.693,19
233.703,18
234.713,19
237.743,1
238.753,15
239.763,19
241.783,21
243.803,25
244.813,32
245.823,41
246.833,53
247.843,55
248.853,53
250.873,66
252.893,55
254.913,45
255.923,40
256.933,31
258.953,36
260.973,32
261.983,40
262.993,68
264.003,77
265.013,90
266.023,95
268.043,105
270.063,101
272.083,105
274.103,98
275.113,97
276.123,118
277.133,126
279.153,121
281.173,104
283.193,95
285.213,92
287.233,59
288.243,50
290.263,74
291.273,85
292.283,96
294.303,120
296.323,89
298.343,93
299.353,95
300.363,93
301.373,89
302.383,83
303.393,42
305.413,79
306.423,75
308.443,68
309.453,63
311.473,51
313.493,41
314.503,38
316.523,32
318.543,27
320.563,15
322.583,17
324.603,34
325.613,37
326.623,40
327.633,42
329.653,60
330.663,70
331.673,74
332.683,75
333.693,75
335.713,75
336.723,77
337.733,79
338.743,80
339.753,68
340.763,55
342.783,40
344.803,37
346.823,21
348.843,17
350.863,36
352.883,45
354.903,62
357.933,77
359.953,93
361.973,87
362.983,99
366.013,122
367.023,123
369.043,108
370.053,105
371.063,111
373.083,103
374.093,90
375.103,103
376.113,102
377.123,103
378.133,102
379.143,104
380.153,108
382.173,104
384.193,105
386.213,86
387.223,80
388.233,76
390.253,80
392.273,103
394.293,94
395.303,80
396.313,61
398.333,28
400.353,6
413.483,31
415.503,57
416.513,61
418.533,83
419.543,111
420.553,117
421.563,100
422.573,71
424.593,55
514.796,63
515.806,50
516.816,42
517.826,40
518.836,38
519.846,42
521.866,49
523.886,55
525.896,71
527.916,84
530.946,68
531.956,54
532.966,41
534.986,46
537.006,37
539.026,24
540.036,29
541.046,35
542.056,49
544.076,64
546.096,73
547.106,86
549.126,113
550.136,115
552.156,123
553.166,114
555.186,101
557.206,86
559.216,58
560.226,55
561.236,26
562.246,30
563.256,27
565.276,25
566.286,22
568.306,23
570.326,24
572.346,20
574.366,27
575.376,32
577.396,44
579.416,35
581.436,30
583.456,47
584.466,54
586.486,49
587.496,44
588.506,56
590.516,66
592.536,84
594.556,83
596.576,91
597.586,99
598.596,102
599.606,113
601.626,100
603.646,88
605.666,76
607.686,59
609.706,37
610.716,34
612.736,34
613.746,29
614.756,32
616.776,40
618.796,53
620.816,59
622.836,61
623.846,62
625.866,67
627.886,68
629.906,63
630.916,59
632.936,54
634.956,33
636.976,27
638.996,23
641.016,34
642.026,45
643.036,49
645.056,68
646.066,63
648.086,45
650.106,58
652.126,68
654.146,67
655.156,55
657.176,69
658.186,71
659.196,66
661.216,29
663.236,9
664.246,7
666.266,30
667.276,38
668.286,44
670.306,62
672.326,93
673.336,101
674.346,108
675.356,109
676.366,113
678.386,112
681.416,103
682.426,97
683.436,98
685.456,93
688.486,73
690.506,69
692.526,63
694.546,57
696.566,65
698.586,64
700.606,67
702.626,52
703.636,33
704.646,33
705.656,37
707.676,47
709.696,55
711.716,73
714.746,119
716.766,118
718.786,110
720.806,107
721.816,108
722.826,108
723.836,108
725.856,106
726.866,103
727.876,103
728.886,103
729.896,104
731.916,102
732.926,100
733.936,99
734.946,98
735.956,98
736.966,99
738.986,99
741.006,98
743.026,99
744.036,101
745.046,102
746.056,101
747.066,101
748.076,102
749.086,102
750.096,101
752.116,104
754.136,104
756.156,99
758.176,97
759.186,98
761.206,96
763.226,92
765.246,92
766.256,95
768.276,97
770.296,99
772.316,99
774.336,101
776.356,105
778.376,106
780.396,105
781.406,106
783.426,107
784.436,106
785.446,105
787.466,100
789.486,97
791.506,96
792.516,96
793.526,99
794.536,102
796.556,100
797.566,93
798.576,79
800.596,75
802.616,53
803.626,49
805.646,42
808.676,69
809.686,75
811.706,80
812.716,91
813.726,93
814.736,99
816.756,97
818.776,78
