df_hash,22ZHK4.0K8Q7Z
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XHK9
person_label,V147
date_time_start,2026-06-08_17-10-02.041000_+03
date_time_start_unix,1780920602.041
date_time_end,2026-06-08_17-29-24.124000_+03
length_difference_noticed,no

time,spo2
590.448,94
596.560,94
612.630,94
681.716,94
713.535,93
730.304,94
733.963,94
736.980,94
739.761,94
744.783,94
746.692,94
746.782,94
754.729,94
758.432,94
762.283,94
764.088,94
764.281,94
769.888,94
770.035,95
771.201,95
772.911,95
779.640,95
781.682,95
781.877,95
783.676,95
784.576,95
788.409,95
802.660,95
811.429,95
813.195,95
840.643,95
840.833,95
843.663,95
844.441,95
844.494,95
847.467,94
848.346,94
850.291,94
852.197,94
852.443,94
860.971,94
864.724,94
872.282,93
916.155,93
940.189,93
975.825,93
