df_hash,22ZHK4.0K8Q7Z
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.XHK9
person_label,V147
date_time_start,2026-06-08_17-10-02.041000_+03
date_time_start_unix,1780920602.041
date_time_end,2026-06-08_17-29-24.124000_+03
length_difference_noticed,no

time,omega
590.455,0.704
596.567,0.700
612.688,0.704
681.759,0.724
713.636,0.738
730.377,0.710
733.980,0.708
737.030,0.705
739.912,0.710
745.023,0.708
746.733,0.708
746.800,0.704
754.791,0.699
758.629,0.690
762.290,0.690
764.235,0.690
764.288,0.699
770.031,0.690
770.082,0.683
771.253,0.678
772.919,0.676
779.942,0.676
781.693,0.676
781.930,0.676
783.689,0.670
784.583,0.670
788.460,0.676
802.692,0.676
811.470,0.670
813.222,0.676
840.768,0.670
840.889,0.670
843.685,0.670
844.489,0.685
844.599,0.685
847.518,0.696
848.597,0.701
850.394,0.707
852.344,0.707
852.466,0.712
861.020,0.715
864.784,0.726
872.290,0.736
916.261,0.737
940.238,0.745
975.837,0.749
