df_hash,22ZHK4.1W3XND
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Y4CB
person_label,V58
date_time_start,2025-10-31_15-16-19.977000_+03
date_time_start_unix,1761909379.977
date_time_end,2025-10-31_15-24-33.566000_+03
length_difference_noticed,no

time,battery
19.344,16
29.385,16
39.436,16
49.392,16
59.385,16
69.360,16
79.354,16
89.398,16
99.341,16
109.335,16
119.474,16
129.371,16
139.413,16
149.359,16
159.401,16
169.346,16
179.388,16
189.334,16
199.427,16
209.321,16
219.339,16
229.358,16
239.449,16
249.345,16
259.339,16
269.332,16
279.327,16
289.428,16
299.314,16
309.421,15
319.350,15
329.445,15
339.343,15
349.340,15
359.326,15
369.340,15
379.313,15
389.307,15
399.301,15
409.343,15
419.337,15
429.334,15
439.325,15
449.318,15
459.361,15
469.307,15
479.399,15
