df_hash,22ZHK4.1W3XND
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Y4CB
person_label,V58
date_time_start,2025-10-31_15-16-19.977000_+03
date_time_start_unix,1761909379.977
date_time_end,2025-10-31_15-24-33.566000_+03
length_difference_noticed,no

time,quality
25.295,76
26.186,70
27.483,69
28.221,74
29.145,83
30.314,84
31.191,83
32.118,85
33.333,82
34.165,78
35.091,68
36.312,63
37.431,58
38.101,57
39.427,60
40.259,65
41.089,73
42.403,81
43.232,75
44.013,49
45.277,41
46.108,48
47.132,39
48.205,38
49.128,45
50.011,47
51.228,40
52.153,67
53.007,80
54.490,83
55.128,86
56.297,66
57.175,62
58.101,62
59.280,55
60.149,58
61.320,81
61.904,82
63.133,81
64.023,79
64.926,78
66.096,78
67.027,84
67.901,86
69.070,86
70.000,82
70.923,82
72.133,89
72.972,86
73.899,84
75.363,84
76.043,86
77.113,81
78.091,66
78.966,39
80.136,38
81.013,37
82.189,40
82.770,47
83.988,50
84.865,72
85.937,52
87.007,38
87.839,60
88.765,53
89.935,40
90.853,70
91.739,87
92.937,86
93.835,88
94.810,80
95.885,79
96.817,76
97.686,70
98.929,74
99.783,83
100.685,79
101.880,86
102.757,91
103.683,88
104.853,87
105.827,89
106.707,90
108.070,85
108.704,82
109.676,81
110.851,79
111.772,78
112.798,88
113.922,89
114.704,88
115.579,87
116.797,85
117.674,84
118.552,88
119.865,88
120.843,87
121.600,90
122.744,85
123.622,83
124.548,80
126.010,83
126.599,82
127.570,74
128.740,56
129.910,54
130.738,55
131.665,51
132.595,70
133.663,64
134.736,37
135.857,51
136.636,55
137.661,34
138.539,31
139.462,58
140.637,79
141.514,52
142.437,33
143.611,47
144.487,30
145.413,31
146.875,46
147.655,55
148.484,69
149.595,73
150.483,61
151.385,36
152.723,28
153.502,27
154.335,36
155.506,43
156.479,34
157.402,32
158.526,44
159.454,70
160.281,73
161.500,50
162.401,56
163.447,63
164.525,38
165.353,40
166.278,70
167.525,76
168.468,70
169.258,65
170.764,74
171.442,86
172.225,69
173.399,68
174.321,77
175.199,79
176.418,80
177.303,85
178.219,69
179.437,73
180.461,77
181.148,76
182.460,61
183.244,54
184.123,58
185.388,68
186.217,63
187.140,59
188.504,62
189.190,61
190.068,64
191.430,66
192.216,59
193.093,42
194.260,29
195.140,28
196.161,30
197.234,25
198.111,30
199.133,23
200.402,29
201.231,36
202.086,38
203.229,33
204.108,32
205.083,35
206.156,19
207.231,0
208.203,41
209.180,34
210.059,28
210.979,38
212.152,33
213.029,39
213.908,44
215.220,43
216.049,49
216.933,49
218.139,67
218.978,71
219.952,86
221.077,85
221.951,81
222.903,83
224.048,84
224.974,89
225.853,90
227.021,89
227.998,87
228.827,88
230.043,91
230.923,92
231.944,89
233.022,86
233.894,84
234.772,81
235.991,84
236.923,87
237.796,85
238.966,82
239.890,76
240.817,70
241.996,48
243.107,29
243.787,0
244.938,26
245.981,0
246.775,0
247.886,31
248.911,75
249.784,80
251.154,89
251.787,77
252.663,67
253.836,41
254.762,43
255.686,48
256.905,41
258.025,46
258.611,57
259.927,79
260.758,84
261.587,84
262.806,68
263.681,45
264.668,43
265.815,42
266.654,37
267.631,34
269.140,73
269.730,62
270.577,62
271.726,65
272.699,69
273.528,72
274.698,84
275.625,87
276.502,77
277.721,38
278.598,42
279.531,45
280.694,45
281.620,45
282.741,57
283.864,61
284.572,61
285.522,71
286.646,70
287.520,75
288.491,54
289.616,42
290.542,48
291.420,40
292.615,27
293.516,38
294.441,62
295.954,74
296.635,79
297.367,87
298.538,86
299.463,85
300.387,85
301.560,81
302.534,41
303.360,41
304.533,44
305.557,44
306.432,48
307.507,56
308.384,74
309.408,55
310.481,40
311.358,53
312.285,48
313.548,28
314.427,34
315.307,30
316.766,40
317.307,34
318.326,44
319.402,48
320.328,84
321.251,76
322.414,67
323.347,44
324.424,38
325.398,35
326.277,28
327.202,24
328.372,36
329.298,49
330.419,58
331.489,49
332.274,58
333.101,47
334.320,47
335.198,75
336.126,32
337.294,40
338.363,44
339.208,48
340.267,49
341.145,37
342.071,33
343.244,26
344.118,22
345.091,28
346.260,31
347.141,0
348.028,18
349.189,20
350.115,26
350.993,37
352.212,40
353.185,58
353.969,28
355.328,0
356.062,0
356.986,0
358.160,0
359.037,35
359.964,65
361.183,62
362.012,75
362.890,80
364.108,79
364.986,82
365.910,78
367.421,78
367.958,74
368.884,75
370.298,74
370.931,53
371.905,39
373.029,62
373.904,50
374.905,44
376.003,28
376.881,39
378.098,34
378.975,41
379.906,39
380.778,37
381.948,41
382.875,28
383.847,28
384.922,30
385.946,0
386.869,34
387.949,44
388.823,68
389.700,35
390.969,27
391.796,24
392.723,29
393.941,24
394.770,28
395.696,47
397.155,55
397.743,36
398.670,25
399.840,0
400.717,0
401.644,0
402.814,0
403.937,0
404.663,28
405.811,10
406.665,12
407.642,13
408.763,12
409.678,11
410.565,11
411.878,0
412.672,8
413.538,0
414.708,28
415.636,29
416.512,23
417.682,35
418.609,38
419.778,42
420.802,37
421.632,34
422.462,45
423.968,45
424.796,44
425.528,42
427.041,30
427.530,30
428.505,51
429.626,57
430.744,60
431.481,57
432.601,53
433.478,43
434.415,42
435.768,47
436.451,48
437.378,37
438.547,53
439.471,51
