df_hash,22ZHK4.1W3XND
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Y4CB
person_label,V58
date_time_start,2025-10-31_15-16-19.977000_+03
date_time_start_unix,1761909379.977
date_time_end,2025-10-31_15-24-33.566000_+03
length_difference_noticed,no

time,ppg_quality
68.182,90
69.192,91
70.202,89
72.222,84
73.232,83
74.242,85
75.252,89
77.272,74
79.292,44
80.302,43
81.312,44
82.322,49
83.332,53
85.352,51
86.362,54
88.382,79
90.402,88
91.412,86
92.422,82
94.442,79
96.462,86
97.472,86
99.492,83
101.512,83
103.532,86
105.552,86
106.562,83
108.582,83
110.602,89
112.622,87
114.642,84
116.662,88
117.672,88
118.682,85
121.712,86
122.722,90
123.732,90
125.752,85
127.772,86
129.792,88
131.812,84
132.822,80
134.842,78
135.852,77
136.862,75
138.882,75
139.892,76
141.912,76
142.922,74
143.932,78
145.952,83
146.962,85
147.972,86
149.992,79
152.012,74
153.022,76
155.042,67
157.062,70
159.082,71
161.102,78
163.122,76
165.142,78
166.152,78
167.162,77
168.172,79
169.182,80
170.192,81
172.212,82
174.232,88
176.252,92
177.262,90
179.282,81
181.302,83
182.312,84
183.322,83
185.342,79
187.362,77
189.382,81
190.392,81
192.412,75
194.432,76
196.452,74
198.472,48
199.482,30
201.502,39
203.522,34
205.542,21
206.552,16
207.562,21
208.572,31
209.582,47
210.592,51
212.612,48
213.622,52
214.632,55
216.652,65
218.672,79
220.692,65
221.702,58
222.712,60
223.722,64
224.732,71
225.742,75
227.762,74
229.782,83
231.802,97
233.822,93
234.832,92
235.842,91
236.852,89
237.862,88
238.872,87
240.892,86
242.912,65
244.932,55
245.942,58
247.962,61
249.982,64
252.002,64
253.012,83
254.022,90
255.032,92
257.052,85
259.072,70
261.092,66
263.112,72
264.122,73
265.132,77
267.152,78
268.162,79
270.182,90
272.202,86
274.222,83
275.232,81
277.252,76
278.262,77
281.292,74
283.312,68
285.332,68
287.352,75
288.362,75
289.372,75
291.392,69
292.402,75
293.412,73
294.422,72
296.442,74
298.462,82
300.482,84
303.512,92
305.532,98
307.552,97
309.572,93
311.592,84
313.612,88
314.622,88
315.632,86
316.642,77
318.662,77
319.672,77
320.682,82
321.692,91
322.702,97
324.722,85
325.732,86
327.752,98
328.762,103
329.772,109
331.792,103
332.802,99
333.812,99
334.822,96
336.842,86
338.862,65
340.882,67
342.902,60
343.912,56
345.932,55
346.942,55
349.972,61
351.992,62
354.012,68
356.032,66
358.052,77
359.062,75
361.082,63
363.102,64
365.122,79
366.132,77
367.142,74
369.162,76
370.172,79
371.182,78
372.192,80
374.212,66
376.232,62
378.252,67
380.272,69
383.302,70
384.312,63
385.322,55
387.342,44
389.362,34
391.382,42
393.402,41
394.412,37
395.422,33
396.432,38
398.442,41
400.462,26
402.482,10
403.492,6
404.502,5
405.512,1
411.572,21
412.582,9
414.602,28
415.612,36
416.622,32
417.632,65
418.642,43
420.662,11
422.682,24
424.702,15
427.732,55
428.742,65
429.752,66
431.772,61
433.792,62
435.812,51
437.832,49
439.852,48
440.862,51
441.872,62
442.882,72
444.902,86
446.922,80
448.942,52
450.962,34
451.972,22
453.992,17
455.002,15
456.012,10
458.032,25
460.052,45
462.072,60
463.082,57
465.102,64
467.122,74
468.132,76
469.142,73
471.162,59
472.172,59
473.182,60
476.212,55
477.222,46
478.232,10
480.252,4
482.272,23
484.292,8
485.302,6
486.312,9
488.332,51
489.342,51
