df_hash,22ZHK4.1W3XND
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Y4CB
person_label,V58
date_time_start,2025-10-31_15-16-19.977000_+03
date_time_start_unix,1761909379.977
date_time_end,2025-10-31_15-24-33.566000_+03
length_difference_noticed,no

time,respiration_rate
67.492,18
72.062,18
77.892,18
82.662,18
87.532,17
92.132,17
96.632,17
126.892,16
131.612,16
135.892,17
140.152,17
144.692,17
149.232,17
153.342,17
158.042,17
162.652,16
185.362,13
194.102,14
198.912,14
207.302,14
276.992,17
282.692,18
286.982,18
292.302,18
