df_hash,22ZHK4.1W3XND
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Y4CB
person_label,V58
date_time_start,2025-10-31_15-16-19.977000_+03
date_time_start_unix,1761909379.977
date_time_end,2025-10-31_15-24-33.566000_+03
length_difference_noticed,no

time,heart_rate
25.290,72
26.179,71
27.378,70
28.215,68
29.141,65
30.310,65
31.188,65
32.114,65
33.284,67
34.162,68
35.088,68
36.307,68
37.216,69
38.087,70
39.352,71
40.255,72
41.085,71
42.258,70
43.154,69
44.009,69
45.228,69
46.105,69
47.035,69
48.202,69
49.079,69
50.006,69
51.224,69
52.150,68
53.002,68
54.155,68
55.124,68
55.956,69
57.172,71
58.098,72
58.972,72
60.145,71
61.098,69
61.901,68
63.129,67
64.020,67
64.923,68
66.093,68
67.019,69
67.897,70
69.067,70
69.993,69
70.919,68
72.123,67
72.967,67
73.893,67
75.036,67
76.038,68
76.823,68
78.086,69
78.963,68
79.796,68
81.010,68
82.183,68
82.766,68
83.984,68
84.862,68
85.810,68
86.958,71
87.836,73
88.762,74
89.932,72
90.850,70
91.736,68
92.934,67
93.832,67
94.712,68
95.879,68
96.806,68
97.683,68
98.925,67
99.779,66
100.682,66
101.876,67
102.753,67
103.679,67
104.849,68
105.731,68
106.702,69
107.843,70
108.701,70
109.630,71
110.797,71
111.723,71
112.603,70
113.774,69
114.697,69
115.575,69
116.793,69
117.671,69
118.548,69
119.771,69
120.648,69
121.595,69
122.741,70
123.618,70
124.544,71
125.743,72
126.592,72
127.567,73
128.737,74
129.622,75
130.495,76
131.662,76
132.588,75
133.469,75
134.639,75
135.568,79
136.508,82
137.658,79
138.536,79
139.417,76
140.632,75
141.509,74
142.387,75
143.606,79
144.483,77
145.410,76
146.583,69
147.460,67
148.481,65
149.588,65
150.479,64
151.381,64
152.530,64
153.474,64
154.331,64
155.501,64
156.476,64
157.306,67
158.478,69
159.450,70
160.278,71
161.497,73
162.398,76
163.301,78
164.520,76
165.349,75
166.275,72
167.516,70
168.324,68
169.248,66
170.525,64
171.298,63
172.222,63
173.392,65
174.318,67
175.196,68
176.415,68
177.293,67
178.170,67
179.400,68
180.289,69
181.143,70
182.368,71
183.240,73
184.117,74
185.385,76
186.213,78
187.091,79
188.500,80
189.187,80
190.065,80
191.334,80
192.210,80
193.087,80
194.257,80
195.135,80
196.064,80
197.231,80
198.108,80
199.083,80
200.206,83
201.133,84
202.081,85
203.178,84
204.105,83
205.080,83
206.152,83
207.228,83
207.957,85
209.175,83
210.053,83
210.931,77
212.149,80
213.026,77
213.904,77
215.122,76
216.003,76
216.926,73
218.135,71
218.973,70
219.948,69
221.070,68
221.947,67
222.899,66
224.044,65
224.970,64
225.847,63
227.017,63
227.993,63
228.821,63
230.040,64
230.918,64
231.797,64
233.014,64
233.891,64
234.768,64
235.988,64
236.916,64
237.791,64
238.961,64
239.839,66
240.814,68
241.985,66
242.814,66
243.740,66
244.934,66
245.886,66
246.761,66
247.882,66
248.863,66
249.768,65
250.857,65
251.782,65
252.660,66
253.830,68
254.756,71
255.682,73
256.852,71
257.742,71
258.607,69
259.827,67
260.752,65
261.581,64
262.800,64
263.677,64
264.615,64
265.810,63
266.651,63
267.626,63
268.762,64
269.723,65
270.574,67
271.721,68
272.651,69
273.525,70
274.695,69
275.621,68
276.499,68
277.717,68
278.595,68
279.524,72
280.691,74
281.592,73
282.450,71
283.675,70
284.569,69
285.423,69
286.639,69
287.516,70
288.442,72
289.612,71
290.539,76
291.417,74
292.612,73
293.512,73
294.393,70
295.562,68
296.511,68
297.364,68
298.534,69
299.460,69
300.339,70
301.556,70
302.436,69
303.311,69
304.530,67
305.554,65
306.308,66
307.504,66
308.381,65
309.316,66
310.478,65
311.355,71
312.282,73
313.506,70
314.348,69
315.256,69
316.428,63
317.303,65
318.231,71
319.399,74
320.325,74
321.209,72
322.404,71
323.327,71
324.420,71
325.395,71
326.273,71
327.199,71
328.369,71
329.295,70
330.127,71
331.345,73
332.269,74
333.098,74
334.316,73
335.194,70
336.120,71
337.290,71
338.169,74
339.099,76
340.264,78
341.141,76
342.068,76
343.238,76
344.115,76
345.083,76
346.215,82
347.138,78
348.015,79
349.185,78
350.111,84
350.989,86
352.209,86
353.157,87
353.963,86
355.195,86
356.059,86
356.959,86
358.155,86
359.033,86
359.959,80
361.178,78
362.006,75
362.884,73
364.103,71
364.981,70
365.906,70
367.082,70
367.954,70
368.880,70
370.123,71
370.928,72
371.857,71
373.024,76
373.901,78
374.902,76
375.998,75
376.875,75
377.803,75
378.971,78
379.900,79
380.775,79
381.945,80
382.872,79
383.798,79
384.919,79
385.943,79
386.754,80
387.942,81
388.819,81
389.696,80
390.966,80
391.793,80
392.681,74
393.938,77
394.766,76
395.693,77
396.890,79
397.740,80
398.667,79
399.836,79
400.714,79
401.640,79
402.810,79
403.932,79
404.614,79
405.808,79
406.661,79
407.636,79
408.758,79
409.674,79
410.562,79
411.794,79
412.658,79
413.535,79
414.705,85
415.633,75
416.509,79
417.679,77
418.605,78
419.536,76
420.705,75
421.628,68
422.456,65
423.827,62
424.561,60
425.434,60
426.656,60
427.527,60
428.502,65
429.623,69
430.511,70
431.429,70
432.597,71
433.474,70
434.400,73
435.574,75
436.448,75
437.374,74
438.544,74
439.467,73
