df_hash,22ZHK4.1W3XND
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.Y4CB
person_label,V58
date_time_start,2025-10-31_15-16-19.977000_+03
date_time_start_unix,1761909379.977
date_time_end,2025-10-31_15-24-33.566000_+03
length_difference_noticed,no

time,rr_int
21.098,4795
21.926,930
22.608,875
23.437,775
24.315,800
25.341,855
25.344,950
26.069,10
26.073,875
27.131,10
27.339,935
28.045,10
28.169,970
28.994,10
29.823,930
29.921,880
30.799,10
31.725,900
32.507,920
33.338,840
33.384,860
34.308,10
34.698,895
34.701,270
34.704,10
34.749,155
34.752,15
35.137,20
35.141,395
35.966,10
36.697,795
36.700,800
37.674,10
38.355,820
39.431,835
40.228,905
41.035,930
42.108,850
42.111,905
42.255,330
43.480,490
44.058,755
44.302,495
45.179,285
45.183,885
46.057,10
46.155,810
46.743,160
46.840,605
47.519,10
48.253,715
48.256,810
49.274,10
49.279,925
50.152,10
50.981,930
51.858,860
51.862,865
52.735,10
53.662,895
54.542,910
55.176,775
55.856,740
56.831,790
57.806,880
58.635,950
58.781,875
58.787,165
58.929,20
59.512,20
60.487,710
60.490,925
61.559,10
62.291,950
63.120,895
63.948,840
64.777,830
65.753,880
66.580,895
66.586,820
67.458,10
68.433,875
69.262,925
70.188,940
71.067,930
72.040,885
72.890,890
73.699,875
73.704,885
74.527,10
75.502,865
75.505,925
75.648,15
75.795,320
75.892,15
75.896,15
75.941,20
75.944,15
75.947,15
76.050,95
76.185,15
76.209,240
77.306,840
77.696,220
78.427,440
78.973,605
79.792,650
80.645,770
81.941,890
82.425,920
83.402,940
84.229,875
84.960,835
85.643,720
86.476,715
86.668,835
87.397,10
88.274,880
88.279,925
89.251,10
89.257,960
90.079,15
90.907,855
91.931,885
92.764,950
93.589,890
94.466,825
95.392,845
96.367,945
97.196,995
98.171,880
99.000,910
99.976,920
99.981,895
100.803,10
100.808,895
101.778,10
102.656,870
102.661,885
103.436,10
104.265,860
105.191,850
106.118,875
106.800,880
107.628,790
107.632,820
108.460,10
109.432,835
110.261,895
111.090,910
112.064,860
112.067,880
113.236,10
113.771,875
114.600,830
115.428,845
115.432,890
116.403,10
117.232,890
117.236,850
118.061,10
118.987,860
119.872,890
120.603,880
120.644,810
121.425,10
122.351,830
123.082,875
123.911,795
124.739,790
124.743,865
125.580,10
125.714,865
126.397,10
126.400,810
127.129,10
127.811,660
128.640,700
129.614,820
129.618,875
130.297,10
130.301,840
131.126,10
131.956,795
132.297,790
132.686,10
132.690,700
133.222,10
133.225,645
133.917,10
134.636,645
135.319,680
135.464,785
136.366,10
137.122,850
137.951,900
137.954,885
138.780,10
139.608,815
139.612,785
140.343,10
141.022,710
141.027,665
141.558,10
141.562,635
142.243,10
143.167,655
143.216,820
144.094,10
145.166,1025
146.044,1025
146.970,890
147.851,910
148.676,880
148.822,830
148.920,230
150.090,140
151.455,1065
151.462,1340
151.991,10
151.994,290
152.137,385
152.759,10
153.445,640
154.087,650
154.090,665
154.868,10
155.598,785
156.485,850
157.407,865
157.500,875
158.231,10
158.234,825
159.060,10
159.134,805
159.815,10
160.479,700
161.205,700
162.044,725
162.180,835
162.277,250
162.281,15
162.326,15
162.863,10
163.874,595
164.898,980
165.495,840
166.667,885
166.672,950
167.445,10
167.453,985
168.476,10
169.401,1000
170.418,980
171.199,915
172.076,830
172.079,835
172.856,10
173.929,905
174.855,950
175.637,935
176.472,915
177.439,830
178.121,805
179.001,825
179.973,905
180.803,935
181.490,770
182.177,695
182.363,745
182.996,10
183.002,810
183.825,10
183.830,825
184.556,10
184.559,705
185.238,10
185.288,665
186.070,10
186.687,690
186.899,750
187.481,10
187.486,800
188.310,10
188.994,805
189.141,730
189.675,10
190.358,660
191.089,695
192.063,745
192.893,935
193.185,865
193.723,355
195.233,520
195.818,1585
196.168,755
196.646,535
198.011,785
198.602,625
199.285,510
199.966,775
200.790,785
201.375,770
202.593,530
202.599,1320
202.740,10
202.743,80
202.788,20
202.792,10
202.795,15
202.889,20
202.892,15
203.032,185
204.547,1375
204.690,160
204.694,120
204.697,15
204.836,150
205.032,160
206.347,735
206.933,630
207.235,590
207.518,525
207.525,10
207.528,10
207.531,20
207.761,240
208.591,575
209.272,270
210.247,700
210.735,1000
210.985,455
211.368,340
211.375,350
211.666,10
212.490,295
213.319,875
213.323,730
214.148,10
214.976,845
216.000,900
216.780,920
217.657,910
217.661,880
218.486,10
219.464,835
220.436,920
221.460,955
222.339,975
223.313,945
224.292,995
225.165,980
226.140,945
227.115,925
227.943,945
228.918,930
228.932,935
229.893,10
230.723,915
231.697,890
231.701,940
232.672,10
233.501,975
234.576,935
235.451,985
236.475,955
237.450,880
238.230,915
239.067,955
239.355,780
239.743,10
240.034,725
240.040,350
240.134,15
240.146,10
240.199,60
240.326,120
240.329,85
240.862,260
241.837,220
241.840,1065
242.522,10
243.390,590
243.446,885
244.080,10
245.055,700
245.986,965
246.956,975
246.959,940
247.834,10
248.857,920
249.649,930
250.615,905
251.165,910
251.563,505
251.685,430
251.843,270
252.952,495
253.635,715
254.611,720
255.342,875
256.316,830
256.560,975
257.292,255
258.235,685
259.193,920
260.167,985
260.171,970
261.045,10
261.051,890
261.874,10
262.410,805
263.093,615
264.068,675
265.045,930
265.094,980
