df_hash,22ZHK4.VJETEC
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.A8GQ
person_label,V97
date_time_start,2025-11-04_18-40-06.966000_+03
date_time_start_unix,1762267206.966
date_time_end,2025-11-04_18-48-54.869000_+03
length_difference_noticed,no

time,omega
113.398,0.658
125.346,0.656
128.120,0.658
135.969,0.659
138.746,0.658
142.987,0.656
144.699,0.655
155.859,0.654
156.785,0.636
157.572,0.618
158.489,0.614
159.414,0.614
160.100,0.605
160.937,0.614
161.758,0.605
161.857,0.605
166.724,0.614
169.266,0.623
171.852,0.623
171.901,0.618
187.398,0.618
187.647,0.623
197.596,0.618
201.928,0.618
209.777,0.618
264.960,0.614
267.986,0.614
310.991,0.624
313.469,0.632
314.348,0.642
336.484,0.632
356.366,0.632
457.381,0.861
