df_hash,22ZHK4.VJETEC
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.A8GQ
person_label,V97
date_time_start,2025-11-04_18-40-06.966000_+03
date_time_start_unix,1762267206.966
date_time_end,2025-11-04_18-48-54.869000_+03
length_difference_noticed,no

time,perfusion_ir
113.394,0.120
125.342,0.130
128.116,0.130
135.965,0.130
138.741,0.130
142.984,0.130
144.695,0.120
155.856,0.130
156.781,0.130
157.567,0.130
158.485,0.130
159.268,0.130
160.096,0.130
160.927,0.130
161.755,0.130
161.854,0.130
166.633,0.130
169.262,0.130
171.847,0.130
171.897,0.130
187.394,0.130
187.643,0.130
197.592,0.130
201.924,0.130
209.773,0.130
264.956,0.130
267.982,0.130
310.987,0.130
313.465,0.130
314.343,0.130
336.479,0.140
356.362,0.150
457.376,0.260
