df_hash,22ZHK4.VJETEC
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.A8GQ
person_label,V97
date_time_start,2025-11-04_18-40-06.966000_+03
date_time_start_unix,1762267206.966
date_time_end,2025-11-04_18-48-54.869000_+03
length_difference_noticed,no

time,ppg_quality
57.452,38
58.462,31
60.482,26
61.492,29
62.502,36
64.522,40
66.542,53
68.562,62
70.582,51
71.592,34
72.602,21
73.612,10
74.622,8
75.632,7
77.652,3
79.672,2
81.692,24
83.712,46
84.722,46
85.732,50
86.742,53
88.762,58
90.782,53
91.792,54
92.802,57
95.832,57
97.852,57
99.872,68
100.882,71
102.902,62
103.912,56
106.942,55
107.952,57
108.962,49
110.982,48
113.002,71
114.012,78
115.022,75
116.032,74
118.052,76
120.072,95
121.082,98
122.092,83
124.112,73
126.132,76
128.152,78
129.162,73
131.182,54
132.192,48
133.202,40
134.212,43
135.222,46
136.232,49
137.242,52
140.272,54
142.292,75
143.302,85
144.312,88
146.332,84
147.342,80
148.352,79
150.372,85
151.382,87
153.402,89
155.422,84
156.432,86
157.442,87
159.462,81
160.472,78
161.482,79
164.512,72
166.532,78
168.552,68
169.562,64
170.572,64
171.582,64
172.592,64
173.602,66
175.622,58
177.642,43
179.662,46
181.682,18
182.692,5
188.752,13
190.772,9
192.792,30
193.802,33
194.812,40
195.822,54
196.832,53
197.842,59
199.862,70
201.882,90
203.902,96
204.912,79
205.922,73
208.952,41
210.972,36
212.992,32
215.012,38
217.032,48
218.042,62
220.062,57
222.082,58
223.092,62
224.102,60
225.112,53
227.132,38
228.142,29
231.172,34
233.192,27
235.212,51
238.242,68
239.252,73
241.272,69
243.292,77
244.302,68
246.322,46
247.332,51
248.342,53
249.352,54
250.362,54
251.372,59
252.382,65
254.402,77
256.422,93
258.442,83
259.452,92
261.472,103
263.492,78
265.512,72
266.522,71
268.542,80
269.552,73
270.562,61
272.582,61
274.602,75
276.622,94
278.642,97
280.662,93
282.682,94
285.712,90
288.742,85
289.752,79
291.772,88
293.792,72
296.822,40
298.842,42
300.862,33
303.892,27
304.902,25
305.912,28
307.932,22
311.972,10
313.992,4
316.012,5
319.042,3
325.102,8
326.112,18
327.122,18
330.152,56
332.172,80
334.192,79
336.212,56
338.232,60
340.252,70
341.262,58
343.282,45
345.302,65
346.312,68
347.322,77
349.342,53
350.352,42
352.372,62
354.392,62
356.412,51
358.432,69
359.442,80
361.462,79
362.472,81
363.482,84
364.492,95
365.502,107
367.522,95
368.532,77
369.542,59
370.552,57
371.562,56
373.582,58
374.592,38
375.602,28
376.612,25
378.632,36
380.652,42
382.672,46
384.692,49
385.702,49
387.722,53
388.732,40
390.752,54
391.762,29
393.782,35
394.792,49
395.802,57
397.822,58
398.832,68
400.852,59
402.872,78
404.892,67
406.912,64
408.932,72
409.942,56
411.962,45
413.982,44
416.002,46
417.012,40
418.022,34
419.032,28
420.042,41
421.052,59
423.072,48
425.092,43
426.102,40
428.122,55
429.132,66
432.162,56
434.182,32
436.202,32
438.222,26
440.242,15
442.262,18
443.272,46
445.292,46
447.312,35
449.332,1
450.342,9
451.352,14
452.362,24
453.372,14
454.382,23
455.392,35
456.402,52
457.412,65
458.422,72
460.442,76
462.462,67
464.482,76
465.492,74
467.512,60
469.532,58
471.552,64
472.562,70
473.572,76
474.582,65
475.592,58
476.602,53
477.612,65
478.622,70
479.632,73
480.642,75
482.662,65
484.682,54
486.702,49
487.712,35
488.722,34
490.742,30
491.752,36
493.772,46
494.782,54
495.792,56
497.812,57
498.822,51
500.842,31
501.852,30
502.862,29
503.872,23
504.882,17
506.902,19
508.922,42
510.942,60
511.952,58
512.962,52
513.972,50
514.982,51
515.992,60
518.012,43
520.032,44
521.042,41
523.062,32
524.072,30
