df_hash,22ZHK4.VJETEC
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.A8GQ
person_label,V97
date_time_start,2025-11-04_18-40-06.966000_+03
date_time_start_unix,1762267206.966
date_time_end,2025-11-04_18-48-54.869000_+03
length_difference_noticed,no

time,rr_int
10.966,6370
11.405,100
11.795,420
11.941,505
11.944,10
12.088,210
13.599,535
14.038,955
15.159,415
15.306,1220
15.403,150
15.406,30
15.451,15
15.842,10
16.232,380
16.524,460
16.818,340
18.182,300
19.888,1330
20.131,1660
20.278,440
20.281,25
20.424,140
21.399,910
22.081,120
22.085,655
23.059,10
23.788,890
23.885,705
23.888,175
24.177,20
24.181,10
24.187,250
24.619,10
25.445,370
25.451,895
25.494,10
25.499,10
25.504,30
25.546,20
25.689,150
25.696,10
27.152,535
27.933,860
28.955,860
29.882,995
30.320,960
30.325,490
30.369,10
30.759,10
31.686,415
32.665,985
32.963,910
32.967,290
33.343,10
34.172,865
34.176,350
35.293,10
35.296,1200
35.594,30
35.731,30
36.706,330
36.709,920
37.389,10
37.633,810
37.828,10
38.364,355
39.348,540
39.587,1035
40.168,10
41.144,820
41.971,905
41.982,920
42.946,10
43.776,880
44.604,905
44.754,885
45.823,10
45.828,975
46.313,15
46.456,655
47.285,10
47.390,885
47.432,185
47.437,10
47.442,10
47.447,15
47.968,10
48.309,575
48.943,285
48.957,595
49.772,10
50.785,920
50.893,905
50.915,10
51.042,120
51.430,30
52.019,610
52.404,525
52.409,405
53.233,10
53.238,860
54.217,10
55.037,940
55.870,790
56.745,840
56.752,885
56.841,10
57.333,125
57.379,405
57.576,15
58.696,255
58.699,835
59.230,15
60.210,825
61.033,970
62.008,950
62.013,870
62.842,10
64.058,910
64.641,955
65.470,800
66.493,905
66.496,895
66.499,10
67.176,10
67.182,770
68.053,10
68.833,795
69.955,890
70.930,1110
71.027,1010
71.030,10
71.079,10
71.087,10
71.098,10
71.124,15
71.127,15
71.130,10
71.133,10
71.173,20
71.176,15
71.179,15
71.227,10
71.234,10
71.237,10
71.333,15
71.465,345
71.469,10
72.441,985
73.416,10
74.391,925
74.537,930
75.222,165
75.225,595
76.048,10
76.058,1000
76.902,10
77.754,830
77.856,865
78.000,10
78.145,165
78.583,130
79.558,530
80.533,950
80.536,960
81.368,10
81.460,860
81.606,210
82.386,715
83.312,10
84.141,960
84.972,905
85.798,840
85.801,850
86.529,10
86.533,610
86.681,10
86.685,10
86.774,265
88.431,850
88.434,895
89.409,10
90.234,875
91.063,920
91.067,840
91.942,10
92.193,860
92.233,205
92.237,15
92.282,15
92.296,10
92.311,10
92.867,10
93.744,675
94.574,845
95.549,845
96.380,900
97.206,890
98.046,885
99.010,855
99.156,890
99.838,215
99.842,695
100.667,10
100.670,795
100.816,15
100.959,135
100.962,55
101.496,50
101.499,550
102.247,10
103.446,780
103.738,1225
103.787,190
103.791,15
105.012,10
106.130,1315
106.371,1065
106.517,530
106.664,10
106.676,10
108.032,845
108.128,585
108.321,270
108.324,10
108.613,255
108.616,15
108.763,235
108.863,10
109.003,10
109.007,55
109.013,15
109.016,165
109.054,10
110.807,810
112.514,915
112.517,1690
113.342,10
113.346,820
114.173,10
114.853,835
115.159,800
115.294,195
115.297,10
116.413,10
116.417,1305
116.852,10
116.855,355
117.096,20
118.463,280
118.561,1400
119.436,10
119.440,980
119.631,15
119.637,10
119.648,20
120.559,15
121.289,855
122.127,955
122.215,845
122.361,205
122.951,525
122.994,10
122.998,30
123.144,30
123.148,10
123.152,10
123.423,20
123.429,25
123.432,15
123.443,10
123.453,10
123.488,10
124.311,490
125.302,815
125.335,925
126.261,10
127.090,975
128.065,875
128.893,895
129.069,960
129.072,10
129.089,10
129.093,15
129.186,205
129.190,10
129.479,230
129.486,20
129.490,15
129.527,10
129.530,15
129.627,15
130.698,275
131.526,885
131.672,890
131.677,95
131.726,15
131.735,15
131.741,15
131.770,15
131.775,10
132.407,10
132.553,660
133.281,10
134.208,890
135.085,880
135.865,885
136.019,900
136.849,10
137.717,905
138.643,905
138.790,845
139.472,200
140.312,675
141.130,885
141.964,850
142.108,850
142.843,10
142.934,865
143.763,10
144.642,890
144.688,840
145.518,10
146.151,780
146.980,810
147.808,835
147.812,790
148.637,15
149.619,880
149.710,905
149.713,10
150.443,10
150.447,875
151.440,10
152.245,905
152.248,895
153.220,10
154.049,895
154.101,875
154.926,10
155.758,860
156.730,895
157.560,890
158.387,830
159.217,845
160.045,865
160.874,845
161.715,790
161.759,840
161.858,15
161.897,15
161.927,70
162.532,25
162.585,720
162.677,10
162.682,10
162.685,10
162.687,10
162.726,10
162.775,150
162.778,15
162.781,10
162.824,40
163.262,490
164.798,10
164.801,1505
165.603,10
166.626,800
166.725,1010
167.406,10
167.410,820
167.413,10
168.284,10
169.210,870
169.214,895
170.088,10
170.919,830
171.749,865
171.891,925
172.720,15
172.732,850
174.232,10
175.266,1610
175.269,900
175.352,10
175.355,15
175.358,130
175.499,15
175.502,155
175.550,15
175.553,15
175.556,10
176.766,350
176.770,825
176.915,10
176.919,20
178.132,55
178.141,1375
178.180,15
178.185,10
178.191,15
178.231,15
178.278,85
178.294,10
179.453,980
179.545,285
179.551,10
181.225,500
181.352,1100
183.055,20
183.060,1905
183.709,10
184.386,655
185.103,680
