df_hash,22ZHK4.QRA2JK
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.J83X
person_label,V39
date_time_start,2025-10-27_13-20-19.994000_+03
date_time_start_unix,1761556819.994
date_time_end,2025-10-27_13-28-31.380000_+03
length_difference_noticed,no

time,rr_int
9.872,4985
9.920,145
10.063,25
10.068,10
10.356,10
10.359,315
10.454,175
11.819,725
12.549,670
13.232,655
13.820,680
14.066,660
14.548,195
14.553,455
15.049,10
15.189,610
15.329,10
15.718,145
15.767,460
15.872,10
16.304,155
17.006,450
17.009,605
17.571,10
17.815,635
18.254,210
18.351,450
18.939,170
19.108,485
19.112,155
19.472,20
19.521,440
20.154,10
20.157,655
20.740,10
21.423,645
21.569,650
22.008,200
22.105,400
22.839,170
23.226,435
23.811,620
24.055,600
24.348,170
24.984,410
25.614,565
25.619,575
26.151,10
26.950,565
27.097,590
27.300,185
27.568,440
27.955,10
28.637,650
29.222,645
29.763,590
30.343,600
30.348,585
31.049,10
31.613,625
32.245,630
32.391,645
32.830,195
33.122,420
33.512,170
34.097,455
34.101,620
34.780,10
34.926,605
35.316,195
35.612,425
35.901,135
36.437,470
37.120,565
37.705,590
37.725,580
38.296,10
38.927,585
40.047,715
40.338,955
41.581,395
41.709,1345
41.848,135
41.854,20
41.897,15
41.903,10
41.915,15
42.287,15
42.294,405
42.410,10
42.434,210
43.653,760
43.807,395
44.091,400
44.096,10
44.926,755
45.066,265
45.071,10
45.115,10
45.136,10
45.163,15
45.169,20
45.212,20
45.219,15
45.264,10
45.310,205
46.067,615
46.187,10
46.194,225
46.287,10
46.293,20
47.703,320
48.015,1225
48.019,150
48.089,10
48.092,10
48.095,10
48.098,10
48.381,20
48.966,390
49.212,645
49.356,325
49.361,10
49.505,25
49.508,25
49.648,225
50.770,690
51.989,480
52.428,1210
52.963,475
52.967,575
53.110,10
53.258,225
53.271,10
53.578,265
54.621,10
54.624,1160
54.818,10
54.828,130
54.867,20
54.920,10
54.962,15
54.965,15
54.968,15
54.972,10
55.011,10
55.014,10
55.062,10
55.065,15
55.206,265
55.209,10
55.743,525
56.425,10
57.017,775
57.546,545
58.375,460
58.668,860
58.977,575
59.106,85
59.109,65
59.350,225
60.081,450
60.777,275
61.157,740
61.446,355
61.885,395
62.178,350
62.568,335
62.957,315
63.250,370
63.255,450
63.397,15
63.542,225
63.548,10
63.691,15
64.566,375
65.054,565
65.346,565
65.350,270
66.175,10
66.860,885
67.442,505
67.492,660
68.125,10
68.954,785
69.734,805
69.742,725
70.333,10
70.467,670
71.050,175
71.296,450
71.586,195
71.591,425
72.269,15
72.272,645
72.952,10
73.684,685
74.368,710
75.048,700
75.194,700
75.731,220
75.880,445
75.882,150
75.925,15
75.928,20
76.315,20
76.851,415
77.144,620
77.534,195
77.832,410
78.168,130
78.754,460
78.899,575
79.240,10
79.926,565
80.606,615
81.293,745
82.165,785
82.994,820
82.997,845
83.118,10
83.123,65
83.335,20
83.530,20
83.678,465
83.682,15
83.699,10
83.825,210
85.385,805
85.431,755
86.311,10
86.700,685
86.705,660
87.430,10
87.479,645
87.967,10
88.649,660
88.654,690
89.380,10
89.385,625
90.063,10
90.066,635
90.358,10
90.647,160
90.654,435
91.184,10
92.030,575
92.597,845
92.602,520
92.999,10
94.206,505
94.210,1245
94.405,10
94.415,135
94.646,15
94.654,170
94.840,245
96.010,570
96.166,610
96.595,195
97.182,360
97.280,595
97.960,10
98.692,755
98.935,770
99.521,205
100.251,565
100.354,745
100.888,160
101.031,525
101.037,175
101.470,65
101.473,410
101.714,10
102.153,185
102.156,435
102.299,10
102.693,145
103.371,470
103.386,600
103.956,10
103.959,595
104.103,10
104.519,155
104.522,415
105.077,10
105.081,575
105.760,10
105.764,595
106.447,10
107.178,650
107.856,730
107.954,745
108.539,185
108.542,535
109.270,10
109.273,695
109.931,15
110.051,635
110.489,160
110.587,505
111.174,10
111.857,660
112.585,735
113.268,685
113.462,680
113.950,125
113.956,480
113.999,10
114.361,315
114.828,325
115.316,315
115.462,440
115.901,225
116.729,395
118.024,900
118.728,1240
119.216,685
119.657,600
119.669,320
120.776,10
121.752,1110
121.759,985
122.161,10
123.554,450
123.558,1425
123.700,15
123.704,15
123.798,240
124.968,255
125.601,870
126.576,680
127.016,910
127.029,525
128.381,10
128.971,1275
129.260,615
129.669,10
130.623,680
130.672,945
131.453,10
132.448,895
132.622,925
132.625,15
132.963,235
132.966,330
133.060,10
133.792,10
134.084,815
134.230,500
136.188,1270
136.738,595
136.863,575
137.301,10
137.305,595
137.988,10
138.521,615
139.349,595
140.082,845
140.958,715
141.446,885
142.274,455
142.279,905
142.713,10
143.542,430
144.224,760
144.910,725
145.350,700
145.517,665
146.759,770
147.149,380
147.539,480
147.543,360
149.054,10
149.057,1385
149.490,10
150.074,610
150.123,575
150.126,10
150.757,10
150.760,595
151.314,10
151.491,625
152.024,10
152.028,665
152.760,10
152.764,675
153.097,10
153.389,275
153.393,390
154.090,10
154.218,670
154.224,10
154.679,225
154.803,410
154.906,10
155.339,165
155.485,465
155.488,170
155.882,25
156.171,435
156.512,170
156.607,20
156.753,450
157.004,195
157.880,280
157.883,810
158.166,75
158.170,255
158.411,10
158.417,225
158.459,15
158.462,15
158.508,20
158.511,15
158.605,15
