df_hash,22ZHK4.QRA2JK
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.J83X
person_label,V39
date_time_start,2025-10-27_13-20-19.994000_+03
date_time_start_unix,1761556819.994
date_time_end,2025-10-27_13-28-31.380000_+03
length_difference_noticed,no

time,temperature
4.898,34.344
5.940,34.375
6.895,34.375
7.870,34.375
8.894,34.406
9.868,34.438
10.892,34.469
11.867,34.469
12.891,34.438
13.866,34.469
14.892,34.438
16.062,34.406
16.889,34.469
17.964,34.500
18.936,34.469
19.862,34.438
21.181,34.406
21.866,34.438
22.885,34.438
23.866,34.469
24.981,34.469
25.859,34.500
27.130,34.500
27.858,34.531
28.978,34.531
29.945,34.594
30.890,34.656
32.004,34.688
32.880,34.688
33.854,34.719
34.877,34.750
35.853,34.781
36.876,34.781
38.290,34.781
38.923,34.781
39.898,34.781
40.874,34.750
42.078,34.781
42.921,34.812
43.848,34.812
44.920,34.812
45.908,34.781
46.873,34.812
47.962,34.812
48.945,34.812
49.893,34.812
50.868,34.875
51.891,34.875
52.869,34.906
53.890,34.906
54.914,34.906
55.888,34.938
57.010,34.938
57.888,34.969
58.961,35.000
59.936,35.031
60.861,35.000
61.889,34.969
63.112,35.000
63.884,35.000
64.859,35.000
65.883,34.969
67.153,34.969
67.881,34.969
68.856,34.969
70.225,34.969
70.855,35.031
71.879,35.062
72.854,35.062
73.878,35.094
74.853,35.125
75.877,35.156
76.854,35.188
77.924,35.219
78.902,35.219
79.883,35.219
80.893,35.156
81.896,35.156
82.848,35.156
83.872,35.125
84.863,35.125
85.870,35.125
86.894,35.094
87.918,35.125
88.844,35.094
89.868,35.125
90.843,35.156
91.967,35.156
92.988,35.188
93.865,35.188
94.889,35.188
95.864,35.188
96.937,35.250
97.863,35.250
98.889,35.250
99.862,35.281
100.885,35.281
101.861,35.312
102.884,35.375
103.859,35.375
104.883,35.375
105.858,35.406
107.174,35.375
107.859,35.375
108.881,35.406
109.927,35.375
110.879,35.375
111.854,35.406
112.878,35.281
113.853,35.344
114.878,35.375
115.852,35.344
116.877,35.375
117.997,35.375
118.874,35.375
119.849,35.375
120.873,35.375
121.848,35.375
122.872,35.375
124.093,35.375
124.871,35.406
125.894,35.406
126.869,35.438
127.844,35.438
128.916,35.406
129.843,35.438
130.916,35.469
131.890,35.438
132.892,35.438
133.841,35.469
134.870,35.469
135.892,35.500
136.866,35.500
137.984,35.500
139.009,35.531
139.837,35.531
140.861,35.562
141.836,35.531
142.908,35.531
143.888,35.500
144.858,35.500
145.882,35.500
146.864,35.469
147.881,35.500
149.051,35.531
149.928,35.531
150.854,35.531
151.878,35.562
152.853,35.594
154.072,35.656
154.927,35.656
155.875,35.656
156.899,35.656
158.077,35.625
158.859,35.625
159.873,35.625
160.849,35.594
161.877,35.625
162.993,35.625
163.871,35.562
164.954,35.594
165.870,35.594
166.871,35.594
167.868,35.594
168.867,35.625
169.876,35.625
171.040,35.625
171.865,35.594
172.864,35.562
173.865,35.594
174.840,35.531
175.882,35.531
176.888,35.531
177.862,35.531
178.937,35.531
179.865,35.531
180.936,35.594
181.859,35.594
182.883,35.562
183.858,35.531
185.083,35.562
185.862,35.562
186.837,35.562
187.856,35.562
188.874,35.562
189.855,35.562
190.881,35.562
191.854,35.531
192.904,35.562
193.861,35.562
194.876,35.594
195.851,35.594
196.875,35.656
198.045,35.656
198.874,35.688
199.849,35.688
200.953,35.656
201.926,35.688
202.871,35.688
203.846,35.688
204.870,35.656
205.928,35.688
206.869,35.625
207.990,35.625
208.869,35.656
209.864,35.625
210.866,35.688
211.926,35.656
212.865,35.656
213.858,35.656
214.864,35.656
215.839,35.656
216.934,35.656
217.842,35.625
218.861,35.594
219.836,35.625
220.860,35.625
221.835,35.625
222.910,35.656
223.834,35.656
224.858,35.656
225.833,35.656
226.856,35.656
227.831,35.656
228.903,35.688
229.830,35.688
230.854,35.688
231.829,35.719
232.853,35.688
234.048,35.656
234.999,35.656
235.826,35.656
236.871,35.625
238.118,35.688
238.849,35.656
239.873,35.688
240.848,35.688
241.920,35.688
242.847,35.719
244.065,35.594
244.845,35.625
245.917,35.625
246.844,35.625
247.867,35.625
248.940,35.625
250.262,35.719
250.940,35.719
252.158,35.719
252.840,35.688
253.864,35.812
254.856,35.812
255.863,35.812
256.838,35.812
257.864,35.781
258.955,35.781
259.860,35.688
260.839,35.688
261.859,35.688
262.882,35.719
263.858,35.719
264.833,35.719
265.857,35.688
266.832,35.688
267.908,35.719
269.075,35.719
269.855,35.719
270.928,35.750
271.855,35.781
272.928,35.781
273.956,35.812
274.859,35.781
275.856,35.844
276.876,35.875
277.851,35.875
278.923,35.906
279.848,35.875
280.826,35.844
281.847,35.844
282.859,35.812
283.845,35.812
284.820,35.844
285.874,35.844
286.876,35.844
287.992,35.812
288.867,35.812
289.842,35.812
290.874,35.781
291.841,35.781
292.865,35.812
294.265,35.781
294.863,35.812
295.843,35.812
296.866,35.812
297.841,35.844
298.860,35.938
299.836,35.938
300.859,35.938
301.883,35.938
302.882,35.938
304.029,35.969
304.943,35.969
305.832,35.969
306.855,35.938
307.854,35.938
308.858,35.844
309.880,35.844
310.853,35.875
311.828,35.906
312.999,35.875
313.857,35.875
314.851,35.812
315.862,35.844
316.849,35.844
317.863,35.844
