df_hash,22ZHK4.QRA2JK
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.J83X
person_label,V39
date_time_start,2025-10-27_13-20-19.994000_+03
date_time_start_unix,1761556819.994
date_time_end,2025-10-27_13-28-31.380000_+03
length_difference_noticed,no

time,ppg_quality
60.872,2
62.892,8
64.912,12
66.932,13
68.942,31
69.952,44
70.962,59
71.972,59
73.992,56
76.012,68
77.022,75
79.042,76
80.052,73
81.062,73
83.082,79
85.102,74
86.112,68
87.122,63
89.142,62
91.162,59
93.182,20
94.192,11
95.202,11
96.212,14
98.232,11
100.252,10
101.262,12
103.282,50
105.302,64
107.322,72
109.342,74
110.352,75
111.362,72
112.372,68
113.382,66
115.402,65
117.422,56
118.432,52
120.452,43
122.472,39
124.492,18
126.512,11
127.522,1
138.632,6
140.652,19
142.672,6
145.702,4
146.712,18
148.732,4
149.742,3
153.782,28
155.802,45
156.812,42
157.822,49
159.842,38
160.852,30
161.862,27
162.872,24
164.892,23
166.912,21
168.932,13
169.942,15
171.962,33
173.982,46
176.002,47
178.022,41
180.042,39
181.052,33
182.062,31
183.072,5
184.082,10
185.092,6
187.112,24
189.132,56
191.152,62
193.172,68
194.182,73
196.202,84
198.222,75
200.242,67
201.252,74
202.262,75
203.272,78
204.282,77
205.292,77
206.302,72
207.312,66
209.332,65
211.352,63
213.372,57
215.392,50
216.402,40
218.422,34
220.442,28
222.462,36
223.472,43
225.492,48
226.502,58
229.532,58
231.552,64
233.572,55
235.592,46
237.612,54
238.622,54
239.632,47
240.642,45
242.662,57
244.682,54
245.692,58
246.702,41
248.722,8
257.812,6
258.822,15
260.842,38
261.852,27
262.862,21
264.882,11
266.902,21
268.922,29
270.942,14
272.962,34
273.972,41
275.992,65
278.012,48
280.032,33
282.052,32
284.072,60
287.102,54
289.122,44
291.142,35
293.162,4
300.232,1
302.252,8
303.262,25
305.282,54
306.292,55
309.322,57
311.342,60
313.362,55
314.372,47
315.382,44
317.402,54
318.412,64
319.422,64
320.432,74
322.452,55
324.472,27
326.492,4
327.502,6
335.582,10
341.642,10
342.652,19
344.672,26
346.692,51
347.702,63
348.712,67
349.722,65
350.732,74
352.752,87
353.762,77
355.782,75
357.802,66
359.822,70
360.832,60
361.842,52
362.852,39
364.872,35
365.882,31
366.892,10
368.912,14
370.932,11
372.952,36
373.962,40
374.972,33
375.982,15
378.002,18
380.022,15
382.042,4
385.072,2
386.082,20
387.082,27
389.102,25
390.112,22
391.122,18
393.142,29
395.162,25
397.182,42
398.192,48
399.202,41
400.212,53
402.232,58
403.242,56
404.252,47
406.272,35
408.292,30
410.312,34
412.332,20
413.342,22
415.362,52
417.382,48
418.392,46
420.412,50
421.422,59
422.432,57
424.452,45
426.472,32
428.492,24
429.502,20
430.512,18
431.522,14
432.532,16
433.542,17
434.552,20
435.562,20
436.572,27
437.582,37
439.602,29
441.622,30
442.632,34
443.642,39
444.652,48
446.672,55
448.692,29
450.712,35
451.722,36
453.742,29
454.752,23
455.762,21
456.772,18
457.782,38
459.802,44
460.812,46
462.832,45
463.842,42
465.862,31
466.872,26
467.882,20
468.892,19
470.912,15
472.932,13
474.952,14
476.972,28
477.982,33
480.002,31
482.022,27
484.042,42
485.052,44
487.072,62
488.082,61
