df_hash,22ZHK4.QK206M
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.D6JC
person_label,V12
date_time_start,2025-05-22_10-41-54.002000_+03
date_time_start_unix,1747899714.002
date_time_end,2025-05-22_10-49-07.831000_+03
length_difference_noticed,no

time,perfusion_ir
173.727,0.190
181.633,0.190
196.398,0.190
199.275,0.190
202.782,0.180
204.150,0.180
234.716,0.180
346.647,0.160
349.865,0.150
350.547,0.160
357.865,0.140
360.980,0.140
368.339,0.140
369.557,0.140
370.832,0.130
372.192,0.130
374.001,0.130
374.579,0.140
383.892,0.140
390.571,0.140
403.689,0.140
408.128,0.140
409.291,0.140
411.784,0.140
