df_hash,22ZHK4.DZ2M1F
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZTS5
person_label,V94
date_time_start,2025-11-04_17-52-19.908000_+03
date_time_start_unix,1762264339.908
date_time_end,2025-11-04_18-01-06.541000_+03
length_difference_noticed,no

time,heart_rate
15.945,77
16.725,77
17.944,78
18.821,78
19.699,78
20.917,77
21.797,77
22.673,77
23.894,77
24.800,77
25.695,77
26.865,77
27.792,77
28.669,77
29.839,78
30.765,77
31.642,77
32.878,77
33.742,78
34.616,78
35.811,78
36.718,79
37.639,79
38.765,79
39.688,80
40.564,81
41.977,80
42.660,83
43.561,84
44.805,83
45.634,83
46.511,83
47.730,83
48.608,83
49.878,84
50.704,83
51.581,83
52.508,83
53.681,83
54.608,83
55.484,83
56.657,81
57.578,80
58.455,79
59.625,78
60.552,77
61.432,77
62.648,76
63.541,76
64.403,76
65.622,76
66.746,76
67.377,75
68.595,75
69.671,75
70.399,75
71.618,76
72.742,78
73.422,80
74.570,80
75.426,81
76.348,80
77.588,80
78.444,80
79.442,80
80.506,80
81.420,80
82.343,80
83.562,79
84.440,78
85.321,77
86.490,76
87.390,75
88.291,75
89.461,75
90.341,75
91.309,75
92.435,75
93.388,75
94.238,75
95.555,75
96.286,75
97.212,75
98.480,75
99.260,75
100.186,75
101.356,75
102.282,75
103.160,75
104.360,75
105.256,75
106.208,79
107.304,81
108.230,81
109.107,83
110.327,84
111.204,85
112.133,86
113.300,87
114.183,88
115.089,88
116.423,87
117.157,87
118.206,87
119.248,87
120.129,87
121.104,87
122.229,87
123.099,87
124.123,87
125.215,87
126.074,87
126.999,87
128.323,87
129.095,87
129.973,87
131.240,87
132.069,87
133.044,87
134.169,86
135.043,86
135.924,87
137.139,87
138.017,87
138.894,86
140.069,85
140.990,84
141.886,84
143.087,84
143.975,84
144.892,84
146.060,84
146.938,84
147.815,84
149.048,83
149.984,82
150.789,82
152.008,82
152.887,82
153.812,82
154.986,82
155.859,82
156.786,82
158.151,79
158.833,79
159.769,77
160.929,76
161.807,76
162.733,75
163.903,75
164.831,75
165.707,75
166.877,76
167.803,77
168.729,76
169.851,76
170.934,76
171.655,76
172.852,76
173.751,76
174.923,76
176.070,75
176.793,76
177.605,76
179.068,77
179.698,78
180.576,79
181.795,79
182.672,79
183.607,78
184.821,78
185.646,77
186.572,77
187.742,77
188.620,77
189.546,77
190.726,78
191.642,78
192.520,78
193.762,78
194.616,77
195.615,77
196.712,76
197.590,76
198.468,76
199.735,76
200.564,76
201.441,78
202.660,77
203.560,76
204.415,76
205.653,76
206.587,76
207.389,76
208.656,76
209.534,76
210.411,76
211.581,76
212.483,83
213.385,84
214.581,86
215.433,86
216.359,85
217.532,84
218.465,83
219.333,82
220.844,81
221.429,80
222.306,79
223.477,78
224.403,78
225.378,78
226.548,79
227.425,79
228.254,79
229.473,79
230.350,79
231.277,79
232.447,79
233.620,79
234.202,79
235.421,79
236.298,79
237.325,79
238.398,79
239.272,79
240.198,79
241.820,79
242.247,79
243.172,79
244.391,79
245.268,79
246.173,79
247.316,79
248.293,79
249.119,79
250.293,79
251.218,79
252.117,79
253.274,79
254.192,79
255.071,79
256.286,79
257.163,79
258.045,79
259.259,79
260.432,79
261.031,79
262.380,53
263.988,59
265.212,54
266.087,51
267.011,49
268.181,51
269.059,51
269.985,50
271.181,50
272.082,50
272.958,50
274.132,62
275.055,57
275.932,55
277.106,55
278.029,68
278.955,74
280.076,76
281.026,77
281.902,79
283.099,81
283.976,81
284.854,80
286.072,80
286.950,80
287.827,80
289.070,80
290.013,80
290.803,80
292.024,80
292.897,80
293.824,80
294.994,80
295.871,80
296.797,80
298.011,80
298.845,80
300.067,80
300.944,80
301.924,80
302.745,80
303.915,80
304.793,72
305.719,76
306.889,75
307.815,75
308.721,74
309.863,74
310.789,64
311.668,59
312.837,63
313.765,64
314.644,63
315.810,63
316.789,64
317.614,62
318.833,61
319.710,61
320.711,57
321.807,55
322.684,54
323.569,54
324.780,54
325.658,55
326.535,54
327.754,54
328.632,54
329.510,54
330.728,54
331.620,54
332.532,54
333.755,54
334.579,54
335.505,53
336.676,55
337.579,58
338.479,56
340.042,55
340.527,56
341.453,56
342.623,55
343.554,55
344.429,62
345.597,59
346.523,58
347.418,58
348.619,58
349.499,58
350.399,58
351.593,58
352.471,58
353.348,54
354.567,54
355.445,54
356.617,56
357.541,59
358.418,57
359.324,56
360.518,56
361.491,56
362.318,56
363.490,56
364.663,56
365.292,53
366.462,52
367.340,52
368.324,52
369.439,52
370.313,52
371.240,52
372.458,52
373.336,52
374.214,52
375.383,52
376.310,52
377.188,52
378.357,52
379.285,52
380.161,52
381.380,52
382.267,52
383.135,52
384.366,52
385.234,52
386.112,53
387.327,54
388.205,57
389.082,57
390.304,56
391.179,55
392.079,54
393.275,54
394.448,50
395.033,48
396.252,49
397.126,49
398.053,49
399.222,48
400.177,48
401.026,48
402.440,48
403.074,48
404.098,48
405.173,48
406.146,48
406.976,48
408.291,48
409.070,48
409.950,48
411.124,48
412.044,48
412.965,48
414.140,48
415.023,48
415.895,54
417.087,51
417.992,50
418.870,50
420.043,50
420.967,50
421.843,50
423.110,50
423.983,50
424.817,50
426.035,50
427.790,43
433.767,51
435.005,51
435.859,51
436.768,52
