df_hash,22ZHK4.DZ2M1F
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZTS5
person_label,V94
date_time_start,2025-11-04_17-52-19.908000_+03
date_time_start_unix,1762264339.908
date_time_end,2025-11-04_18-01-06.541000_+03
length_difference_noticed,no

time,rr_int
9.754,3935
9.903,215
10.192,10
10.200,15
10.506,460
11.950,820
12.776,805
13.654,805
14.336,800
15.171,730
15.997,825
16.141,745
16.147,185
16.154,15
16.160,30
16.676,10
17.408,515
18.236,805
18.919,815
19.357,715
19.455,395
19.602,215
21.016,965
22.120,540
22.127,1005
22.133,20
22.143,20
22.244,175
23.681,560
23.946,820
24.038,275
24.043,10
24.333,135
25.456,305
25.890,790
26.573,785
27.403,705
28.231,765
28.913,835
29.754,745
29.887,785
29.908,230
30.054,15
30.131,10
30.180,180
30.186,20
30.230,20
30.236,20
30.328,35
30.333,25
30.473,220
31.447,770
31.451,115
31.455,35
32.028,15
32.812,550
33.495,785
34.324,800
35.101,735
35.737,785
36.566,675
37.249,835
37.981,725
38.032,720
38.663,10
39.348,705
40.028,665
40.612,645
41.295,610
41.987,685
42.126,690
42.132,15
42.169,130
42.370,10
43.392,405
44.074,800
44.813,800
45.053,685
45.147,215
45.537,25
45.731,430
46.171,295
46.879,465
47.536,650
48.266,655
48.950,695
49.534,730
50.363,605
52.021,790
52.557,1695
52.851,510
53.580,260
54.604,810
55.092,735
55.976,785
56.652,815
57.042,705
57.437,400
57.725,410
58.260,275
58.943,600
58.992,725
60.796,855
61.486,865
62.307,770
62.990,785
63.331,820
63.867,210
64.647,565
65.525,775
66.353,860
67.035,850
67.096,745
67.866,10
68.693,785
69.424,850
70.107,745
70.936,730
71.667,760
72.398,695
73.057,695
73.741,765
74.543,730
75.372,740
75.960,930
76.664,310
76.788,850
76.932,315
78.592,860
79.130,760
79.954,675
80.788,820
81.661,825
82.398,790
83.319,790
84.001,900
84.829,805
85.659,830
86.543,845
86.633,805
86.639,155
86.835,15
86.878,20
86.881,15
86.885,15
86.888,10
87.226,15
88.047,460
89.023,805
89.705,915
90.539,725
91.071,830
91.655,555
91.658,630
91.996,10
93.605,305
93.608,1675
94.435,10
95.315,815
95.362,750
95.408,245
95.412,10
95.563,100
96.678,365
97.505,805
98.386,830
98.488,720
99.553,265
101.112,1110
101.795,1530
102.624,730
103.306,770
104.135,710
104.872,725
105.844,750
106.134,695
106.817,670
107.499,695
108.208,725
108.962,660
109.595,650
110.277,715
110.863,665
111.547,645
112.228,660
112.910,675
113.097,655
113.495,165
113.499,510
114.177,10
114.860,695
115.299,675
116.293,360
116.957,990
117.640,745
117.785,660
117.980,180
117.987,55
118.078,10
118.084,10
118.326,105
119.101,305
119.589,710
120.272,665
121.100,675
121.833,705
121.979,735
122.368,185
122.710,485
123.050,175
123.879,510
124.610,760
124.709,690
125.150,10
125.439,635
126.414,280
128.071,895
128.120,1690
128.126,10
128.169,10
128.175,35
128.180,30
128.608,25
130.168,530
130.850,1505
131.680,760
132.264,720
132.508,645
132.512,185
132.705,15
132.947,20
133.727,430
134.325,700
134.897,685
135.579,655
135.974,715
136.027,305
136.408,10
136.555,430
136.701,125
137.091,120
137.822,445
138.650,775
138.654,825
139.480,10
140.015,740
140.787,695
141.691,675
141.822,925
143.136,10
143.139,1395
143.233,10
143.237,120
143.282,10
143.286,10
143.293,20
143.402,30
143.430,35
143.436,25
143.439,20
143.443,20
143.964,20
144.452,360
145.317,750
145.378,750
145.383,10
145.475,90
145.479,145
145.483,15
145.488,10
145.719,195
145.724,15
145.821,15
146.012,210
147.377,800
147.380,715
148.354,10
148.937,750
149.619,755
149.912,940
150.889,600
151.815,445
151.825,910
151.829,10
151.959,15
151.963,75
152.106,185
152.939,865
153.765,20
154.509,740
155.177,730
156.201,780
156.834,870
156.847,775
157.081,10
158.007,165
158.492,635
159.321,880
159.613,1055
159.617,15
159.662,15
159.665,10
159.668,10
159.710,10
159.714,10
159.717,10
159.721,15
159.762,20
160.052,385
161.027,10
161.128,890
161.224,180
161.228,20
161.231,15
161.710,25
162.539,525
163.367,795
164.147,825
164.152,740
164.934,10
165.611,765
165.661,810
166.438,10
166.444,745
167.176,10
167.219,750
168.145,10
168.827,925
170.339,735
170.436,1540
170.535,135
170.586,90
170.634,10
170.728,140
170.741,25
170.777,10
170.782,15
170.787,10
170.875,10
170.881,15
170.923,10
170.929,10
170.979,10
170.985,15
170.991,10
171.021,15
171.046,225
172.534,750
172.728,795
173.557,10
174.190,900
174.482,740
174.945,180
175.798,540
175.802,805
176.484,10
176.579,735
176.729,10
176.775,170
176.786,15
177.261,20
178.090,530
178.236,810
178.825,205
179.065,560
179.077,10
179.504,195
180.337,540
181.161,775
181.165,790
181.328,10
181.509,180
181.515,25
181.844,25
182.729,495
183.550,820
183.655,825
184.232,190
184.237,565
184.531,10
184.915,230
185.744,525
186.718,810
186.724,755
187.304,205
188.132,565
188.279,805
188.815,225
189.107,540
189.112,175
189.403,15
189.497,15
189.503,485
190.378,10
190.472,760
191.155,195
191.302,615
191.886,225
191.889,510
192.033,10
192.716,185
192.862,640
193.592,240
193.598,610
193.690,10
194.229,220
194.328,535
195.055,10
195.933,785
196.177,835
196.762,225
196.930,565
197.444,245
198.322,515
198.325,825
199.101,10
