df_hash,22ZHK4.DZ2M1F
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZTS5
person_label,V94
date_time_start,2025-11-04_17-52-19.908000_+03
date_time_start_unix,1762264339.908
date_time_end,2025-11-04_18-01-06.541000_+03
length_difference_noticed,no

time,battery
15.029,90
25.122,90
35.096,90
45.049,90
55.043,90
65.037,90
75.080,90
85.025,90
95.019,90
105.013,90
115.070,89
125.049,89
135.141,89
145.134,89
155.035,89
165.030,89
175.040,89
185.013,89
195.016,89
205.000,89
215.043,89
225.037,89
235.080,89
245.025,89
255.067,89
265.013,88
275.009,88
285.000,88
295.045,88
304.988,88
315.031,88
325.024,88
335.018,88
345.012,88
355.006,88
365.023,88
374.994,88
384.988,88
394.982,88
404.976,88
415.018,88
425.013,88
435.103,88
445.015,87
454.994,87
464.987,87
474.981,87
484.975,87
494.969,87
504.963,87
515.005,87
