df_hash,22ZHK4.DZ2M1F
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZTS5
person_label,V94
date_time_start,2025-11-04_17-52-19.908000_+03
date_time_start_unix,1762264339.908
date_time_end,2025-11-04_18-01-06.541000_+03
length_difference_noticed,no

time,perfusion_ir
66.502,0.230
67.084,0.240
67.138,0.230
68.742,0.220
69.473,0.230
71.674,0.220
72.455,0.220
75.421,0.220
84.881,0.220
86.590,0.210
98.534,0.210
104.878,0.210
106.841,0.210
111.597,0.200
113.007,0.200
113.110,0.200
121.844,0.200
121.991,0.190
124.662,0.170
124.716,0.160
134.465,0.160
136.021,0.150
138.702,0.150
140.064,0.150
140.797,0.150
149.037,0.150
156.935,0.150
164.201,0.140
166.492,0.140
167.229,0.140
174.631,0.140
175.901,0.140
176.725,0.140
178.288,0.140
181.213,0.140
183.598,0.140
186.776,0.140
188.335,0.140
190.716,0.140
201.785,0.130
212.898,0.130
265.207,0.130
275.209,0.130
277.452,0.130
288.762,0.140
316.744,0.140
