df_hash,22ZHK4.DZ2M1F
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.ZTS5
person_label,V94
date_time_start,2025-11-04_17-52-19.908000_+03
date_time_start_unix,1762264339.908
date_time_end,2025-11-04_18-01-06.541000_+03
length_difference_noticed,no

time,omega
66.506,0.597
67.092,0.596
67.144,0.591
68.745,0.586
69.476,0.584
71.913,0.582
72.463,0.584
75.424,0.586
84.887,0.584
86.596,0.586
98.537,0.591
104.918,0.590
106.968,0.584
111.694,0.584
113.013,0.587
113.154,0.587
121.850,0.587
122.029,0.591
124.708,0.591
124.762,0.591
134.470,0.595
136.026,0.591
138.707,0.591
140.068,0.593
140.803,0.593
149.045,0.598
156.939,0.598
164.301,0.593
166.539,0.598
167.233,0.594
174.637,0.594
175.907,0.592
176.728,0.597
178.303,0.604
181.217,0.604
183.604,0.610
186.781,0.600
188.361,0.597
190.723,0.600
201.789,0.597
212.902,0.597
265.211,0.609
275.214,0.621
277.457,0.631
288.767,0.646
316.788,0.657
